# id: 'quast_custom'
# section_name: 'CLUSTER: Quast'
# format: 'tsv'
# description: 'QUAST is a quality assessment tool for genome assemblies, written by the Center for Algorithmic Biotechnology.DOI: 10.1093/bioinformatics/btt086.'
"(quast) Assembly"	"(quast) # contigs (>= 0 bp)"	"(quast) # contigs (>= 1000 bp)"	"(quast) # contigs (>= 5000 bp)"	"(quast) # contigs (>= 10000 bp)"	"(quast) # contigs (>= 25000 bp)"	"(quast) # contigs (>= 50000 bp)"	"(quast) Total length (>= 0 bp)"	"(quast) Total length (>= 1000 bp)"	"(quast) Total length (>= 5000 bp)"	"(quast) Total length (>= 10000 bp)"	"(quast) Total length (>= 25000 bp)"	"(quast) Total length (>= 50000 bp)"	"(quast) # contigs"	"(quast) Largest contig"	"(quast) Total length"	"(quast) GC (%)"	"(quast) N50"	"(quast) N90"	"(quast) auN"	"(quast) L50"	"(quast) L90"	"(quast) # N's per 100 kbp"	"sample"	"cluster"	"step"
"Tyrion-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9081"	"9081"	"9081"	"0"	"0"	"0"	"1"	"9081"	"9081"	"41.57"	"9081"	"9081"	"9081.0"	"1"	"1"	"429.47"	"Tyrion-reference"	"cl1"	"consensus"
"Eddard-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9063"	"9063"	"9063"	"0"	"0"	"0"	"1"	"9063"	"9063"	"41.55"	"9063"	"9063"	"9063.0"	"1"	"1"	"0.00"	"Eddard-MN090188"	"cl0"	"consensus"
"Catelyn-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9059"	"9059"	"9059"	"0"	"0"	"0"	"1"	"9059"	"9059"	"41.49"	"9059"	"9059"	"9059.0"	"1"	"1"	"0.00"	"Catelyn-MN090188"	"cl0"	"consensus"
"Daenerys-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9073"	"9073"	"9073"	"0"	"0"	"0"	"1"	"9073"	"9073"	"41.54"	"9073"	"9073"	"9073.0"	"1"	"1"	"44.09"	"Daenerys-reference"	"cl1"	"consensus"
"Eddard-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9243"	"9243"	"9243"	"0"	"0"	"0"	"1"	"9243"	"9243"	"41.85"	"9243"	"9243"	"9243.0"	"1"	"1"	"0.00"	"Eddard-MN090277"	"cl0"	"consensus"
"Catelyn-virosaurus_cl2_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9081"	"9081"	"9081"	"0"	"0"	"0"	"1"	"9081"	"9081"	"41.59"	"9081"	"9081"	"9081.0"	"1"	"1"	"11.01"	"Catelyn-virosaurus"	"cl2"	"consensus"
"Sansa-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"41.02"	"9022"	"9022"	"9022.0"	"1"	"1"	"0.00"	"Sansa-MN090240"	"cl0"	"consensus"
"Jon-virosaurus_cl5_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9077"	"9077"	"9077"	"0"	"0"	"0"	"1"	"9077"	"9077"	"41.37"	"9077"	"9077"	"9077.0"	"1"	"1"	"22.03"	"Jon-virosaurus"	"cl5"	"consensus"
"Tyrion-MZ766668_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9028"	"9028"	"9028"	"0"	"0"	"0"	"1"	"9028"	"9028"	"41.57"	"9028"	"9028"	"9028.0"	"1"	"1"	"0.00"	"Tyrion-MZ766668"	"cl1"	"consensus"
"Tyrion-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9244"	"9244"	"9244"	"0"	"0"	"0"	"1"	"9244"	"9244"	"41.85"	"9244"	"9244"	"9244.0"	"1"	"1"	"21.64"	"Tyrion-MN090277"	"cl0"	"consensus"
"Arya-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9068"	"9068"	"9068"	"0"	"0"	"0"	"1"	"9068"	"9068"	"40.20"	"9068"	"9068"	"9068.0"	"1"	"1"	"0.00"	"Arya-virosaurus"	"cl0"	"consensus"
"Sansa-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9229"	"9229"	"9229"	"0"	"0"	"0"	"1"	"9229"	"9229"	"41.45"	"9229"	"9229"	"9229.0"	"1"	"1"	"10.84"	"Sansa-MN090277"	"cl0"	"consensus"
"Catelyn-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9765"	"9765"	"9765"	"0"	"0"	"0"	"1"	"9765"	"9765"	"42.24"	"9765"	"9765"	"9765.0"	"1"	"1"	"143.37"	"Catelyn-virosaurus"	"cl0"	"consensus"
"Jorah-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"0.00"	"Jorah-MZ766668"	"cl0"	"consensus"
"Sansa-virosaurus_cl4_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9298"	"9298"	"9298"	"0"	"0"	"0"	"1"	"9298"	"9298"	"40.40"	"9298"	"9298"	"9298.0"	"1"	"1"	"0.00"	"Sansa-virosaurus"	"cl4"	"consensus"
"Eddard-MN090277-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9243"	"9243"	"9243"	"0"	"0"	"0"	"1"	"9243"	"9243"	"41.85"	"9243"	"9243"	"9243.0"	"1"	"1"	"0.00"	"Eddard-MN090277-MN090188"	"cl0"	"consensus"
"Jon-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9774"	"9774"	"9774"	"0"	"0"	"0"	"1"	"9774"	"9774"	"42.01"	"9774"	"9774"	"9774.0"	"1"	"1"	"10.23"	"Jon-virosaurus"	"cl0"	"consensus"
"Arya-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"40.22"	"9022"	"9022"	"9022.0"	"1"	"1"	"22.17"	"Arya-MN090240"	"cl0"	"consensus"
"Daenerys-MN090277-MZ766668_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9015"	"9015"	"9015"	"0"	"0"	"0"	"1"	"9015"	"9015"	"41.59"	"9015"	"9015"	"9015.0"	"1"	"1"	"0.00"	"Daenerys-MN090277-MZ766668"	"cl1"	"consensus"
"Jorah-MN090277-MZ766668_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"0.00"	"Jorah-MN090277-MZ766668"	"cl1"	"consensus"
"Daenerys-MZ766668_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9015"	"9015"	"9015"	"0"	"0"	"0"	"1"	"9015"	"9015"	"41.59"	"9015"	"9015"	"9015.0"	"1"	"1"	"0.00"	"Daenerys-MZ766668"	"cl1"	"consensus"
"Tyrion-MN090277-MZ766668_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9028"	"9028"	"9028"	"0"	"0"	"0"	"1"	"9028"	"9028"	"41.57"	"9028"	"9028"	"9028.0"	"1"	"1"	"0.00"	"Tyrion-MN090277-MZ766668"	"cl1"	"consensus"
"Sansa-MN090277-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9229"	"9229"	"9229"	"0"	"0"	"0"	"1"	"9229"	"9229"	"41.45"	"9229"	"9229"	"9229.0"	"1"	"1"	"10.84"	"Sansa-MN090277-MN090240"	"cl0"	"consensus"
"Daenerys-virosaurus_cl3_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9839"	"9839"	"9839"	"0"	"0"	"0"	"1"	"9839"	"9839"	"42.37"	"9839"	"9839"	"9839.0"	"1"	"1"	"264.25"	"Daenerys-virosaurus"	"cl3"	"consensus"
"Jon-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12414"	"12414"	"12414"	"12414"	"0"	"0"	"1"	"12414"	"12414"	"40.98"	"12414"	"12414"	"12414.0"	"1"	"1"	"8.06"	"Jon-reference"	"cl0"	"consensus"
"Jon-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9235"	"9235"	"9235"	"0"	"0"	"0"	"1"	"9235"	"9235"	"41.43"	"9235"	"9235"	"9235.0"	"1"	"1"	"0.00"	"Jon-MN090277"	"cl0"	"consensus"
"Sansa-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12408"	"12408"	"12408"	"12408"	"0"	"0"	"1"	"12408"	"12408"	"40.67"	"12408"	"12408"	"12408.0"	"1"	"1"	"16.12"	"Sansa-reference"	"cl0"	"consensus"
"Arya-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12402"	"12402"	"12402"	"12402"	"0"	"0"	"1"	"12402"	"12402"	"39.45"	"12402"	"12402"	"12402.0"	"1"	"1"	"16.13"	"Arya-reference"	"cl0"	"consensus"
"Jorah-MN090277_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9010"	"9010"	"9010"	"0"	"0"	"0"	"1"	"9010"	"9010"	"41.59"	"9010"	"9010"	"9010.0"	"1"	"1"	"0.00"	"Jorah-MN090277"	"cl1"	"consensus"
"Eddard-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9067"	"9067"	"9067"	"0"	"0"	"0"	"1"	"9067"	"9067"	"41.55"	"9067"	"9067"	"9067.0"	"1"	"1"	"297.78"	"Eddard-reference"	"cl1"	"consensus"
"Sansa-virosaurus_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9754"	"9754"	"9754"	"0"	"0"	"0"	"1"	"9754"	"9754"	"41.75"	"9754"	"9754"	"9754.0"	"1"	"1"	"194.79"	"Sansa-virosaurus"	"cl1"	"consensus"
"Tyrion-reference_cl2_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9545"	"9545"	"9545"	"0"	"0"	"0"	"1"	"9545"	"9545"	"42.01"	"9545"	"9545"	"9545.0"	"1"	"1"	"0.00"	"Tyrion-reference"	"cl2"	"consensus"
"Catelyn-MN090277-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9239"	"9239"	"9239"	"0"	"0"	"0"	"1"	"9239"	"9239"	"41.80"	"9239"	"9239"	"9239.0"	"1"	"1"	"0.00"	"Catelyn-MN090277-MN090188"	"cl0"	"consensus"
"Robb-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9235"	"9235"	"9235"	"0"	"0"	"0"	"1"	"9235"	"9235"	"41.75"	"9235"	"9235"	"9235.0"	"1"	"1"	"0.00"	"Robb-MN090277"	"cl0"	"consensus"
"Arya-MN090277-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9226"	"9226"	"9226"	"0"	"0"	"0"	"1"	"9226"	"9226"	"40.60"	"9226"	"9226"	"9226.0"	"1"	"1"	"0.00"	"Arya-MN090277-MN090240"	"cl0"	"consensus"
"Jon-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9754"	"9754"	"9754"	"0"	"0"	"0"	"1"	"9754"	"9754"	"42.04"	"9754"	"9754"	"9754.0"	"1"	"1"	"30.76"	"Jon-reference"	"cl1"	"consensus"
"Tyrion-virosaurus_cl17_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9080"	"9080"	"9080"	"0"	"0"	"0"	"1"	"9080"	"9080"	"41.56"	"9080"	"9080"	"9080.0"	"1"	"1"	"0.00"	"Tyrion-virosaurus"	"cl17"	"consensus"
"Catelyn-virosaurus_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9739"	"9739"	"9739"	"0"	"0"	"0"	"1"	"9739"	"9739"	"42.09"	"9739"	"9739"	"9739.0"	"1"	"1"	"205.36"	"Catelyn-virosaurus"	"cl1"	"consensus"
"Eddard-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9085"	"9085"	"9085"	"0"	"0"	"0"	"1"	"9085"	"9085"	"41.59"	"9085"	"9085"	"9085.0"	"1"	"1"	"0.00"	"Eddard-virosaurus"	"cl0"	"consensus"
"Robb-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9072"	"9072"	"9072"	"0"	"0"	"0"	"1"	"9072"	"9072"	"41.44"	"9072"	"9072"	"9072.0"	"1"	"1"	"22.05"	"Robb-reference"	"cl1"	"consensus"
"Catelyn-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12420"	"12420"	"12420"	"12420"	"0"	"0"	"1"	"12420"	"12420"	"41.27"	"12420"	"12420"	"12420.0"	"1"	"1"	"88.57"	"Catelyn-reference"	"cl0"	"consensus"
"Arya-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8929"	"8929"	"8929"	"0"	"0"	"0"	"1"	"8929"	"8929"	"39.71"	"8929"	"8929"	"8929.0"	"1"	"1"	"11.20"	"Arya-reference"	"cl1"	"consensus"
"Jon-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"41.11"	"9022"	"9022"	"9022.0"	"1"	"1"	"0.00"	"Jon-MN090240"	"cl0"	"consensus"
"Daenerys-reference_cl2_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9536"	"9536"	"9536"	"0"	"0"	"0"	"1"	"9536"	"9536"	"42.03"	"9536"	"9536"	"9536.0"	"1"	"1"	"0.00"	"Daenerys-reference"	"cl2"	"consensus"
"Catelyn-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9298"	"9298"	"9298"	"0"	"0"	"0"	"1"	"9298"	"9298"	"41.28"	"9298"	"9298"	"9298.0"	"1"	"1"	"75.29"	"Catelyn-reference"	"cl1"	"consensus"
"Sansa-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9796"	"9796"	"9796"	"0"	"0"	"0"	"1"	"9796"	"9796"	"42.22"	"9796"	"9796"	"9796.0"	"1"	"1"	"10.21"	"Sansa-virosaurus"	"cl0"	"consensus"
"Tyrion-MN090277-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9244"	"9244"	"9244"	"0"	"0"	"0"	"1"	"9244"	"9244"	"41.85"	"9244"	"9244"	"9244.0"	"1"	"1"	"21.64"	"Tyrion-MN090277-MZ766668"	"cl0"	"consensus"
"Jaime-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9048"	"9048"	"9048"	"0"	"0"	"0"	"1"	"9048"	"9048"	"41.43"	"9048"	"9048"	"9048.0"	"1"	"1"	"209.99"	"Jaime-reference"	"cl1"	"consensus"
"Jaime-MN090277-MZ766668_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9019"	"9019"	"9019"	"0"	"0"	"0"	"1"	"9019"	"9019"	"41.57"	"9019"	"9019"	"9019.0"	"1"	"1"	"0.00"	"Jaime-MN090277-MZ766668"	"cl1"	"consensus"
"Theon-reference_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9288"	"9288"	"9288"	"0"	"0"	"0"	"1"	"9288"	"9288"	"38.81"	"9288"	"9288"	"9288.0"	"1"	"1"	"0.00"	"Theon-reference"	"cl0"	"consensus"
"Jorah-virosaurus_cl4_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9050"	"9050"	"9050"	"0"	"0"	"0"	"1"	"9050"	"9050"	"41.61"	"9050"	"9050"	"9050.0"	"1"	"1"	"0.00"	"Jorah-virosaurus"	"cl4"	"consensus"
"Rickon-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9075"	"9075"	"9075"	"0"	"0"	"0"	"1"	"9075"	"9075"	"41.49"	"9075"	"9075"	"9075.0"	"1"	"1"	"0.00"	"Rickon-virosaurus"	"cl0"	"consensus"
"Bran-MN090277-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"0.00"	"Bran-MN090277-MN090188"	"cl0"	"consensus"
"Bran-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9022"	"9022"	"9022"	"0"	"0"	"0"	"1"	"9022"	"9022"	"41.54"	"9022"	"9022"	"9022.0"	"1"	"1"	"0.00"	"Bran-MN090240"	"cl0"	"consensus"
"Bran-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9074"	"9074"	"9074"	"0"	"0"	"0"	"1"	"9074"	"9074"	"41.57"	"9074"	"9074"	"9074.0"	"1"	"1"	"0.00"	"Bran-virosaurus"	"cl0"	"consensus"
"Theon-MN090277-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"39.25"	"9225"	"9225"	"9225.0"	"1"	"1"	"0.00"	"Theon-MN090277-MN090240"	"cl0"	"consensus"
"Bran-MN090277-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"0.00"	"Bran-MN090277-MN090240"	"cl0"	"consensus"
"Jaime-MN090277-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9219"	"9219"	"9219"	"0"	"0"	"0"	"1"	"9219"	"9219"	"41.92"	"9219"	"9219"	"9219.0"	"1"	"1"	"21.69"	"Jaime-MN090277-MZ766668"	"cl0"	"consensus"
"Jaime-virosaurus_cl21_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9081"	"9081"	"9081"	"0"	"0"	"0"	"1"	"9081"	"9081"	"41.54"	"9081"	"9081"	"9081.0"	"1"	"1"	"88.10"	"Jaime-virosaurus"	"cl21"	"consensus"
"Jaime-virosaurus_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9922"	"9922"	"9922"	"0"	"0"	"0"	"1"	"9922"	"9922"	"42.53"	"9922"	"9922"	"9922.0"	"1"	"1"	"70.55"	"Jaime-virosaurus"	"cl1"	"consensus"
"Sansa-reference_cl3_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9029"	"9029"	"9029"	"0"	"0"	"0"	"1"	"9029"	"9029"	"40.72"	"9029"	"9029"	"9029.0"	"1"	"1"	"387.64"	"Sansa-reference"	"cl3"	"consensus"
"Jorah-reference_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9011"	"9011"	"9011"	"0"	"0"	"0"	"1"	"9011"	"9011"	"41.59"	"9011"	"9011"	"9011.0"	"1"	"1"	"0.00"	"Jorah-reference"	"cl0"	"consensus"
"Arya-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9226"	"9226"	"9226"	"0"	"0"	"0"	"1"	"9226"	"9226"	"40.60"	"9226"	"9226"	"9226.0"	"1"	"1"	"0.00"	"Arya-MN090277"	"cl0"	"consensus"
"Jon-MN090277-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9235"	"9235"	"9235"	"0"	"0"	"0"	"1"	"9235"	"9235"	"41.43"	"9235"	"9235"	"9235.0"	"1"	"1"	"0.00"	"Jon-MN090277-MN090240"	"cl0"	"consensus"
"Rickon-reference_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9084"	"9084"	"9084"	"0"	"0"	"0"	"1"	"9084"	"9084"	"41.47"	"9084"	"9084"	"9084.0"	"1"	"1"	"0.00"	"Rickon-reference"	"cl0"	"consensus"
"Bran-reference_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9064"	"9064"	"9064"	"0"	"0"	"0"	"1"	"9064"	"9064"	"41.55"	"9064"	"9064"	"9064.0"	"1"	"1"	"0.00"	"Bran-reference"	"cl0"	"consensus"
"Robb-virosaurus_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9087"	"9087"	"9087"	"0"	"0"	"0"	"1"	"9087"	"9087"	"41.47"	"9087"	"9087"	"9087.0"	"1"	"1"	"0.00"	"Robb-virosaurus"	"cl0"	"consensus"
"Bran-MN090277-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9232"	"9232"	"9232"	"0"	"0"	"0"	"1"	"9232"	"9232"	"41.83"	"9232"	"9232"	"9232.0"	"1"	"1"	"0.00"	"Bran-MN090277-MZ766668"	"cl0"	"consensus"
"Sansa-reference_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9469"	"9469"	"9469"	"0"	"0"	"0"	"1"	"9469"	"9469"	"40.65"	"9469"	"9469"	"9469.0"	"1"	"1"	"242.90"	"Sansa-reference"	"cl1"	"consensus"
"Bran-MN090188_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9056"	"9056"	"9056"	"0"	"0"	"0"	"1"	"9056"	"9056"	"41.55"	"9056"	"9056"	"9056.0"	"1"	"1"	"0.00"	"Bran-MN090188"	"cl0"	"consensus"
"Daenerys-MN090277-MZ766668_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9253"	"9253"	"9253"	"0"	"0"	"0"	"1"	"9253"	"9253"	"41.85"	"9253"	"9253"	"9253.0"	"1"	"1"	"54.04"	"Daenerys-MN090277-MZ766668"	"cl0"	"consensus"
"Sansa-virosaurus_cl8_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"8971"	"8971"	"8971"	"0"	"0"	"0"	"1"	"8971"	"8971"	"37.83"	"8971"	"8971"	"8971.0"	"1"	"1"	"133.76"	"Sansa-virosaurus"	"cl8"	"consensus"
"Daenerys-virosaurus_cl15_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9088"	"9088"	"9088"	"0"	"0"	"0"	"1"	"9088"	"9088"	"41.58"	"9088"	"9088"	"9088.0"	"1"	"1"	"11.00"	"Daenerys-virosaurus"	"cl15"	"consensus"
"Theon-MN090277_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9225"	"9225"	"9225"	"0"	"0"	"0"	"1"	"9225"	"9225"	"39.25"	"9225"	"9225"	"9225.0"	"1"	"1"	"0.00"	"Theon-MN090277"	"cl0"	"consensus"
"Daenerys-virosaurus_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"10556"	"10556"	"10556"	"10556"	"0"	"0"	"1"	"10556"	"10556"	"39.81"	"10556"	"10556"	"10556.0"	"1"	"1"	"293.67"	"Daenerys-virosaurus"	"cl0"	"consensus"
"Jaime-reference_cl0_consensus"	"1"	"1"	"1"	"1"	"0"	"0"	"12446"	"12446"	"12446"	"12446"	"0"	"0"	"1"	"12446"	"12446"	"41.80"	"12446"	"12446"	"12446.0"	"1"	"1"	"739.19"	"Jaime-reference"	"cl0"	"consensus"
"Theon-MN090240_cl0_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9015"	"9015"	"9015"	"0"	"0"	"0"	"1"	"9015"	"9015"	"38.90"	"9015"	"9015"	"9015.0"	"1"	"1"	"0.00"	"Theon-MN090240"	"cl0"	"consensus"
"Tyrion-virosaurus_cl1_consensus"	"1"	"1"	"1"	"0"	"0"	"0"	"9958"	"9958"	"9958"	"0"	"0"	"0"	"1"	"9958"	"9958"	"42.54"	"9958"	"9958"	"9958.0"	"1"	"1"	"130.55"	"Tyrion-virosaurus"	"cl1"	"consensus"
