id,sample,sequence,segment
LVE00223-7274,LVE00223,data-preparation/selected-references/7274_MT199235.1-OR041684.1.fasta,L S
LVE00223-7476,LVE00223,data-preparation/selected-references/7476_MH053534.1-MP226842.1.fasta,L S
LVE00223-7678,LVE00223,data-preparation/selected-references/7678_OQ791480.1-OR113004.1.fasta,L S
LVE00223-7880,LVE00223,data-preparation/selected-references/7880_MK117941.1-OR493500.1.fasta,L S
LVE00223-8082,LVE00223,data-preparation/selected-references/8082_MH887914.1-KU978811.1.fasta,L S
LVE00223-8284,LVE00223,data-preparation/selected-references/8284_GU481075.1.fasta,L
LVE00223-8486,LVE00223,data-preparation/selected-references/8486_MH887976.1.fasta,L
LVE00223-9092,LVE00223,data-preparation/selected-references/9092_MK118026.1.fasta,S
LVE00223-9294,LVE00223,data-preparation/selected-references/9294_MK118002.1.fasta,S
LVE00223-9496,LVE00223,data-preparation/selected-references/9496_KM821953.1.fasta,S
LVE00223-9698,LVE00223,data-preparation/selected-references/9698_MH887854.1.fasta,S
LVE00223-98100,LVE00223,data-preparation/selected-references/98100_MH887798.1.fasta,S
LVE00223-RVDB,LVE00223,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00279-6870,LVE00279,data-preparation/selected-references/6870_MT199233.1-OR041677.1.fasta,L S
LVE00279-7072,LVE00279,data-preparation/selected-references/7072_PQ541181.1.fasta,L
LVE00279-7274,LVE00279,data-preparation/selected-references/7274_MT199235.1-OR041684.1.fasta,L S
LVE00279-7476,LVE00279,data-preparation/selected-references/7476_MK117919.1-OQ919510.1.fasta,L S
LVE00279-7678,LVE00279,data-preparation/selected-references/7678_MH053585.1-OQ919515.1.fasta,L S
LVE00279-7880,LVE00279,data-preparation/selected-references/7880_MH053569.1-AY628205.1.fasta,L S
LVE00279-8082,LVE00279,data-preparation/selected-references/8082_MK117936.1-KU978811.1.fasta,L S
LVE00279-8284,LVE00279,data-preparation/selected-references/8284_KM822050.1.fasta,L
LVE00279-8486,LVE00279,data-preparation/selected-references/8486_KM822075.1.fasta,L
LVE00279-8688,LVE00279,data-preparation/selected-references/8688_MK117940.1.fasta,L
LVE00279-8890,LVE00279,data-preparation/selected-references/8890_MK107842.1.fasta,L
LVE00279-9092,LVE00279,data-preparation/selected-references/9092_MK117979.1.fasta,S
LVE00279-9294,LVE00279,data-preparation/selected-references/9294_KM821949.1.fasta,S
LVE00279-9496,LVE00279,data-preparation/selected-references/9496_KM822059.1.fasta,S
LVE00279-9698,LVE00279,data-preparation/selected-references/9698_KM822076.1.fasta,S
LVE00279-98100,LVE00279,data-preparation/selected-references/98100_MK118028.1.fasta,S
LVE00279-RVDB,LVE00279,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
