seq1_id	seq2_id	alignment_length	comparable_sites	matches	mismatches	mismatch_rate	seq1_length	seq2_length	seq1_gaps	seq2_gaps	seq1_Ns	seq2_Ns
MH053570.1	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7243	6918	5896	316	0.045678	7235	7242	8	1	186	845
MK117919.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7423	6508	5498	438	0.067302	7110	7259	313	164	676	629
LVE00167_L	LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7282	7282	6520	0	0.000000	7282	7282	0	0	762	424
MH053548.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7258	6502	6478	630	0.096893	7132	7258	126	0	24	10
OR041684.1	_R_LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3417	2608	2424	687	0.263420	3303	3409	114	8	186	8
KM822075.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7259	6997	6344	187	0.026726	7184	7259	75	0	29	629
AY628205.1	_R_LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3429	2639	2599	735	0.278515	3396	3407	33	22	0	58
OQ919515.1	LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3581	2638	2624	746	0.282790	3397	3568	184	12	0	54
OR041677.1	_R_LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3424	2725	2334	662	0.242936	3402	3409	22	15	385	6
KU978811.1	_R_LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3458	2803	2796	572	0.204067	3424	3409	34	49	0	8
MK117979.1	_R_LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3572	3136	3114	249	0.079401	3389	3568	183	3	23	54
LVE00045_L	LVE00050-RVDB_LVE00050_cl0_it2.consensus_ivar	7470	7035	4908	8	0.001137	7241	7272	229	198	1352	1491
MH053547.1	_R_LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7384	6934	6848	248	0.035766	7186	7380	198	4	86	0
OR041677.1	LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3452	2689	2290	674	0.250651	3402	3413	50	39	385	15
KF478762.1	LVE00140-RVDB_LVE00140_cl0_it2.consensus_ivar	7409	5005	5005	2218	0.443157	7252	7380	156	29	0	0
OR493500.1	_R_LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	4659	1638	1360	95	0.057998	2979	3413	1680	1246	272	22
OQ791480.1	LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7262	6915	5671	232	0.033550	7147	7262	115	0	327	948
MK107950.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3412	2922	2918	475	0.162560	3400	3409	12	3	0	8
MK117941.1	LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7262	6882	5884	359	0.052165	7241	7262	21	0	70	948
MK118019.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3410	3369	3359	0	0.000000	3370	3409	40	1	11	8
OQ919510.1	_R_LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3412	2596	2480	696	0.268105	3295	3409	117	3	116	6
MK107957.1	LVE00063-RVDB_LVE00063_cl1_it2.consensus_ivar	3411	2939	2935	457	0.155495	3398	3409	13	2	0	8
OR041684.1	LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3572	2627	2444	672	0.255805	3303	3568	269	3	186	54
KM822096.1	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7242	6832	6010	300	0.043911	7132	7242	110	0	70	845
MH053566.1	LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7242	6762	5730	402	0.059450	7164	7242	78	0	239	845
PQ541181.1	_R_LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7336	5192	4564	1988	0.382897	7257	7259	79	77	0	629
KT992434.1	_R_LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7310	5084	4699	2071	0.407356	7183	7282	127	28	0	424
KF478764.1	_R_LVE00063-RVDB_LVE00063_cl0_it2.consensus_ivar	7386	5216	3224	1467	0.281250	6811	7258	575	128	0	2198
KF478764.1	_R_LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7310	4858	4456	1925	0.396254	6811	7282	499	28	0	424
MT199231.1	_R_LVE00045-RVDB_LVE00045_cl0_it2.consensus_ivar	7374	5339	4504	1815	0.339951	7286	7242	88	132	77	845
MT199229.1	_R_LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7367	5362	4401	1819	0.339239	7286	7262	81	105	77	948
MH887914.1	LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7262	6970	6010	247	0.035438	7217	7262	45	0	43	948
OR493500.1	_R_LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3717	2037	1962	638	0.313206	2979	3413	738	304	272	15
MK117940.1	LVE00167-RVDB_LVE00167_cl0_it2.consensus_ivar	7284	6777	6351	479	0.070680	7258	7282	26	2	28	424
KM821949.1	_R_LVE00279-RVDB_LVE00279_cl1_it2.consensus_ivar	3570	3202	3188	199	0.062149	3403	3568	167	1	0	54
MT199235.1	_R_LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7368	5329	4389	1854	0.347908	7289	7262	79	106	31	948
MK107847.1	LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7258	7054	7044	204	0.028920	7258	7258	0	0	0	10
MT199233.1	_R_LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7362	5295	4637	1888	0.356563	7286	7259	76	103	81	629
KM822089.1	LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3413	3209	3079	152	0.047367	3362	3412	51	1	0	175
MK117982.1	LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3408	3306	3247	92	0.027828	3398	3408	10	0	37	32
KM822099.1	LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3408	3168	3156	220	0.069444	3388	3408	20	0	0	32
KU978811.1	_R_LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3460	2784	2762	588	0.211207	3424	3408	36	52	0	32
MH887854.1	LVE00223-RVDB_LVE00223_cl1_it2.consensus_ivar	3413	3361	3349	35	0.010414	3396	3413	17	0	0	22
MH053534.1	LVE00223-RVDB_LVE00223_cl0_it2.consensus_ivar	7262	6764	5525	389	0.057510	7153	7262	109	0	313	948
KM822076.1	LVE00045-RVDB_LVE00045_cl1_it2.consensus_ivar	3408	3277	3257	85	0.025938	3363	3407	45	1	0	58
MK118022.1	LVE00167-RVDB_LVE00167_cl1_it2.consensus_ivar	3408	3139	3122	249	0.079325	3388	3408	20	0	5	32
KM822050.1	LVE00279-RVDB_LVE00279_cl0_it2.consensus_ivar	7259	6916	6287	343	0.049595	7259	7259	0	0	0	629
MK118014.1	_R_LVE00140-RVDB_LVE00140_cl1_it2.consensus_ivar	3413	3288	3197	68	0.020681	3356	3413	57	0	91	15
AY628208.1	_R_LVE00050-RVDB_LVE00050_cl1_it2.consensus_ivar	3446	2588	2415	805	0.311051	3427	3412	19	34	0	175
MK117974.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3409	3151	2995	176	0.055855	3327	3409	82	0	156	6
MT199228.1	_R_LVE00127-RVDB_LVE00127_cl0_it2.consensus_ivar	7387	5027	5000	2130	0.423712	7286	7258	101	129	77	10
MZ169794.1	LVE00050-RVDB_LVE00050_cl0_it2.consensus_ivar	7764	5156	3789	1578	0.306051	7226	7272	538	492	118	1491
MK117995.1	LVE00127-RVDB_LVE00127_cl1_it2.consensus_ivar	3410	3280	3223	117	0.035671	3398	3409	12	1	57	6
