query	target	fident	alnlen	mismatch	gapopen	qstart	qend	qlen	tstart	tend	tlen	evalue	bits	segment	fident_window
LVE00063	OR041676.1	0.78	3251	715	0	3300	50	3424	24	3272	3327	0	2651	S	(0.76,0.78]
LVE00063	OR041681.1	0.784	3251	702	0	3300	50	3424	83	3331	3386	0	2676	S	(0.78,0.8]
LVE00063	KU978811.1	0.827	3308	567	0	3310	3	3424	128	3404	3424	0	3380	S	(0.82,0.84]
LVE00063	MH053493.1	0.852	3355	496	0	1	3354	3424	11	3365	3396	0	3785	S	(0.84,0.86]
LVE00063	MK107957.1	0.865	3352	452	0	1	3351	3424	13	3364	3398	0	3973	S	(0.86,0.88]
LVE00063	MK117974.1	0.9	3326	333	0	3	3328	3424	1	3326	3327	0	4897	S	(0.88,0.9]
LVE00063	MK107926.1	0.914	3354	288	0	1	3353	3424	19	3372	3410	0	4717	S	(0.9,0.92]
LVE00063	OQ791501.1	0.921	3328	263	0	1	3328	3424	11	3337	3340	0	4796	S	(0.92,0.94]
LVE00063	MK117995.1	0.948	3354	174	0	1	3353	3424	16	3369	3398	0	5387	S	(0.94,0.96]
LVE00063	MK117996.1	0.971	3354	97	0	1	3353	3424	17	3370	3397	0	5600	S	(0.96,0.98]
LVE00063	MK117994.1	0.994	3356	20	0	1	3355	3424	19	3374	3399	0	5959	S	(0.98,1]
LVE00127	MT199234.1	0.667	1970	654	0	2099	134	7258	5082	7051	7204	9.604e-273	939	L	(0.66,0.68]
LVE00127	OR041677.1	0.691	3250	1003	0	3299	50	3817	100	3347	3402	0	2363	S	(0.68,0.7]
LVE00127	OR493500.1	0.706	1642	482	0	3299	1658	3817	1338	2979	2979	0	1515	S	(0.7,0.72]
LVE00127	MT199228.1	0.726	3749	1027	0	4271	523	7258	2991	6739	7286	0	2121	L	(0.72,0.74]
LVE00127	OQ919510.1	0.755	3250	796	0	3299	50	3817	26	3273	3295	0	2569	S	(0.74,0.76]
LVE00127	OR041676.1	0.78	3251	715	0	3300	50	3817	24	3272	3327	0	2651	S	(0.76,0.78]
LVE00127	MH053532.1	0.796	7124	1452	0	123	7246	7258	37	7155	7161	0	6831	L	(0.78,0.8]
LVE00127	MK117901.1	0.818	7246	1318	0	1	7246	7258	1	7242	7250	0	7195	L	(0.8,0.82]
LVE00127	KM822046.1	0.826	7246	1260	0	1	7246	7258	4	7245	7260	0	7344	L	(0.82,0.84]
LVE00127	MH887832.1	0.849	3356	506	0	1	3351	3817	11	3366	3390	0	3732	S	(0.84,0.86]
LVE00127	MK107950.1	0.863	3305	452	0	1	3303	3817	13	3317	3400	0	3890	S	(0.86,0.88]
LVE00127	MK117878.1	0.893	7246	775	0	1	7246	7258	1	7246	7252	0	9696	L	(0.88,0.9]
LVE00127	MH053548.1	0.909	7121	648	0	60	7180	7258	3	7123	7132	0	9917	L	(0.9,0.92]
LVE00127	MK117932.1	0.925	7136	535	0	1	7136	7258	1	7136	7136	0	11101	L	(0.92,0.94]
LVE00127	MK117912.1	0.957	7239	311	0	8	7246	7258	1	7239	7243	0	11831	L	(0.94,0.96]
LVE00127	MK107847.1	0.971	7246	210	0	1	7246	7258	1	7246	7258	0	12073	L	(0.96,0.98]
LVE00127	MK117911.1	0.991	7246	65	0	1	7246	7258	1	7246	7252	0	12811	L	(0.98,1]
LVE00140	FV537336.1	0.675	1938	629	0	4425	2490	7621	3138	5075	7279	1.024e-183	644	L	(0.66,0.68]
LVE00140	OR041677.1	0.687	3251	1016	0	3315	65	3413	100	3347	3402	0	2301	S	(0.68,0.7]
LVE00140	KT992426.1	0.707	2018	591	0	2375	358	7621	5183	7199	7257	1.216e-271	936	L	(0.7,0.72]
LVE00140	KT992432.1	0.727	4598	1255	0	6060	1463	7621	1423	6020	7198	0	2589	L	(0.72,0.74]
LVE00140	OQ919510.1	0.758	3251	786	0	3315	65	3413	26	3273	3295	0	2614	S	(0.74,0.76]
LVE00140	AY628207.1	0.764	3299	777	0	3315	17	3413	114	3406	3428	0	2410	S	(0.76,0.78]
LVE00140	KY425642.1	0.786	3252	695	0	3316	65	3413	92	3339	3389	0	2710	S	(0.78,0.8]
LVE00140	OR493500.1	0.807	1646	317	0	3319	1674	3413	1334	2979	2979	0	2262	S	(0.8,0.82]
LVE00140	KU978811.1	0.825	1731	303	0	3315	1585	3413	139	1869	3424	0	1750	S	(0.82,0.84]
LVE00140	MH053566.1	0.897	7089	730	0	362	7449	7621	1	7089	7164	0	10080	L	(0.88,0.9]
LVE00140	MH053530.1	0.917	7116	590	0	336	7449	7621	2	7117	7145	0	10413	L	(0.9,0.92]
LVE00140	MH053587.1	0.93	7128	499	0	336	7463	7621	48	7171	7235	0	10566	L	(0.92,0.94]
LVE00140	MH887953.1	0.95	7117	356	0	336	7449	7621	49	7165	7214	0	11181	L	(0.94,0.96]
LVE00140	MH887901.1	0.965	7116	249	0	336	7449	7621	4	7119	7172	0	11836	L	(0.96,0.98]
LVE00140	MH887997.1	0.986	7115	100	0	336	7449	7621	49	7163	7225	0	12318	L	(0.98,1]
LVE00167	MT199231.1	0.644	1981	701	0	2093	125	7282	5163	7143	7286	2.09e-278	958	L	[0.64,0.66]
LVE00167	KF478761.1	0.678	1117	358	0	2101	985	7282	5170	6283	7282	6.656e-169	595	L	(0.66,0.68]
LVE00167	OR041677.1	0.694	3251	994	0	3317	67	3408	100	3347	3402	0	2434	S	(0.68,0.7]
LVE00167	KT992434.1	0.713	738	212	0	2074	1337	7282	5124	5861	7183	1.798e-142	507	L	(0.7,0.72]
LVE00167	OR041684.1	0.742	3251	838	0	3317	67	3408	1	3248	3303	0	2593	S	(0.74,0.76]
LVE00167	AY628206.1	0.777	3299	734	0	3317	19	3408	107	3398	3420	0	2626	S	(0.76,0.78]
LVE00167	MH053534.1	0.8	7109	1422	0	94	7202	7282	1	7109	7153	0	9050	L	(0.78,0.8]
LVE00167	MH053570.1	0.817	7191	1315	0	15	7203	7282	1	7191	7235	0	9309	L	(0.8,0.82]
LVE00167	MH887953.1	0.84	7198	1151	0	10	7203	7282	1	7198	7214	0	9562	L	(0.82,0.84]
LVE00167	KM821919.1	0.842	7199	1136	0	10	7203	7282	6	7204	7228	0	9608	L	(0.84,0.86]
LVE00167	KM821926.1	0.872	7197	921	0	10	7203	7282	10	7206	7284	0	10602	L	(0.86,0.88]
LVE00167	KM822022.1	0.92	3387	271	0	18	3402	3408	18	3404	3409	0	4904	S	(0.9,0.92]
LVE00167	MK117859.1	0.921	3402	267	0	18	3402	3408	16	3417	3423	0	4949	S	(0.92,0.94]
LVE00167	MK117982.1	0.957	3385	146	0	18	3402	3408	8	3392	3398	0	5563	S	(0.94,0.96]
LVE00167	MH887842.1	0.968	3385	108	0	18	3402	3408	10	3394	3396	0	5620	S	(0.96,0.98]
LVE00167	LVE00167	1	7194	0	0	10	7203	7282	10	7203	7282	0	11683	L	(0.98,1]
LVE00223	MT199227.1	0.678	3796	1222	0	4318	524	7262	2944	6739	7286	0	2051	L	(0.66,0.68]
LVE00223	MT199229.1	0.697	1981	597	0	2100	130	7262	5163	7143	7286	5.359e-307	1053	L	(0.68,0.7]
LVE00223	MK117919.1	0.711	7110	2054	0	14	7123	7262	2	7110	7110	0	8095	L	(0.7,0.72]
LVE00223	OR041684.1	0.724	3100	846	0	3345	246	3430	1	3065	3303	0	2299	S	(0.72,0.74]
LVE00223	MH053534.1	0.758	7146	1729	0	99	7244	7262	1	7144	7153	0	8667	L	(0.74,0.76]
LVE00223	MK117888.1	0.778	7231	1605	0	14	7244	7262	9	7239	7250	0	8683	L	(0.76,0.78]
LVE00223	KM821956.1	0.799	7234	1453	0	14	7244	7262	11	7244	7262	0	9192	L	(0.78,0.8]
LVE00223	KM822040.1	0.808	7255	1388	0	17	7244	7262	1	7255	7270	0	9521	L	(0.8,0.82]
LVE00223	KM821950.1	0.826	7231	1258	0	14	7244	7262	11	7241	7256	0	10093	L	(0.82,0.84]
LVE00223	MH887976.1	0.848	7230	1099	0	15	7244	7262	1	7230	7239	0	10805	L	(0.84,0.86]
LVE00223	MK117985.1	0.919	3430	275	0	1	3430	3430	1	3401	3401	0	5031	S	(0.9,0.92]
LVE00223	KM822037.1	0.938	3430	211	0	1	3430	3430	2	3403	3405	0	5296	S	(0.92,0.94]
LVE00223	KM821953.1	0.953	3430	160	0	1	3430	3430	7	3406	3412	0	5522	S	(0.94,0.96]
LVE00223	MH887854.1	0.974	3423	88	0	8	3430	3430	1	3394	3396	0	5840	S	(0.96,0.98]
LVE00223	MH887798.1	0.983	3294	55	0	103	3396	3430	1	3265	3265	0	5748	S	(0.98,1]
LVE00279	MT199233.1	0.689	4207	1306	0	4332	126	7277	2944	7143	7286	0	2314	L	(0.68,0.7]
LVE00279	U63094.1	0.706	2812	826	0	4102	1294	7277	3187	5998	6842	0	1688	L	(0.7,0.72]
LVE00279	OR041684.1	0.736	3318	871	0	3446	129	3569	1	3299	3303	0	2528	S	(0.72,0.74]
LVE00279	MK117919.1	0.743	7128	1827	0	10	7137	7277	1	7110	7110	0	8371	L	(0.74,0.76]
LVE00279	MH053566.1	0.78	7182	1576	0	85	7266	7277	1	7164	7164	0	8835	L	(0.76,0.78]
LVE00279	KM822042.1	0.797	7271	1472	0	2	7272	7277	1	7253	7257	0	9017	L	(0.78,0.8]
LVE00279	MK117936.1	0.815	7272	1341	0	1	7272	7277	5	7256	7259	0	9613	L	(0.8,0.82]
LVE00279	KM822050.1	0.831	7272	1226	0	1	7272	7277	1	7254	7259	0	9924	L	(0.82,0.84]
LVE00279	KM822075.1	0.846	7200	1106	0	48	7247	7277	5	7184	7184	0	10405	L	(0.84,0.86]
LVE00279	MK117940.1	0.866	7271	972	0	2	7272	7277	1	7254	7258	0	11080	L	(0.86,0.88]
LVE00279	MK107842.1	0.891	4101	443	0	3	4103	7277	1	4066	7227	0	5753	L	(0.88,0.9]
LVE00279	MK117859.1	0.917	3404	281	0	132	3517	3569	1	3404	3423	0	4861	S	(0.9,0.92]
LVE00279	KM822033.1	0.932	3399	230	0	128	3517	3569	4	3402	3421	0	5066	S	(0.92,0.94]
LVE00279	KM821984.1	0.947	3391	180	0	128	3517	3569	2	3392	3410	0	5291	S	(0.94,0.96]
LVE00279	KM822076.1	0.97	3363	101	0	155	3516	3569	1	3363	3363	0	5592	S	(0.96,0.98]
LVE00279	MK118028.1	0.99	3389	34	0	130	3517	3569	1	3389	3403	0	5945	S	(0.98,1]
