,,gaps,identities,mismatches,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,44,8056,925,9025,30,0,9025,Daenerys,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,359,8510,424,9293,298,0,9293,Daenerys,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MZ766668.1,365,7568,1371,9304,72,1,9304,Daenerys,MN090277,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Daenerys,MN090277,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MZ766668.1,39,8054,925,9018,32,0,9018,Daenerys,MN090277,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MN090277.1,368,8503,422,9293,307,0,9293,Daenerys,MN090277,./data/influence-reference/alignment-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,723,7558,1381,9662,72,42,9662,Daenerys,MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MN090277.1,360,9215,16,9591,1,42,9591,Daenerys,MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,44,8056,925,9025,30,0,9025,Daenerys,MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MN090277.1,359,8510,424,9293,298,0,9293,Daenerys,MZ766668,./data/influence-reference/alignment-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl0_it2.consensus_ivar,MZ766668.1,3703,6338,2527,12568,146,397,12568,Daenerys,reference,./data/influence-reference/alignment-vs-ref//Daenerys.reference_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl0_it2.consensus_ivar,MN090277.1,3386,7152,1982,12520,98,397,12520,Daenerys,reference,./data/influence-reference/alignment-vs-ref//Daenerys.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MZ766668.1,241,7559,1358,9158,94,0,9158,Daenerys,reference,./data/influence-reference/alignment-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MN090277.1,168,9064,0,9232,168,0,9232,Daenerys,reference,./data/influence-reference/alignment-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MZ766668.1,565,8056,925,9546,30,521,9546,Daenerys,reference,./data/influence-reference/alignment-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MN090277.1,592,8510,568,9670,154,521,9670,Daenerys,reference,./data/influence-reference/alignment-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl0_it2.consensus_ivar,MZ766668.1,2641,5976,2439,11056,596,376,11056,Daenerys,virosaurus,./data/influence-reference/alignment-vs-ref//Daenerys.virosaurus_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl0_it2.consensus_ivar,MN090277.1,2654,6242,2277,11173,713,376,11173,Daenerys,virosaurus,./data/influence-reference/alignment-vs-ref//Daenerys.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl15_it2.consensus_ivar,MZ766668.1,279,7545,1358,9182,108,29,9182,Daenerys,virosaurus,./data/influence-reference/alignment-vs-ref//Daenerys.virosaurus_cl15_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl15_it2.consensus_ivar,MN090277.1,202,9045,7,9254,180,29,9254,Daenerys,virosaurus,./data/influence-reference/alignment-vs-ref//Daenerys.virosaurus_cl15_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MZ766668.1,837,8054,934,9825,23,560,9825,Daenerys,virosaurus,./data/influence-reference/alignment-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MN090277.1,794,8599,521,9914,112,560,9914,Daenerys,virosaurus,./data/influence-reference/alignment-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090188.1,6,9004,49,9059,3,0,9059,Eddard,MN090188,./data/influence-reference/alignment-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9056,0,9232,176,0,9232,Eddard,MN090188,./data/influence-reference/alignment-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,182,9004,49,9235,3,1,9235,Eddard,MN090277-MN090188,./data/influence-reference/alignment-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Eddard,MN090277-MN090188,./data/influence-reference/alignment-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090188.1,182,9004,49,9235,3,1,9235,Eddard,MN090277,./data/influence-reference/alignment-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Eddard,MN090277,./data/influence-reference/alignment-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090188.1,3469,7052,1950,12471,54,625,12471,Eddard,reference,./data/influence-reference/alignment-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090277.1,3381,7144,1990,12515,98,625,12515,Eddard,reference,./data/influence-reference/alignment-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090188.1,16,9003,49,9068,4,0,9068,Eddard,reference,./data/influence-reference/alignment-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090277.1,168,9064,0,9232,168,0,9232,Eddard,reference,./data/influence-reference/alignment-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090188.1,54,8989,49,9092,18,29,9092,Eddard,virosaurus,./data/influence-reference/alignment-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090277.1,202,9045,7,9254,180,29,9254,Eddard,virosaurus,./data/influence-reference/alignment-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,308,8536,402,9246,73,1,9246,Jaime,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,75,8203,962,9240,67,1,9240,Jaime,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,5,8999,8,9012,4,0,9012,Jaime,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,360,7577,1363,9300,292,0,9300,Jaime,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MZ766668.1,308,8536,402,9246,73,1,9246,Jaime,MN090277,./data/influence-reference/alignment-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MN090277.1,75,8203,962,9240,67,1,9240,Jaime,MN090277,./data/influence-reference/alignment-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MZ766668.1,7,8997,8,9012,6,0,9012,Jaime,MN090277,./data/influence-reference/alignment-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MN090277.1,360,7576,1363,9299,293,0,9299,Jaime,MN090277,./data/influence-reference/alignment-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,666,8530,408,9604,73,0,9604,Jaime,MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MN090277.1,435,8189,975,9599,68,0,9599,Jaime,MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,5,8999,8,9012,4,0,9012,Jaime,MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MN090277.1,360,7577,1363,9300,292,0,9300,Jaime,MZ766668,./data/influence-reference/alignment-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl0_it2.consensus_ivar,MZ766668.1,3983,6653,2070,12706,288,303,12706,Jaime,reference,./data/influence-reference/alignment-vs-ref//Jaime.reference_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl0_it2.consensus_ivar,MN090277.1,3844,6670,2233,12747,329,303,12747,Jaime,reference,./data/influence-reference/alignment-vs-ref//Jaime.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MZ766668.1,192,8522,387,9101,102,0,9101,Jaime,reference,./data/influence-reference/alignment-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MN090277.1,239,8037,959,9235,236,0,9235,Jaime,reference,./data/influence-reference/alignment-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MZ766668.1,717,8808,8,9533,195,521,9533,Jaime,reference,./data/influence-reference/alignment-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MN090277.1,784,7403,1490,9677,339,521,9677,Jaime,reference,./data/influence-reference/alignment-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl0_it2.consensus_ivar,MZ766668.1,2590,6537,1905,11032,569,580,11032,Jaime,virosaurus,./data/influence-reference/alignment-vs-ref//Jaime.virosaurus_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl0_it2.consensus_ivar,MN090277.1,2479,5716,2892,11087,624,580,11087,Jaime,virosaurus,./data/influence-reference/alignment-vs-ref//Jaime.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MZ766668.1,883,9011,0,9894,0,276,9894,Jaime,virosaurus,./data/influence-reference/alignment-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MN090277.1,886,7603,1517,10006,112,276,10006,Jaime,virosaurus,./data/influence-reference/alignment-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl21_it2.consensus_ivar,MZ766668.1,275,8443,446,9164,122,29,9164,Jaime,virosaurus,./data/influence-reference/alignment-vs-ref//Jaime.virosaurus_cl21_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl21_it2.consensus_ivar,MN090277.1,240,8114,903,9257,215,29,9257,Jaime,virosaurus,./data/influence-reference/alignment-vs-ref//Jaime.virosaurus_cl21_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090240.1,13,8730,282,9025,3,1,9025,Jon,MN090240,./data/influence-reference/alignment-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090277.1,210,9021,1,9232,210,1,9232,Jon,MN090240,./data/influence-reference/alignment-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,223,8731,281,9235,3,1,9235,Jon,MN090277-MN090240,./data/influence-reference/alignment-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Jon,MN090277-MN090240,./data/influence-reference/alignment-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090240.1,223,8731,281,9235,3,1,9235,Jon,MN090277,./data/influence-reference/alignment-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Jon,MN090277,./data/influence-reference/alignment-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090240.1,3655,7145,1742,12542,128,22,12542,Jon,reference,./data/influence-reference/alignment-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090277.1,3522,7369,1693,12584,170,22,12584,Jon,reference,./data/influence-reference/alignment-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl1_it2.consensus_ivar,MN090240.1,773,8618,391,9782,6,474,9782,Jon,reference,./data/influence-reference/alignment-vs-ref//Jon.reference_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl1_it2.consensus_ivar,MN090277.1,562,8939,284,9785,9,474,9785,Jon,reference,./data/influence-reference/alignment-vs-ref//Jon.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090240.1,55,8731,281,9067,3,0,9067,Jon,reference,./data/influence-reference/alignment-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090277.1,168,9064,0,9232,168,0,9232,Jon,reference,./data/influence-reference/alignment-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090277.1.aln
Jon-virosaurus_cl0_it2.consensus_ivar,MN090240.1,754,8731,281,9766,3,693,9766,Jon,virosaurus,./data/influence-reference/alignment-vs-ref//Jon.virosaurus_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-virosaurus_cl0_it2.consensus_ivar,MN090277.1,531,9070,162,9763,0,693,9763,Jon,virosaurus,./data/influence-reference/alignment-vs-ref//Jon.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-virosaurus_cl5_it2.consensus_ivar,MN090240.1,89,8715,285,9089,15,29,9089,Jon,virosaurus,./data/influence-reference/alignment-vs-ref//Jon.virosaurus_cl5_it2.consensus_ivar.vs.MN090240.1.aln
Jon-virosaurus_cl5_it2.consensus_ivar,MN090277.1,202,9045,7,9254,180,29,9254,Jon,virosaurus,./data/influence-reference/alignment-vs-ref//Jon.virosaurus_cl5_it2.consensus_ivar.vs.MN090277.1.aln
Jorah-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,0,9010,1,9011,0,1,9011,Jorah,MN090277-MZ766668,./data/influence-reference/alignment-vs-ref//Jorah.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jorah-MN090277_cl1_it2.consensus_ivar,MZ766668.1,1,9010,0,9011,1,0,9011,Jorah,MN090277,./data/influence-reference/alignment-vs-ref//Jorah.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jorah-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,0,9010,1,9011,0,1,9011,Jorah,MZ766668,./data/influence-reference/alignment-vs-ref//Jorah.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
