Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MK855740,Influenza A virus,GenBank,GCA_039139625.1,,"Jernigan,D., Wentworth,D., Katz,J., Barnes,J., Garten,R., Xu,X.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2019-05-05,EPI_ISL_348068,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2208,partial,H1N1,3,,USA: California,USA,CA,Homo sapiens,,2019-02-21,,PRJNA37813,"Influenza A virus (A/California/70/2019(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
KF015161,Influenza A virus (A/Singapore/H2009.485/2009(H3N2)),GenBank,set:96394f65cd14d566b17af87da29b2548b0645faa,,"Lee,H.K., Tang,J.W., Kong,D.H., Loh,T.P., Chiang,D.K., Lam,T.T., Koay,E.S., Tang,J.W.-T., Kong,D.H.-L., Koay,E.S.-C.","National University Hospital, National University Health System, Laboratory Medicine",Singapore,2013-06-11,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2341,partial,H3N2,1,1,Singapore,Singapore,,Homo sapiens,,2009-06-26,,,"Influenza A virus (A/Singapore/H2009.485/2009(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds"
OP840216,Influenza A virus,GenBank,GCA_039255775.1,,"Wentworth,D., Barnes,J., Garten,R.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2022-11-21,EPI_ISL_9671417,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1541,partial,H3N2,5,,USA: California,USA,CA,Homo sapiens,,2022-01-04,,PRJNA37813,"Influenza A virus (A/California/01/2022(H3N2)) segment 5 nucleocapsid protein (NP) gene, complete cds"
OK384187,Influenza A virus,GenBank,,,"Swine Surveillance,A.","USDA NAHLN Voluntary Swine Influenza Surveillance, DiVL",USA,2021-10-11,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H1N2,6,,USA: Minnesota,USA,MN,Sus scrofa,lung,2021-08-29,,,"Influenza A virus (A/swine/Minnesota/A02248193/2021(H1N2)) segment 6 neuraminidase (NA) gene, complete cds"
OR084032,Influenza A virus,GenBank,GCA_038650255.1,,"Tapia,R., Brito,B., Saavedra,M., Mena,J., Garcia-Salum,T., Rathnasinghe,R., Barriga,G., Tapia,K., Garcia,V., Bucarey,S., Jang,Y., Wentworth,D., Torremorell,M., Neira,V., Medina,R.","Universidad de Chile, Facultad de Ciencias Veterinarias y Pecuarias",Chile,2023-06-11,12-4974-2,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H1N2,3,,Chile,Chile,,Sus scrofa,oronasopharynx,2012-07,,,"Influenza A virus (A/swine/Chile/12-4974-2/2012(H1N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
HB374330,Influenza A virus,GenBank,set:HB374330,,"Ge,Q., Kumar,M., Mcswiggen,J.A.",,,2009-06-09,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),19,partial,,,,,,,,,,,,Sequence 1230 from Patent WO2006110688
OP706201,Influenza A virus,GenBank,GCA_039244715.1,,"Wentworth,D., Barnes,J., Garten,R.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2022-10-29,EPI_ISL_8814255,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2316,partial,H3N2,2,,USA: Montana,USA,MT,Homo sapiens,,2021-11-29,,PRJNA37813,"Influenza A virus (A/Montana/09/2021(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV532363,Influenza A virus,GenBank,GCA_049754445.1,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,2025-04-16,UM-10062667206,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1497,partial,H1N1,5,,USA: Michigan,USA,MI,Homo sapiens,,2025-03-02,,,"Influenza A virus (A/Michigan/UM-10062667206/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
OQ838399,Influenza A virus,GenBank,GCA_039124825.1,,"Taylor,A.","CEIRR Influenza Data Processing and Communication Center (iDPCC), iDPCC",USA,2024-03-05,PV02632,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1027,partial,H1N1,7,,USA,USA,,Homo sapiens,oronasopharynx,2019-01-28,,PRJNA470648,"Influenza A virus (A/USA/PV02632/2019(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
PQ263124,Influenza A virus,GenBank,GCA_041704785.1,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-08-30,EPI_ISL_19108987,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1737,partial,H3N2,4,,USA: Georgia,USA,GA,Homo sapiens,,2024-03-07,,PRJNA998880,"Influenza A virus (A/Georgia/32/2024(H3N2)) segment 4 hemagglutinin (HA) gene, complete cds"
OQ837289,Influenza A virus,GenBank,GCA_039068915.1,,"Taylor,A.","CEIRR Influenza Data Processing and Communication Center (iDPCC), iDPCC",USA,2024-03-05,PV01555,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2341,partial,H3N2,1,,USA,USA,,Homo sapiens,oronasopharynx,2018-04-02,,PRJNA470648,"Influenza A virus (A/USA/PV01555/2018(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PP517164,Influenza A virus,GenBank,GCA_039443945.1,,"Lauring,A.S., Papalambros,L.K.","Lauring Lab at University of Michigan, Department of Microbiology and Immunology",USA,2024-03-27,MIS-L373688009,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1701,partial,H1N1,4,,USA: Michigan,USA,MI,Homo sapiens,,2024-01-29,,PRJNA1019712,"Influenza A virus (A/Michigan/MIS-L373688009/2024(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds"
PV538209,Influenza A virus,GenBank,GCA_049809115.1,,"Fox,E.B., Garrigues,J.M., Green,N.M.","Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories",USA,2025-04-18,LACPHL-INF01632,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H3N2,6,,USA: California,USA,CA,Homo sapiens,,2025-01-02,,,"Influenza A virus (A/California/LACPHL-INF01632/2025(H3N2)) segment 6 neuraminidase (NA) gene, complete cds"
PV017133,Influenza A virus,GenBank,,,"woodard,K., Mukherjee,N., Kercher,L., Webby,R.J.","St. Jude Center of Excellence for Influenza Research and Response (CEIRR), CEIRR Influenza Data Processing and Communication Center",USA,2025-01-24,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),865,partial,H7N3,8,,USA,USA,,Arenaria interpres,feces,2024-05-21,,PRJNA297868,"Influenza A virus (A/Ruddy Turnstone/DE/732/2024(H7N3)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds"
OQ836993,Influenza A virus,GenBank,GCA_038955405.1,,"Taylor,A.","CEIRR Influenza Data Processing and Communication Center (iDPCC), iDPCC",USA,2024-03-05,PV00101,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2341,partial,H3N2,2,,USA,USA,,Homo sapiens,oronasopharynx,2017-02-16,,PRJNA470648,"Influenza A virus (A/USA/PV00101/2017(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
MG759366,Influenza A virus (A/Beijing/PUMCH31/2017(H3N2)),GenBank,set:38f4e3cd8a02eef707ac3b902b9dd61376316cab,,"Ren,L., Xiao,Y., Wang,J., Gao,Z., Li,T.","Dr. Christophe Merieux Laboratory, Institute of Pathogen Biology, Chinese Academy of Medical Sciences",,2019-12-31,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,complete,H3N2,6,,China,China,,Homo sapiens,oronasopharynx,2017-08-07,,,"Influenza A virus (A/Beijing/PUMCH31/2017(H3N2)) segment 6 neuraminidase (NA) gene, complete cds"
OQ965814,Influenza A virus,GenBank,GCA_039287715.1,,"Youk,S., Torchetti,M.K., Lantz,K., Lenoch,J.B., Killian,M.L., Leyson,C., Bevins,S.N., Dilione,K., Ip,H.S., Stallknecht,D.E., Poulson,R.L., Suarez,D.L., Swayne,D.E., Pantin-Jackwood,M.J., Stuber,T., Hicks,J., Norris,C., Franzen,K., Love,E., Chinh,T.","United States Department of Agriculture, Agricultural Research Service, Southeast Poultry Research Laboratory",USA,2023-08-23,22-010991-001,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H5N1,6,1,USA: Minnesota,USA,MN,Meleagris gallopavo,swab,2022-04-09,,,"Influenza A virus (A/Turkey/Minnesota/22-010991-001/2022(H5N1)) segment 6 neuraminidase (NA) gene, complete cds"
MT200024,Influenza A virus,GenBank,GCA_039198265.1,,"Sakoda,Y., Okamatsu,M., Matsuno,K., Le,K.T.","Microbiology Laboratory, Hokkaido University",Japan,2020-03-22,A_duck_Vietnam_HU12-1572_2019,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1551,partial,H5N1,5,,Viet Nam,Viet Nam,,Anas platyrhynchos,swab,2019-12-30,,,"Influenza A virus (A/Domestic duck/Viet Nam/A_duck_Vietnam_HU12-1572_2019/2019(H5N1)) segment 5 nucleocapsid protein (NP) gene, complete cds"
HQ291548,Influenza A virus (A/swine/IL/27486-1/2010(H1N1)),GenBank,set:1195dc75b2f8041d13e36ad526f95ade3d8306ad,,"Koster,L., Gramer,M.","National Veterinary Services Laboratories, Diagnostic Virology Laboratory",USA,2010-10-05,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,partial,H1N1,7,,USA,USA,,Sus scrofa,lung,2010-06-02,,PRJNA37813,"Influenza A virus (A/swine/IL/27486-1/2010(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
KP767461,Influenza A virus (A/duck/Guangdong/G1451/2014(H6)),GenBank,set:d193e4c27a51969f095444ccc987da746fedb29d,,"Li,Z., Liu,S., Hou,G., Wang,S., Li,J., Zhang,X., Wang,D., Chen,J.","China Animal Health and Epidemiology Center, Laboratory of Avian Disease Surveillance",China,2016-02-05,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1636,partial,H6,4,,China,China,,Anatidae,,2014-04-15,,,"Influenza A virus (A/duck/Guangdong/G1451/2014(H6)) segment 4 hemagglutinin (HA) gene, partial cds"
PV503818,Influenza A virus,GenBank,GCA_049708335.1,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,2025-04-15,EPI_ISL_19772760,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1433,partial,H1N1,6,,USA: Rhode Island,USA,RI,Homo sapiens,,2025-01-24,,PRJNA998879,"Influenza A virus (A/Rhode Island/15/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds"
MH135735,Influenza A virus,GenBank,set:693bf33fe30425baf06e6361c52bfa39a3bb34e3,,"Danner,A., Turner,J.C., Friedman,K., Krauss,S., Webby,R.J.",St. Jude Center of Excellence for Influenza Research and Surveillance (CEIRS),USA,2018-05-09,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2329,partial,mixed,1,,USA,USA,,Arenaria interpres,,2017-05-24,,PRJNA297868,"Influenza A virus (A/ruddy turnstone/Delaware Bay/532/2017(mixed)) segment 1 polymerase PB2 (PB2) gene, complete cds"
PP505720,Influenza A virus,GenBank,,,"Ciuoderis,K., Usuga,J., Perez-Restrepo,L.S., Gonzalez-Ramire,M., Carvajal,L., Cardona,A., Moreno,I., Hernandez-Ortiz,J., Diaz,A., Osorio,J.","Universidad Nacional, Facultad de Minas",Colombia,2024-09-23,M9949,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H1N1,3,,Colombia,Colombia,,Homo sapiens,,2016,,,"Influenza A virus (A/Colombia/M9949/2016(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PP685996,Influenza A virus,GenBank,GCA_039439675.1,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-04-23,EPI_ISL_18934373,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2316,partial,H3N2,2,,USA: Iowa,USA,IA,Homo sapiens,,2024-01-21,,PRJNA998880,"Influenza A virus (A/Iowa/12/2024(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
HV229456,Influenza A virus,GenBank,set:HV229456,,"Chen,C., Ge,C., Eisen,H.N.",,,2011-07-15,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),19,partial,,,,,,,,,,,,JP 2008533990-A/828: INFLUENZA THERAPEUTIC
HE968266,Influenza A virus (A/equine/United Kingdom/306420/2003(H3N8)),GenBank,set:a483c7b94fd4074611c2dba9f66841fda65c99d2,,"Hughes,J., Allen,R.C., Baguelin,M., Hampson,K., Baillie,G.J., Elton,D., Newton,J.R., Kellam,P., Wood,J.L., Holmes,E.C., Murcia,P.R.","MRC-Center for Virus Research, University of Glasgow, Church Street, G21 8QQ",United Kingdom,2012-12-20,306420,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),903,partial,H3N8,,1,United Kingdom,United Kingdom,,Equus caballus,,2003-03-25,,,"Influenza A virus (A/equine/United Kingdom/306420/2003(H3N8)) partial viral cRNA for hemagglutinin precursor (HA gene), isolate 306420, clone 22"
KY487514,Influenza A virus (A/Baltimore/P0008/2014(H3N2)),GenBank,GCA_038762235.1,,,The Johns Hopkins Center for Excellence in Influenza Research and Surveillance (JH-CEIRS),USA,2017-02-18,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2340,partial,H3N2,1,,USA,USA,,Homo sapiens,,2014-12-14,,PRJNA297517,"Influenza A virus (A/Baltimore/P0008/2014(H3N2)) segment 1 polymerase PB2 (PB2) gene, complete cds"
GQ379815,Influenza A virus (A/Mexico/4108/2009(H1N1)),GenBank,set:830214fd201958713f3a9d9acd77daca53dc768e,,"Alpuche-Aranda,C.M., Lopez-Gatell,H., Olivera,H., Shu,B., Balish,A., Garten,R., Smith,C., Emery,S., Barnes,J., Deyde,V., Klimov,A., Cox,N.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2009-07-15,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2280,partial,H1N1,1,,Mexico,Mexico,,Homo sapiens,,2009-04-03,,PRJNA37813,"Influenza A virus (A/Mexico/4108/2009(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds"
OL755646,Influenza A virus,GenBank,GCA_039234085.1,,"USDA Swine Surveillance,A.","USDA, USDA",USA,2021-12-12,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H1N2,3,,USA: Iowa,USA,IA,Sus scrofa,lung,2021-06-28,,,"Influenza A virus (A/swine/Iowa/A02635937/2021(H1N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
PV382062,Influenza A virus,GenBank,,,"Yang,J., Li,J., Sun,J., Fu,G., Tian,T., Yang,Y., Lu,X., Li,S., Wang,L., Dong,J., Wu,M., Liu,Y., Li,D., Hu,D., Dong,H., Shang,R., Wang,Y., Yuan,K., Ran,L., Sun,H., Tian,W., Huang,Y., Liu,J., Liu,W., Shi,W., Gao,G.F., Bi,Y.","Shandong First Medical University & Shandong Academy of Medical Sciences, Key Laboratory of Emerging Infectious Diseases in Universities of Shandong",China,2025-03-25,11.28JZRLmixed-EN,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2274,partial,H9N2,2,,China: Shanxi,China,,,,2019-11-28,,,"Influenza A virus (A/environment/Shanxi/11.28JZRLmixed-EN/2019(H9N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
PV518557,Influenza A virus,GenBank,GCA_049708535.1,,"Steel,J., Kirby,M., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, Influenza Division",USA,2025-04-15,EPI_ISL_19746240,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2316,partial,H1N1,2,,USA: Massachusetts,USA,MA,Homo sapiens,,2025-01-24,,PRJNA998884,"Influenza A virus (A/Massachusetts/ISC-1349/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence"
PP876707,Influenza A virus,GenBank,GCA_040154665.1,,"Barnes,J., Steel,J., Garten,R., Davis,T., Dugan,V.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2024-06-11,EPI_ISL_19034403,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2316,partial,H3N2,2,,USA: Minnesota,USA,MN,Homo sapiens,,2024-02-23,,PRJNA998880,"Influenza A virus (A/Minnesota/26/2024(H3N2)) segment 2 polymerase PB1 (PB1) and PB1-F2 protein (PB1-F2) genes, complete cds"
MN303238,Influenza A virus,GenBank,set:33fe3313a3e85a21d5a98b11d7eae9cf511a2593,,"Mueller,N.F., Wuethrich,D., Seth-Smith,H.M., Hollenstein,Y., Syedbasha,M., Lang,D., Neher,R.A., Dubuis,O., Negele,M., Buser,A., Nickel,C.H., Ritz,N., Zeller,A., Lang,B.M., Hadfield,J., Bedford,T., Battegay,M., Schneider-Sliwa,R., Egli,A., Stadler,T.","ETH Zuerich, D-BSSE",Switzerland,2019-08-17,USB003126.3,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),2151,partial,H3N2,3,,Switzerland: Basel,Switzerland,,Homo sapiens,oronasopharynx,2017-02-17,,,"Influenza A virus (A/Basel/USB003126.3/2017(H3N2)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds"
KF790033,Influenza A virus (A/Arkansas/07/2013(H3N2)),GenBank,set:bab099d6e560844334129a1a1e95cc5d089a4a31,,"Barnes,J., Villanueva,J., Shaw,M., Cox,N., Garten,R., Xu,X.","Centers for Disease Control and Prevention, WHO Collaborating Center for Surveillance, Epidemiology and Control of Influenza, Influenza Division",USA,2013-11-06,EPI_ISL_145120,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1410,partial,H3N2,6,,USA,USA,,Homo sapiens,,2013-07-29,,,"Influenza A virus (A/Arkansas/07/2013(H3N2)) segment 6 neuraminidase (NA) gene, complete cds"
