Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OM975813,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR17334635,"Bankers,L., Hetherington-Rauth,M.C., Ir,D., Alexandria,R., Michael,M.A., Waters,M., Smith,A., Matzinger,S.R., Travanty,E.A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-03-11,AY.119.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,CO-CDPHE-2102303466,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29764,partial,,,,USA,USA,,Homo sapiens,,2021-11-16,SAMN24386996,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2102303466/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), ORF8 protein (ORF8), nucleocapsid phosphoprotein (N), and ORF10 protein (ORF10) genes, complete cds"
OV555839,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR7809394,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-01-17,AY.4.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-12-08,SAMEA12004618,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OL593706,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR21045459,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-11-22,AY.3.3,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,NJ-CDC-ASC210385643,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29741,partial,,,,USA: New Jersey,USA,NJ,Homo sapiens,,2021-11-02,SAMN23317802,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/NJ-CDC-ASC210385643/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OW558680,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,2022-04-28,AY.43,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,Denmark:Syddanmark,Denmark,,Homo sapiens,,2021-11-15,SAMEA14067933,PRJEB49401,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OV020960,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2021-11-23,AY.125,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,partial,,,,Germany:Europe/Germany/Saxony,Germany,,Homo sapiens,,2021-10-14,SAMEA10701912,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
MZ897393,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR15572247,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Gao,H., Li,M., Gao,J., Fierro,J., Sapra,B., Tsai,B., Meng,Y., Ng,D., Xie,J., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2021-08-25,AY.47,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CA-CDC-FG-074813,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29800,partial,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,2021-08-11,SAMN20935373,PRJNA731152,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-FG-074813/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OX637067,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"61 Colindale Avenue, London, NW9 5EQ",United Kingdom,2023-05-25,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29876,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-06-07,SAMEA113047387,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OB991696,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR4848913,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-04-20,B.1.177,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2020-10-23,SAMEA7585985,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OP147895,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR20910059,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-08-04,BA.5.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,IN-CDC-STM-V8S5DC26Z,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29844,complete,,,,USA: Indiana,USA,IN,Homo sapiens,oronasopharynx,2022-07-22,SAMN30137980,PRJNA720050,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/IN-CDC-STM-V8S5DC26Z/2022, complete genome"
OW309054,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2022-03-29,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29845,partial,,,,Germany:Europe/Germany/Saxony,Germany,,Homo sapiens,,2021-12-30,SAMEA13641312,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OQ836141,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"MacKellar,D., Dykema,P., Russell,D., Halstead,H., Roche,K., Howell,C., Lathum,A., Peterson,J., Singh,A., Cao,R., Garcia,K., Peter,C., Delgado,A.","Washington State Department of Health, Public Health Laboratories",USA,2023-04-18,BQ.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,WA-PHL-032340,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29584,partial,,,,"USA: Washington, Spokane County",USA,WA,Homo sapiens,oronasopharynx,2022-12-28,,PRJNA749781,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/WA-PHL-032340/2022 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), ORF7b (ORF7b), and ORF8 protein (ORF8) genes, complete cds; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, partial cds"
OL310350,Severe acute respiratory syndrome coronavirus 2,GenBank,,,"Nguyen,S.V., Doss,J., Scott,S., Bruns,N., Bchara,W., Hauser,J.","DC DFS PHL NCBI Submission Group, Molecular Diagnostics Unit",USA,2021-11-01,AY.25,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,DC-DFS-PHL-02161,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29487,partial,,genome,,USA: DC,USA,DC,Homo sapiens,,2021-09-13,,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/DC-DFS-PHL-02161/2021 ORF1ab polyprotein (ORF1ab) and ORF1a polyprotein (ORF1ab) genes, partial cds; surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), and ORF6 protein (ORF6) genes, complete cds; ORF7a protein (ORF7a) and ORF7b (ORF7b) genes, partial cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
OW290775,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR9408842,"Fraser,D., Lee,S., Howes,R., The Rosalind Franklin,Laboratory., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-03-29,BA.1.1.18,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-03-17,SAMEA13675011,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
MZ195894,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR16727481,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,2021-05-14,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CA-CDC-ASC210032774,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29846,complete,,,,USA: California,USA,CA,Homo sapiens,oronasopharynx,2021-04-26,SAMN22687374,PRJNA731148,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CA-CDC-ASC210032774/2021, complete genome"
OW693930,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2022-05-02,BA.2.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29783,partial,,,,Germany:Europe/Germany/Bavaria,Germany,,Homo sapiens,,2022-02-28,SAMEA14137230,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OY977062,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR6306348,,"Northumbria University, Newcastle upon Tyne, NE1 8SB, UK / The James Cook University Hospital, Middlesbrough TS4 3BW / Cumberland Infirmary, Newtown Road, Carlisle, Cumbria, CA2 7HY / University Hospital of North Tees, Hardwick Road, Stockton on Tees, Cleveland, TS19 8PE / The Newcastle upon Tyne Hospitals NHS Foundation Trust, Freeman Hospital, Freeman Road, High Heaton, Newcastle upon Tyne Ne7 7Dn",,2023-12-14,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-06-30,SAMEA8974619,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OV359615,Severe acute respiratory syndrome coronavirus 2,GenBank,,,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,2022-01-09,AY.125,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29853,partial,,,,Germany:Europe/Germany/Bavaria,Germany,,Homo sapiens,,2021-08-31,SAMEA10663368,PRJEB44987,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
OD969418,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR5292135,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2021-05-03,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29884,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2021-01-27,SAMEA8058737,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, complete genome: monopartite"
OV806100,Severe acute respiratory syndrome coronavirus 2,GenBank,,ERR8285623,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,2022-02-09,BA.1.16,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,2022-01-22,SAMEA12793205,PRJEB37886,"Severe acute respiratory syndrome coronavirus 2 genome assembly, chromosome: 1"
ON916762,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR20132924,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,2022-07-05,BA.2.12.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,true,CO-CDC-LC0731003,Betacoronavirus pandemicum,Betacoronavirus,Coronaviridae,ssRNA(+),29693,complete,,,,USA: Colorado,USA,CO,Homo sapiens,oronasopharynx,2022-06-17,SAMN29497535,PRJNA716984,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDC-LC0731003/2022, complete genome"
OM211713,Severe acute respiratory syndrome coronavirus 2,GenBank,,SRR17489589,"Bankers,L., Hetherington-Rauth,M.C., Ir,D., Alexandria,R., Michael,M.A., Waters,M., Smith,A., Matzinger,S.R., Totten,S., Travanty,E.A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,2022-01-10,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,CO-CDPHE-2101139455,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29763,partial,,,,USA,USA,,Homo sapiens,,2021-05-18,SAMN19710840,,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/CO-CDPHE-2101139455/2021 ORF1ab polyprotein (ORF1ab), ORF1a polyprotein (ORF1ab), surface glycoprotein (S), ORF3a protein (ORF3a), envelope protein (E), membrane glycoprotein (M), ORF6 protein (ORF6), ORF7a protein (ORF7a), and ORF7b (ORF7b) genes, complete cds; ORF8 gene, complete sequence; and nucleocapsid phosphoprotein (N) and ORF10 protein (ORF10) genes, complete cds"
