Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MW467898,Orthonairovirus haemorrhagiae,GenBank,,,"Bendary,H.A., Rasslan,F., Zaki,A.M., Abdulall,A.K.","Faculty of Pharmacy (Girls), Al-Azhar University, Microbiology and Immunology",Egypt,2021-02-21,18,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),260,partial,,S,,Egypt,Egypt,,Ixodida,,2020,,,"Orthonairovirus haemorrhagiae isolate 18 nucleocapsid protein gene, partial cds"
KR815192,Orthonairovirus haemorrhagiae,GenBank,set:4d49d01b1db8c620c441c1ac18fbb72c4cc7dbc4,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,61-STV/HU-2010,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),538,partial,,S,,Russia,Russia,,Homo sapiens,blood,2010,,,"Orthonairovirus haemorrhagiae isolate 61-STV/HU-2010 nucleocapsid protein gene, partial cds"
AY905626,Orthonairovirus haemorrhagiae,GenBank,set:a8488525df9cb5fbdeaa28cb542b46c32013cc10,,"Burt,F.J., Swanepoel,R.","National Institute for Communicable Diseases, Special Pathogens Unit",South Africa,2005-06-01,spu94/85,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),450,partial,,S,1,South Africa,South Africa,,,,,,,"Crimean-Congo hemorrhagic fever virus isolate spu94/85 nucleoprotein gene, partial cds"
MN624526,Orthonairovirus haemorrhagiae,GenBank,,,"Volynkina,A., Kotenev,E., Kolosov,A.","Stavropol State Research Anti-Plague Institute, Laboratory on Natural Focal Infections",,2020-07-27,215-ROS/HU-2015,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),435,partial,,M,,Russia,Russia,,Homo sapiens,blood,2015-07-31,,,"Orthonairovirus haemorrhagiae isolate 215-ROS/HU-2015 envelope glycoprotein gene, partial cds"
HQ675009,Orthonairovirus haemorrhagiae,GenBank,set:741eb4e8b6b28b77446fcc79c442b33d79962531,,"Kalaycioglu,A.T., Durmaz,R., Uyar,Y., Unaldi,O., Aksekili,E., Ozkul,A., Korukluoglu,G., Ertek,M.","Refik Saydam National Public Health Agency, Molecular Microbiology Research and Application Laboratory",Turkey,2010-12-26,Kastamonu 229-2010,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),523,partial,,,1,Turkey,Turkey,,Homo sapiens,blood,2010,,,"Crimean-Congo hemorrhagic fever virus isolate Kastamonu 229-2010 S protein (S) gene, partial cds"
OM162046,Orthonairovirus haemorrhagiae,GenBank,,,"Umair,M., Rehman,Z., Whitmer,S., Mobley,M., Fahim,A., Ikram,A., Salman,M., Montgomery,J.M., Klena,J.D., Khurshid,A., Talundzic,E., Montgomery,J., Klena,J.","CDC, NCEZID-VSPB",USA,2024-07-26,202000276_202019|Pakistan|2019,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),5346,partial,,M,1,Pakistan,Pakistan,,Homo sapiens,,2019,,,"Orthonairovirus haemorrhagiae isolate 202000276_202019|Pakistan|2019 envelope glycoprotein precursor, gene, complete cds"
KF039971,Orthonairovirus haemorrhagiae,GenBank,set:209884c8fcd3554fffa35dd86bda3c32b80a2bfb,,"Fajs,L., Jakupi,X., Ahmeti,S., Humolli,I., Dedushaj,I., Avsic-Zupanc,T.","Institute of Microbiology and Immunology, MF, UL, Laboratory for Diagnosis of Zoonoses",Slovenia,2014-03-12,KS-149,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),421,partial,,M,1,Kosovo,Kosovo,,Homo sapiens,blood,2012-10-01,,,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-149 glycoprotein precursor, gene, partial cds"
MN624866,Orthonairovirus haemorrhagiae,GenBank,,,"Volynkina,A., Kotenev,E., Kolosov,A.","Stavropol State Research Anti-Plague Institute, Laboratory on Natural Focal Infections",,2020-07-27,48-ROS/HU-2016,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),437,partial,,L,,Russia,Russia,,Homo sapiens,blood,2016-05-13,,,"Orthonairovirus haemorrhagiae isolate 48-ROS/HU-2016 RNA-dependent RNA polymerase gene, partial cds"
KR092373,Orthonairovirus haemorrhagiae,GenBank,set:8ae7ecac49d4b5265ff876c1581a1f5c7859520c,,"Papa,A., Pappa,S., Panayotova,E., Papadopoulou,E., Christova,I.","Aristotle University of Thessaloniki, Dept. of Microbiology",Greece,2015-11-09,,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),220,partial,,,1,Bulgaria,Bulgaria,,Hyalomma marginatum,,2014,,,"Orthonairovirus haemorrhagiae strain Kardzhali-tick1/2014 nucleocapsid protein gene, partial cds"
PP735358,Orthonairovirus haemorrhagiae,GenBank,,,"D'Addiego,J., Shah,S., Elaldi,N., Allen,D., Hewson,R.","UK Health Security Agency, Research & Evaluation",United Kingdom,2024-10-26,CCHFV_18,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1498,partial,Europe,S,,Turkey,Turkey,,Homo sapiens,blood,2020-08-10,,,"Orthonairovirus haemorrhagiae isolate CCHFV_18 segment S nucleocapsid protein gene, partial cds"
MW452935,Orthonairovirus haemorrhagiae,GenBank,,,"Wampande,E.M., Waiswa,P., Allen,D.J., Hewson,R., Frost,S.D.W., Stubbs,S.C.B.","London School of Hygiene and Tropical Medicine, Infectious Disease Epidemiology",,2021-02-10,CW-024,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),11838,partial,,,,Uganda: Kampala,Uganda,,Rhipicephalus decoloratus,,2019,,,"Orthonairovirus haemorrhagiae isolate CW-024 RNA-dependent RNA polymerase gene, complete cds"
KR821409,Orthonairovirus haemorrhagiae,GenBank,set:3f0eef5ed7a625968b2dc9bccdfcc9f9060c6238,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,14-STV/HU-2013,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),435,partial,,M,,Russia,Russia,,Homo sapiens,blood,2013,,,"Orthonairovirus haemorrhagiae isolate 14-STV/HU-2013 envelope glycoprotein gene, partial cds"
PV126632,Orthonairovirus haemorrhagiae,GenBank,,,"Volynkina,A., Zhirova,A., Lisitskaya,Y., Dedkov,V., Dolgova,A., Gladkih,A.","St. Petersburg Scientific Research Institute of Epidemiology and Microbiology named after Pasteur, Department of Epidemiology",,2025-03-05,622-STV-TI-2021,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1449,partial,,S,,Russia,Russia,,Ixodoidea,,2021,,,"Orthonairovirus haemorrhagiae isolate 622-STV-TI-2021 segment S nucleocapsid protein gene, complete cds"
MN004867,Orthonairovirus haemorrhagiae,GenBank,set:4fb8ef8cf3fbd7ff41ef7fe12477d105fd298818,,"Volynkina,A.S., Kotenev,E.S.","Stavropol State Research Anti-Plague Institute, Laboratory on Natural Focal Infections",,2020-01-18,116-ROS/HU-2016,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),435,partial,,M,,Russia,Russia,,Homo sapiens,blood,2016-06,,,"Orthonairovirus haemorrhagiae isolate 116-ROS/HU-2016 envelope glycoprotein gene, partial cds"
PP735364,Orthonairovirus haemorrhagiae,GenBank,,,"D'Addiego,J., Shah,S., Elaldi,N., Allen,D., Hewson,R.","UK Health Security Agency, Research & Evaluation",United Kingdom,2024-10-26,CCHFV_Kosovo_2009,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1498,partial,Europe,S,,Kosovo,Kosovo,,Homo sapiens,,2009,,,"Orthonairovirus haemorrhagiae isolate CCHFV_Kosovo_2009 segment S nucleocapsid protein gene, partial cds"
KR821719,Orthonairovirus haemorrhagiae,GenBank,set:1a1c555cdd5ff2607f62e2faa77e584e20ea8bac,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,45-ROS/HU-2012,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),437,partial,,L,,Russia,Russia,,Homo sapiens,blood,2012,,,"Orthonairovirus haemorrhagiae isolate 45-ROS/HU-2012 RNA-dependent RNA polymerase gene, partial cds"
KR814848,Orthonairovirus haemorrhagiae,GenBank,set:06523ea78c7dda4bb9148e00ebb1f3b0cfffb8cc,,"Volynkina,A., Pisarenko,S.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,3809-ST-2007,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1671,complete,,S,,Russia,Russia,,Homo sapiens,blood,2007,,,"Orthonairovirus haemorrhagiae isolate 3809-ST-2007 segment S, complete sequence"
KF595138,Orthonairovirus haemorrhagiae,GenBank,set:36d7627c8e7df5bfde42cdb783eb35d4b043de93,,"Fajs,L., Jakupi,X., Ahmeti,S., Humolli,I., Dedushaj,I., Avsic-Zupanc,T.","University of Ljubljana, Faculty of Medicine, Institute of Microbiology and Immunology",Slovenia,2014-03-12,KS_226,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1109,partial,,,1,Kosovo,Kosovo,,Homo sapiens,blood,2013-07-01,,,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS_226 nucleoprotein gene, partial cds"
MN624661,Orthonairovirus haemorrhagiae,GenBank,,,"Volynkina,A., Kotenev,E., Kolosov,A.","Stavropol State Research Anti-Plague Institute, Laboratory on Natural Focal Infections",,2020-07-27,7204-VOL/HU-2016,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),435,partial,,M,,Russia,Russia,,Homo sapiens,blood,2016-05-18,,,"Orthonairovirus haemorrhagiae isolate 7204-VOL/HU-2016 envelope glycoprotein gene, partial cds"
KR821873,Orthonairovirus haemorrhagiae,GenBank,set:8fa5b6dc2df8916b753cd2f63c8c2961dd50088f,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,60-STV/HU-2010,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),437,partial,,L,,Russia,Russia,,Homo sapiens,blood,2010,,,"Orthonairovirus haemorrhagiae isolate 60-STV/HU-2010 RNA-dependent RNA polymerase gene, partial cds"
MN866206,Orthonairovirus haemorrhagiae,GenBank,,,"Sahay,R.R., Dhandore,S., Yadav,P.D., Chauhan,A., Bhatt,L., Garg,V., Gupta,N., Nyayanit,D.A., Shete,A.M., Singh,R., Patil,S., Sharma,H., Meena,D., Gupta,J., Gawande,P., Kalele,K., Jain,R., Mali,D., Malhotra,B., Nag,V., Khatri,P.K., Kaur,H., Vijay,N., Singh,S., Gopalakrishnan,M., Yadav,P.","National Institue of Virology, Maximum Containment Laboratory",India,2020-06-27,MCL-19-T-1916,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),5355,partial,,M,1,India: Rajasthan State,India,,Ixodoidea,,2019,,,"Orthonairovirus haemorrhagiae isolate MCL-19-T-1916 segment M, complete sequence"
ON668035,Orthonairovirus haemorrhagiae,GenBank,,,"Kalaycioglu,A.T., Oguzoglu,T.C., Ari,O., Durmaz,R., Engin,A., Bakir,M., Erdem,E.","Bay, Faculty of Pharmacy Department of Pharmaceutical Microbiology",Turkey,2023-02-22,TR-SIVAS-C13F-2021,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),5364,complete,,M,,Turkey,Turkey,,Homo sapiens,blood,2021,,,"Crimean-Congo hemorrhagic fever orthonairovirus isolate TR-SIVAS-C13F-2021 segment M, complete sequence"
PV390618,Orthonairovirus haemorrhagiae,GenBank,,,"D'Addiego,J., Mullojanova,M., Hikmatov,T., Tishkova,F., Hewson,R.","UK Health Security Agency, Research & Evaluation",United Kingdom,2025-04-05,CCHFV_N.O.34,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),5341,partial,Asia,M,,Tajikistan,Tajikistan,,Homo sapiens,blood,2017-07-07,,,"Orthonairovirus haemorrhagiae isolate CCHFV_N.O.34 segment M glycoprotein precursor, gene, complete cds"
OR964921,Orthonairovirus haemorrhagiae,GenBank,,,"Umair,M., Haider,S.A., Jamal,Z., Ammar,M., Hakim,R., Ali,Q., Salman,M.","National Institute of Health, Department of Virology",Pakistan,2023-12-26,CCHF/NIHPAK-31/2023,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),12158,complete,ASIA-1,L,,Pakistan,Pakistan,,Homo sapiens,blood,2023-05-01,,,"Orthonairovirus haemorrhagiae isolate CCHF/NIHPAK-31/2023 segment L, complete sequence"
KR821809,Orthonairovirus haemorrhagiae,GenBank,set:e249a1d842578dd91e9d5839f6011609565a5225,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,47-STV/HU-2013,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),437,partial,,L,,Russia,Russia,,Homo sapiens,blood,2013,,,"Orthonairovirus haemorrhagiae isolate 47-STV/HU-2013 RNA-dependent RNA polymerase gene, partial cds"
KR821323,Orthonairovirus haemorrhagiae,GenBank,set:23360750b74e13ec75df8ba047e15f248762a110,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,58-ROS/HU-2012,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),435,partial,,M,,Russia,Russia,,Homo sapiens,blood,2012,,,"Orthonairovirus haemorrhagiae isolate 58-ROS/HU-2012 envelope glycoprotein gene, partial cds"
KF039935,Orthonairovirus haemorrhagiae,GenBank,set:10ada72e8b7f68113f362df40f452ff62726739d,,"Fajs,L., Jakupi,X., Ahmeti,S., Humolli,I., Dedushaj,I., Avsic-Zupanc,T.","Institute of Microbiology and Immunology, MF, UL, Laboratory for Diagnosis of Zoonoses",Slovenia,2014-03-12,KS-197,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1109,partial,,S,1,Kosovo,Kosovo,,Homo sapiens,blood,2012-10-01,,,"Crimean-Congo hemorrhagic fever virus strain Hoti isolate KS-197 nucleoprotein gene, partial cds"
MW464978,Orthonairovirus haemorrhagiae,GenBank,,,"Balinandi,S., Whitmer,S., Mulei,S., Nyakarahuka,L., Tumusiime,A., Kyondo,J., Mugisha,L., Almberg,M., Lutwama,J., Shoemaker,T., Klena,J.D.","CDC, VSPB",USA,2021-09-19,201900913,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1627,partial,,S,,Uganda,Uganda,,Homo sapiens,,2018-09-22,,,"Orthonairovirus haemorrhagiae isolate 201900913 nucleocapsid protein gene, complete cds"
MN866161,Orthonairovirus haemorrhagiae,GenBank,,,"Sahay,R.R., Dhandore,S., Chauhan,A., Bhatt,L., Garg,V., Gupta,N., Nyayanit,D.A., Shete,A.M., Singh,R., Patil,S., Sharma,H., Meena,D., Gawande,P., Kalele,K., Jain,R., Mali,D., Malhotra,B., Nag,V., Kaur,H., Singh,N., Singh,S., Gopalkrishnan,M., Yadav,P.D., Yadav,P.","National Institute of Virology, Maximum Containment Laboratory",India,2020-11-13,MCL-19-H-1882,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),1634,partial,,S,,India: Gujarat State,India,,Homo sapiens,,2019,,,"Orthonairovirus haemorrhagiae isolate MCL-19-H-1882 segment S, complete sequence"
MN624882,Orthonairovirus haemorrhagiae,GenBank,,,"Volynkina,A., Kotenev,E., Kolosov,A.","Stavropol State Research Anti-Plague Institute, Laboratory on Natural Focal Infections",,2020-07-27,16-KALM/HU-2016,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),437,partial,,L,,Russia,Russia,,Homo sapiens,blood,2016-06-20,,,"Orthonairovirus haemorrhagiae isolate 16-KALM/HU-2016 RNA-dependent RNA polymerase gene, partial cds"
DQ211621,Orthonairovirus haemorrhagiae,GenBank,set:b771962392cc58a060a859b1e3c2ce61ffa6c66f,,"Deyde,V.M., Khristova,M.L., Rollin,P.E., Ksiazek,T.G., Nichol,S.T.","Centers for Disease Control and Prevention, Special Pathogens Branch, Biotechnology Core Facility Branch",USA,2006-08-16,,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),12158,partial,,L,1,South Africa,South Africa,,Homo sapiens,,1987,,,"Crimean-Congo hemorrhagic fever virus strain SPU103/87 segment L, complete sequence"
KR821382,Orthonairovirus haemorrhagiae,GenBank,set:882116a28549ece394af113e8705575e3893ddff,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,84-ROS/HU-2013,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),435,partial,,M,,Russia,Russia,,Homo sapiens,blood,2013,,,"Orthonairovirus haemorrhagiae isolate 84-ROS/HU-2013 envelope glycoprotein gene, partial cds"
KC477782,Orthonairovirus haemorrhagiae,GenBank,set:bef80e09421404e89cc9c9cc0fb77dfbc6e8bfc2,,"Fajs,L., Jakupi,X., Ahmeti,S., Humolli,I., Dedushaj,I., Avsic-Zupanc,T.","Institute of Microbiology and Immunology, Mf, Ul, Laboratory for Diagnosis of Zoonoses",Slovenia,2014-01-27,KS-188,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),220,partial,,,1,Kosovo,Kosovo,,Homo sapiens,,2012-10-01,,,"Crimean-Congo hemorrhagic fever virus isolate KS-188 nucleoprotein gene, partial cds"
KR821591,Orthonairovirus haemorrhagiae,GenBank,set:c9665a8dd2e5ecd04c3b05108f74d54399de236d,,"Volynkina,A., Burlachenko,A., Lisitskaya,Y., Kotenev,E.","Stavropol State Research Anti-Plague Institute, Laboratory of Natural-Focal Infections",,2016-06-01,77-STV/HU-2007,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),435,partial,,M,,Russia,Russia,,Homo sapiens,blood,2007,,,"Orthonairovirus haemorrhagiae isolate 77-STV/HU-2007 envelope glycoprotein gene, partial cds"
KY213713,Orthonairovirus haemorrhagiae,GenBank,set:c107bc6c652af720741770422e34164327425c5e,,"Yadav,P.D., Thacker,S., Patil,D.Y., Jain,R., Mourya,D.T., Shete,A.M.","National Institute of Virology, Microbial Containment Complex",India,2017-06-07,,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),5349,complete,,M,1,India,India,,,,2016,,,"Orthonairovirus haemorrhagiae strain NIV161064 segment M, complete sequence"
AY062026,Orthonairovirus haemorrhagiae,GenBank,set:d5ece286f9384b6ffa841aea6772eeaeb26250c8,,"Platonov,A.E., Karan,L.S., Shipulin,G.A., Maleev,V.V., Yazyshina,S.B., Obukhov,I.L., Antonov,V.A., Krasnova,E.M., Govorukhina,M.V., Shvager,M.M.",Central Research Institute of Epidemiology,Russia,2001-12-05,R-01-KOR,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),215,partial,,S,,Russia,Russia,,Homo sapiens,,,,,"Crimean-Congo hemorrhagic fever virus isolate R-01-KOR nucleoprotein gene, partial cds"
KX425614,Orthonairovirus haemorrhagiae,GenBank,set:0a9b4020b73950030fdf62a651607bb44d515971,,"Orkun,O., Karaer,Z., Cakmak,A., Nalbantoglu,S.","Ankara University Veterinary Faculty, Department of Parasitology",Turkey,2017-04-12,Orkun-Aky/Hap-216A,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),212,partial,,,,Turkey,Turkey,,Haemaphysalis parva,,,,,"Orthonairovirus haemorrhagiae isolate Orkun-Aky/Hap-216A S protein gene, partial cds"
MN624940,Orthonairovirus haemorrhagiae,GenBank,,,"Volynkina,A., Kotenev,E., Kolosov,A.","Stavropol State Research Anti-Plague Institute, Laboratory on Natural Focal Infections",,2020-07-27,7-KALM/TI-2016,Orthonairovirus haemorrhagiae,Orthonairovirus,Nairoviridae,ssRNA(-),437,partial,,L,,Russia,Russia,,Hyalomma marginatum,,2016-06-23,,,"Orthonairovirus haemorrhagiae isolate 7-KALM/TI-2016 RNA-dependent RNA polymerase gene, partial cds"
