Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MH061890,Zika virus,GenBank,set:MH061890,,"Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Bailey,M., Palese,P.",J. Craig Venter Institute,USA,2018-04-15,P8,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10740,complete,,,,,,,,,,,PRJNA314889,"Zika virus strain ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-FC3-P8_08/1947, complete genome"
OK054401,Zika virus,GenBank,,,"Sun,H., Burger-Calderon,R., Dickens,B.S.L., de Sessions,P.F., Rabaa,M., Ho,E.X.P., Kuan,G., Cook,A.R., Bustos,F., Carey,J., Balmaseda,A., Ooi,E., Harris,E., Sessions,O.M.","National University of Singapore, Saw Swee Hock School of Public Health",Singapore,2021-10-05,ZIKV/Homo_Sapiens/NIC/6153_CZB160/2016,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10778,partial,,,,Nicaragua,Nicaragua,,Homo sapiens,blood,2016-07-31,,,"Zika virus isolate ZIKV/Homo_Sapiens/NIC/6153_CZB160/2016 polyprotein (POLY) gene, complete cds"
KX101065,Zika virus,GenBank,set:KX101065,,"Naccache,S.N., Theze,J., Sardi,S.I., Somasekar,S., Greninger,A.L., Bandeira,A.C., Campos,G.S., Tauro,L.B., Faria,N.R., Pybus,O.G., Chiu,C.Y.","University of California, San Francisco, Laboratory Medicine",USA,2016-04-26,Bahia15,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10348,partial,,,1,Brazil,Brazil,,Homo sapiens,blood,2016-01,,,"Zika virus isolate Bahia15, partial genome"
MK282410,Zika virus,GenBank,set:MK282410,,"Appassakij,H., Navakanitworakul,R., Thammapalo,S., Molito,C., Chullasara,A., Silpapojakul,K.","Prince of Songkla University, Biomedical Sciences",Thailand,2019-01-13,Mos_SK-1_No13_Z7,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),192,partial,,,,Thailand,Thailand,,Aedes aegypti,,2016-09-08,,,"Zika virus isolate Mos_SK-1_No13_Z7 nonstructural protein 5 gene, partial cds"
MH130108,Zika virus,GenBank,set:MH130108,,"Tan,G., Pickett,B., Fedorova,N., Amedeo,P., Isom,R., Hu,L., Christensen,J., Miller,J., Durbin,A., Williams,T., Bailey,M., Palese,P.",J. Craig Venter Institute,USA,2018-05-06,P12,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10708,complete,,,,,,,,,,,PRJNA314889,"Zika virus strain ZIKV/Macaca mulatta/UGA/MR-766-VEROE6-AC4-P12_04/1947, complete genome"
OK054447,Zika virus,GenBank,,,"Sun,H., Burger-Calderon,R., Dickens,B.S.L., de Sessions,P.F., Rabaa,M., Ho,E.X.P., Kuan,G., Cook,A.R., Bustos,F., Carey,J., Balmaseda,A., Ooi,E., Harris,E., Sessions,O.M.","National University of Singapore, Saw Swee Hock School of Public Health",Singapore,2021-10-05,ZIKV/Homo_Sapiens/NIC/7119_CZB121/2016,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10758,partial,,,,Nicaragua,Nicaragua,,Homo sapiens,blood,2016-08-25,,,"Zika virus isolate ZIKV/Homo_Sapiens/NIC/7119_CZB121/2016 polyprotein (POLY) gene, complete cds"
ON586854,Zika virus,GenBank,,,"Gutierrez-Ortega,A., Elizondo-Quiroga,A.E., Taboada,B., Arias,C.F., Elizondo-Quiroga,D.","CIATEJ, Medical and Farmacetical Biotecnology",Mexico,2022-06-21,Ae.G6,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10807,complete,,,,Mexico,Mexico,,Aedes aegypti,,2016-10-22,,,"Zika virus isolate Ae.G6, complete genome"
OK054458,Zika virus,GenBank,,,"Sun,H., Burger-Calderon,R., Dickens,B.S.L., de Sessions,P.F., Rabaa,M., Ho,E.X.P., Kuan,G., Cook,A.R., Bustos,F., Carey,J., Balmaseda,A., Ooi,E., Harris,E., Sessions,O.M.","National University of Singapore, Saw Swee Hock School of Public Health",Singapore,2021-10-05,ZIKV/Homo_Sapiens/NIC/4203_CHB3157/2016,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10779,partial,,,,Nicaragua,Nicaragua,,Homo sapiens,blood,2016-08-06,,,"Zika virus isolate ZIKV/Homo_Sapiens/NIC/4203_CHB3157/2016 polyprotein (POLY) gene, complete cds"
LC229347,Zika virus,GenBank,set:LC229347,,"Julian Frederick Dony,J., Ibrahim,M.Y., Jeffree,M.S., Yahiro,T., Md Taib,N., Dominic,A., Jaimin,J., Giloi,N., Mustapha,Z.A., Chua,T.H., Othman,R., Matsumoto,T., Iha,H., Ahmed,K., Kamruddin,A.","Pathobiology and Medical Diagnostics; Jaran UMS, Kota Kinabalu, Sabah 88400",Malaysia,2017-10-03,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),366,partial,,,,Malaysia:Sabah,Malaysia,,Homo sapiens,feces,2016-09-30,,,"Zika virus env gene for polyprotein, partial cds, strain: SZ2-2016"
KX548902,Zika virus,GenBank,set:KX548902,,"Leguia,M., Guevara,C., Felices,V., Troncos,G., Espejo,V., Torre,A., Ampuero,S., Ochoa,M., Gomez,D.","U.S. Naval Medical Research Unit No. 6, Virology and Emerging Infections Department",Peru,2016-07-14,ZIKV/COL/FCC00093/2015,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10615,partial,,,,Colombia,Colombia,,Homo sapiens,blood,2015-10-07,,,"Zika virus isolate ZIKV/COL/FCC00093/2015 polyprotein gene, complete cds"
LP940735,Zika virus,GenBank,set:LP940735,,"TAUBER,E., SCHRAUF,S., MULLNER,M., RAMSAUER,K., IRMLER,A., CSAR,P.",,,2018-04-29,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10272,partial,,,,,,,,,,,,Sequence 75 from Patent EP3184118
LY589880,Zika virus,GenBank,set:LY589880,,"Barbero Calzado,J., Nebenfuhr,M., Schlegl,R., Weber,M., Wruss,J.",,,2019-09-20,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10648,partial,,,,,,,,,,,,KR 1020180097558-A/9: ZIKA VIRUS VACCINE
KY241674,Zika virus,GenBank,set:KY241674,,"Ho,Z.J.M., Hapuarachchi,H.C., Barkham,T., Chow,A., Ng,L.C., Lee,J.M.V., Leo,Y.S., Prem,K., Lim,Y.H.G., de Sessions,P.F., Rabaa,M.A., Chong,C.S., Tan,C.H., Rajarethinam,J., Tan,J., Anderson,D.E., Ong,X., Cook,A.R., Chong,C.Y., Hsu,L.Y., Yap,G., Lai,Y.L., Chawla,T., Pan,L., Sim,S., Chen,I.-C.M., Thoon,K.C., Yung,C.F., Li,J.H., Ng,H.L.D., Nandar,K., Ooi,P.L., Lin,R.T.P., Aw,P., Uehara,A., De,P.P., Soon,W., Hibberd,M.L., Ng,H.H., Maurer-Stroh,S., Sessions,O.M.","Duke-NUS, Emerging Infectious Diseases",Singapore,2017-05-23,ZIKV-SG-004,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10631,partial,,,,Singapore,Singapore,,Homo sapiens,,2016-09-05,,,"Zika virus isolate ZIKV-SG-004 polyprotein gene, complete cds"
PP626403,Zika virus,GenBank,,,"Greninger,A.L.","University of Washington, Virology",USA,2024-04-23,Z5-ERC-R2,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10732,complete,,,,Thailand,Thailand,,Homo sapiens,blood,2017,,,"Zika virus isolate Z5-ERC-R2, complete genome"
LC219720,Zika virus,GenBank,set:LC219720,,"Hashimoto,T., Kutsuna,S., Tajima,S., Nakayama,E., Maeki,T., Taniguchi,S., Lim,C.K., Katanami,Y., Takeshita,N., Hayakawa,K., Kato,Y., Ohmagari,N.","Department of Virology I; 1-23-1 Toyama, Shinjuku, Tokyo 162-8640",Japan,2017-03-03,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10696,complete,,,1,Japan,Japan,,Homo sapiens,urine,2016-11-22,,,"Zika virus genomic RNA, complete genome, strain: ZIKV/Hu/NIID123/2016"
KX173841,Zika virus,GenBank,set:KX173841,,"Motta,I.J.F., Spencer,B.R., Silva,S.G.C., Arruda,M.B., Dobbin,J.A., Gonzaga,Y.B.M., Arcuri,I.P., Tavares,R.C.B.S., Atta,E.H., Fernandes,R.F.M., Costa,D.A., Ribeiro,L.J., Limonte,F., Higa,L.M., Voloch,C.M., Brindeiro,R.M., Tanuri,A., Ferreira,O.C. Jr.","Federal University of Rio de Janeiro, Genetics Dept. and Clementino Fraga Filho University Hospital",Brazil,2016-05-06,16Z11,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),927,partial,,,,Brazil,Brazil,,Homo sapiens,blood,2016-01-25,,,"Zika virus isolate 16Z11 envelope protein gene, partial cds"
KU647676,Zika virus,GenBank,set:KU647676,,"Piorkowski,G., Richard,P., Baronti,C., Gallian,P., Charrel,R., Leparc-Goffart,I., de Lamballerie,X., Leparc Goffart,I., De Lamballerie,X.","Faculte de Medecine de Marseille, Umr190 Unite des Virus Emergents",France,2016-02-02,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10617,partial,,,1,Martinique,Martinique,,Homo sapiens,,2015-12,,,"Zika virus strain MRS_OPY_Martinique_PaRi_2015 polyprotein gene, complete cds"
MH938334,Zika virus,GenBank,set:MH938334,,"Vieira,C.J.S.P., Silva,D.J.F., Barreto,E.S., Mondini,A., Bronzoni,R.V.M.","Universidade Federal de Mato Grosso, Instituto de Ciencias da Saude",Brazil,2019-02-10,BR/Sinop/H326/2015,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),510,partial,,,,"Brazil: Sinop, MT",Brazil,,Homo sapiens,blood,2015-12-07,,,"Zika virus isolate BR/Sinop/H326/2015 polyprotein, nonstructural protein 5 region, gene, partial cds"
OP431394,Zika virus,GenBank,,,"Lopez-Apodaca,L.I., Zarza,H., Zamudio-Moreno,E., Nunez-Avellaneda,D., Baak-Baak,C.M., Reyes-Solis,G., Torres-Chable,O.M., Pelaez-Ballestas,I., Roiz,D., Suzan,G., Roche,B., Machain-Williams,C.I.","CIR-Hideyo Noguchi, UADY, Laboratorio de Arbovirologia",Mexico,2022-10-10,ZIKV_S14Yuc_2016,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),242,partial,,,,"Mexico: Yucatan, Maxcanu, Paraiso",Mexico,,Culex quinquefasciatus,,2016-08,,,"Zika virus isolate ZIKV_S14Yuc_2016 polyprotein, RNA-dependent RNA polymerase NS5 region, (POLY) gene, partial cds"
LC707381,Zika virus,GenBank,,,"Ushijima,Y., Abe,H., Mbadinga,M.J.V.M., Nguema-Ondo,G., Bikangui,R., Agnandji,S.T., Lell,B., Yasuda,J.","Nagasaki University, Department of Emerging Infectious Diseases; 1-12-4 Sakamoto, Nagasaki, Nagasaki 851-8523",Japan,2022-08-26,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),1065,partial,,,,Gabon: Ndjole,Gabon,,Homo sapiens,,2021-06-17,,,"Zika virus SYMAV-H0931 gene for polyprotein, partial cds"
PQ219525,Zika virus,GenBank,,,"Roma,J.H.F., Alves,R.C., Pavoni,J.H.C., Resende,M.R.","Federal University of Rondonopolis, School of Health Sciences",Brazil,2024-08-28,S101,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),156,partial,,,,"Brazil: Rondonopolis, Mato Grosso",Brazil,,Homo sapiens,blood,2016,,,"Zika virus isolate S101 polyprotein, RNA-dependent RNA polymerase NS5 region, (POLY) gene, partial cds"
LP837231,Zika virus,GenBank,set:LP837231,,"BARBERO,C.J., NEBENFUHR,M., SCHLEGL,R., WEBER,M., WRUSS,J.",,,2018-04-29,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10773,partial,,,,,,,,,,,,Sequence 78 from Patent WO2017109223
OK054478,Zika virus,GenBank,,,"Sun,H., Burger-Calderon,R., Dickens,B.S.L., de Sessions,P.F., Rabaa,M., Ho,E.X.P., Kuan,G., Cook,A.R., Bustos,F., Carey,J., Balmaseda,A., Ooi,E., Harris,E., Sessions,O.M.","National University of Singapore, Saw Swee Hock School of Public Health",Singapore,2021-10-05,ZIKV/Homo_Sapiens/NIC/6228_CZB222/2016,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10746,partial,,,,Nicaragua,Nicaragua,,Homo sapiens,blood,2016-08-21,,,"Zika virus isolate ZIKV/Homo_Sapiens/NIC/6228_CZB222/2016 polyprotein (POLY) gene, complete cds"
OL450366,Zika virus,GenBank,,,"Alam,M.M., Mavian,C., Okech,B.A., White,S.K., Stephenson,C.J., Elbadry,M.A., Blohm,G.M., Loeb,J.C., Louis,R., Saleem,C., Madsen Beau de Rochars,V.E., Salemi,M., Lednicky,J.A., Morris,J.G., Morris,J.G. Jr.","University of Florida - Gainesville, Environmental and Global Health",USA,2021-12-25,ZIKV/Haiti/1332/2015,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10808,complete,,,1,Haiti,Haiti,,Homo sapiens,blood,2015-10-20,,,"Zika virus isolate ZIKV/Haiti/1332/2015, complete genome"
KU761564,Zika virus,GenBank,set:KU761564,,"Wu,D., Guan,D., Zhang,H., Ke,C.","Guangdong Provincial Center for Disease Control and Prevention, Institute of Microbiology",China,2016-02-26,GDZ16001,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10401,partial,,,,China,China,,Homo sapiens,"saliva, oronasopharynx",2016-02-12,,,"Zika virus isolate GDZ16001 polyprotein gene, complete cds"
MW915411,Zika virus,GenBank,,,"Grant,R., Thi Thanh Nguyen,T., Huy Dao,M., Thi Thu Pham,H., Piorkowski,G., Doan Tan Pham,T., Minh Cao,T., Thi Kim Huynh,L., Hoang Nguyen,Q., Dang Khanh Vien,L., Lemoine,F., Zhukova,A., Thi Nhu Hoang,D., Thanh Nguyen,H., Tuan Tran,N., Bich Le,L., Nguyen Quang Ngo,M., Chau Tran,T., Nguyen Thanh Le,N., Ngoc Nguyen,M., Thanh Pham,H., Thi Diem Hoang,T., Van Dang,T., Thi Vu,A., Ngoc Truc Nguyen,Q., de Lamballerie,X., Duy Pham,Q., Chan Luong,Q., Fontanet,A.","Institut Pasteur, Computational Biology",France,2021-05-03,3015,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10661,partial,,,,Viet Nam,Viet Nam,,Homo sapiens,,2016-04-02,,,"Zika virus isolate 3015 polyprotein gene, complete cds"
KF383059,Zika virus,GenBank,set:KF383059,,"Faye,O., Freire,C.C., Iamarino,A., de Oliveira,J.V., Diallo,M., Zanotto,P.M., Sall,A.A., Freire,C.C.M., Chen,R., Oliveira,J.V.C., Weaver,S.C., Zanotto,P.M.A.","University of Sao Paulo, Microbiology",Brazil,2014-03-15,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),537,partial,,,1,Senegal,Senegal,,,,2000,,,Zika virus strain ArD142623 3' UTR
LP981796,Zika virus,GenBank,set:LP981796,,"BARBERO,C.J., NEBENFUHR,M., SCHLEGL,R., WEBER,M., WRUSS,J.",,,2018-04-29,,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10808,partial,,,,,,,,,,,,Sequence 6 from Patent WO2017109224
OP858757,Zika virus,GenBank,,,"Selhorst,P., Medero Diaz,D.","Institute of Tropical Medicine, Biomedical Sciences",Belgium,2023-12-07,35,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),6977,partial,,,,Cuba,Cuba,,Homo sapiens,,2017-09,,,"Zika virus isolate 35 polyprotein gene, partial cds"
KY785425,Zika virus,GenBank,set:KY785425,SRR5639962,"Metsky,H.C., Matranga,C.B., Wohl,S., Schaffner,S.F., Freije,C.A., Winnicki,S.M., West,K., Qu,J., Baniecki,M.L., Gladden-Young,A., Lin,A.E., Tomkins-Tinch,C.H., Ye,S.H., Park,D.J., Luo,C.Y., Barnes,K.G., Shah,R.R., Chak,B., Barbosa-Lima,G., Delatorre,E., Vieira,Y.R., Paul,L.M., Tan,A.L., Barcellona,C.M., Porcelli,M.C., Vasquez,C., Cannons,A.C., Cone,M.R., Hogan,K.N., Kopp,E.W., Anzinger,J.J., Garcia,K.F., Parham,L.A., Ramirez,R.M.G., Montoya,M.C.M., Rojas,D.P., Brown,C.M., Hennigan,S., Sabina,B., Scotland,S., Gangavarapu,K., Grubaugh,N.D., Oliveira,G., Robles-Sikisaka,R., Rambaut,A., Gehrke,L., Smole,S., Halloran,M.E., Villar,L., Mattar,S., Lorenzana,I., Cerbino-Neto,J., Valim,C., Degrave,W., Bozza,P.T., Gnirke,A., Andersen,K.G., Isern,S., Michael,S.F., Bozza,F.A., Souza,T.M.L., Bosch,I., Yozwiak,N.L., MacInnis,B.L., Sabeti,P.C., Gladden-Young,A.D., MacInnis,B., West,K.L., Winnicki,S.","Broad Institute, Viral Genomics, Infectious Disease Program (Infectious Disease Initiative)",USA,2017-03-24,Zika virus/H.sapiens-wt/DOM/2016/BB-0059-SER,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10035,partial,,,1,Dominican Republic: Distrito Nacional,Dominican Republic,,Homo sapiens,blood,2016-04-04,SAMN06617269,PRJNA344504,"Zika virus isolate Zika virus/H.sapiens-wt/DOM/2016/BB-0059-SER polyprotein gene, partial cds"
MW122374,Zika virus,GenBank,,,"Grubaugh,N.D., Saraf,S., Gangavarapu,K., Watts,A., Tan,A.L., Oidtman,R.J., Ladner,J.T., Oliveira,G., Matteson,N.L., Kraemer,M.U.G., Vogels,C.B.F., Hentoff,A., Bhatia,D., Stanek,D., Scott,B., Landis,V., Stryker,I., Cone,M.R., Kopp,E.W. IV, Cannons,A.C., Heberlein-Larson,L., White,S., Gillis,L.D., Ricciardi,M.J., Kwal,J., Lichtenberger,P.K., Magnani,D.M., Watkins,D.I., Palacios,G., Hamer,D.H., Gardner,L.M., Perkins,T.A., Baele,G., Khan,K., Morrison,A., Isern,S., Michael,S.F., Andersen,K.G., Santiago,G.A., Cruz-Lopez,F., Gonzalez-Morales,G., Flores,B., Charriez,K.N., Kalinich,C.C., Fauver,J.R., Munoz-Jordan,J.L.","Centers for Disease Control and Prevention, Surveillance and Research Laboratory",USA,2020-11-03,PR/DB-ZIKV002/2016,Orthoflavivirus zikaense,Orthoflavivirus,Flaviviridae,ssRNA(+),10272,partial,,,1,Puerto Rico,USA,PR,Homo sapiens,blood,2016-04-27,,,"Zika virus isolate PR/DB-ZIKV002/2016 polyprotein (POLY) gene, complete cds"
