Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
PV211546,Human respiratory syncytial virus A,GenBank,,SRR32556918,"Kunerth,H.D., Plumb,M., Namugenyi,S., Evans,D., Bohnkers-Voels,L., Strain,A.","Minnesota Department of Health, Public Health Laboratory - Infectious Disease Lab",USA,2025-03-10,MN-MDH-RSVA-01831,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),15047,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,oronasopharynx,2025-01-28,SAMN47201093,PRJNA1048457,"Human respiratory syncytial virus A isolate MN-MDH-RSVA-01831, partial genome"
OR795292,Human respiratory syncytial virus A,GenBank,,,"Kondgen,S., Reiche,J.",Robert Koch Institut,Germany,2024-02-13,hRSV/A/Germany/00-02128/2000,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),15173,complete,,,,Germany,Germany,,Homo sapiens,,2000-02-11,,,"Human respiratory syncytial virus A isolate hRSV/A/Germany/00-02128/2000, complete genome"
KC297361,Human respiratory syncytial virus A,GenBank,set:KC297361,,"Cui,G., Zhu,R., Qian,Y., Deng,J., Zhao,L., Sun,Y., Wang,F.","Capital Institute of Pediatrics, Laboratory of Virology",,2013-10-02,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),903,partial,,,1,China,China,,Homo sapiens,,2012,,,"Human respiratory syncytial virus A strain BJ/35423 attachment glycoprotein (G) gene, complete cds"
MF479528,Human respiratory syncytial virus A,GenBank,set:MF479528,,"Ivancic-Jelecki,J., Slovic,A., Ljubin-Sternak,S., Mlinaric-Galinovic,G., Forcic,D.","University of Zagreb, Centre for Research and Knowledge Transfer in Biotechnology",Croatia,2018-01-01,HR581-13,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),469,partial,,,,Croatia,Croatia,,Homo sapiens,,2013-03-05,,,"Human respiratory syncytial virus A isolate HR581-13 small hydrophobic protein (SH) gene, complete cds; and attachment glycoprotein (G) gene, partial sequence"
MG930164,Human respiratory syncytial virus A,GenBank,set:MG930164,,"Prifert,C., Streng,A., Schultz,J., Liese,J.G., Weissbrich,B., Hofmann,D.","Institute of Virology and Immunobiology, University of Wuerzburg",Germany,2018-03-19,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),261,partial,,,,Germany: Wuerzburg,Germany,,Homo sapiens,,2012,,,"Human respiratory syncytial virus A strain WUE/4964/12 attachment glycoprotein (G) mRNA, partial cds"
OP673039,Human respiratory syncytial virus A,GenBank,,,"Song,J., Zhu,Z., Mao,N., Cui,A., Xu,W., Zhang,Y.","National Institute for Viral Disease Control and Prevention, Chinese Center for Disease Control and Prevention, WHO WPRO Regional Reference Measles/Rubella Laboratory",China,2023-03-07,BJ17-0744,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),333,partial,,,1,China,China,,Homo sapiens,oronasopharynx,2017-12-27,,,"Human respiratory syncytial virus A isolate BJ17-0744 attachment glycoprotein (G) gene, partial cds"
OQ276564,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,Osmt170295,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,USA: Arizona,USA,AZ,Homo sapiens,,2017-01-14,,,"Human respiratory syncytial virus A isolate Osmt170295 fusion glycoprotein (F) gene, complete cds"
OQ278041,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,50130518,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,USA: Nebraska,USA,NE,Homo sapiens,,2019-12-02,,,"Human respiratory syncytial virus A isolate 50130518 fusion glycoprotein (F) gene, complete cds"
AB808768,Human respiratory syncytial virus A,GenBank,set:AB808768,,"Tsukagoshi,H., Yokoi,H., Kobayashi,M., Kushibuchi,I., Okamoto-Nakagawa,R., Yoshida,A., Morita,Y., Noda,M., Yamamoto,N., Sugai,K., Oishi,K., Kozawa,K., Kuroda,M., Shirabe,K., Kimura,H.","Maebashi, Gunma 371-0052",Japan,2013-06-11,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,partial,,,1,"Japan: Chiba, Chiba",Japan,,Homo sapiens,oronasopharynx,2012-09-12,,,"Human respiratory syncytial virus A G gene for polyprotein, partial cds, strain: Chiba-C/24291"
MZ515888,Human respiratory syncytial virus A,GenBank,,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.","Oxford Vaccine Group, Department of Paediatrics, University of Oxford",United Kingdom,2021-08-18,UU02-0155-D08,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),15283,complete,,,,Netherlands,Netherlands,,Homo sapiens,oronasopharynx,2019-12-18,,PRJEB34042,"Human respiratory syncytial virus A isolate UU02-0155-D08, complete genome"
PQ834856,Human respiratory syncytial virus A,GenBank,,,"Martinez-Marrero,N., Munoz-Escalante,J.C., Wong-Chew,R.M., Torres-Gonzalez,P., Garcia-Leon,M.L., Bautista-Carbajal,P., Martinez-Arce,P.A., Espinosa-Sotero,M.C., Tabla-Orozco,V., Rojas-Larios,F., Juarez-Tobias,S., Gonzalez-Ortiz,A.M., Alpuche-Solis,A.G., Noyola,D.E.","Universidad Autonoma de San Luis Potosi, Laboratorio de Enfermedades Infecciosas, Centro de Investigacion en Ciencias de la Salud y Biomedicina",Mexico,2025-01-12,HRSV/A/MEX/24114/2022,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),966,partial,A.D.3,,,Mexico: San Luis Potosi.,Mexico,,Homo sapiens,,2022-11-16,,,"Human respiratory syncytial virus A isolate HRSV/A/MEX/24114/2022 attachment glycoprotein (G) gene, complete cds"
MT853841,Respiratory syncytial virus type A,GenBank,,,"Oketch,J.W., Kamau,E., Otieno,J.R., Mwema,A., Lewa,C., Agoti,C.N., Nokes,J.D.","KEMRI - Wellcome Trust Research Programme, Centre for Geographic Medicine Research, Epidemiology and Demography",Kenya,2020-10-14,SAF/022/Mar-12,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),600,partial,,,,South Africa,South Africa,,Homo sapiens,,2012-03-12,,,"Respiratory syncytial virus type A isolate SAF/022/Mar-12 attachment glycoprotein (G) gene, partial cds"
KU955234,Human respiratory syncytial virus A,GenBank,set:KU955234,,"Jia,B., Xiao,Y., Wang,Y., Chen,L., Zhang,J., Ren,L., Wang,J.","Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",,2019-03-31,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),894,partial,,,,China,China,,Homo sapiens,oronasopharynx,2010,,,"Human respiratory syncytial virus A strain 2360A/2010 attachment glycoprotein (G) gene, complete cds"
KX533566,Human respiratory syncytial virus A,GenBank,set:KX533566,,"Song,J., Zhang,Y., Wang,H., Shi,J., Sun,L., Zhang,X., Yang,Z., Guan,W., Zhang,H., Yu,P., Xie,Z., Cui,A., Ng,T.I., Xu,W.","National Institute for Viral Disease Control and Prevention, China Center for Disease Control and Prevention, WHO WPRO Measles Regional Reference Lab, Key Laboratory of Medical Virology Ministry of Health",,2017-09-28,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),329,partial,,,1,China,China,,Homo sapiens,,2014-12-17,,,"Human respiratory syncytial virus A strain CC14-121 attachment glycoprotein (G) gene, partial cds"
OK078676,Human respiratory syncytial virus A,GenBank,,,"Aziz,F., Rafaqat,W., Farooqui,N., Ali,S.A., Abidi,S.H.","Aga Khan University and Hospital, Biological and Biomedical Sciences",Pakistan,2022-11-11,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),309,partial,,,,Pakistan,Pakistan,,Homo sapiens,oronasopharynx,2010-08,,,"Human respiratory syncytial virus A strain RSVA/Homo sapiens/Pak357A/2010 attachment glycoprotein (G) gene, partial cds"
KX533689,Human respiratory syncytial virus A,GenBank,set:KX533689,,"Song,J., Zhang,Y., Wang,H., Shi,J., Sun,L., Zhang,X., Yang,Z., Guan,W., Zhang,H., Yu,P., Xie,Z., Cui,A., Ng,T.I., Xu,W.","National Institute for Viral Disease Control and Prevention, China Center for Disease Control and Prevention, WHO WPRO Measles Regional Reference Lab, Key Laboratory of Medical Virology Ministry of Health",,2017-09-28,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),330,partial,,,1,China,China,,Homo sapiens,,2013,,,"Human respiratory syncytial virus A strain HuN13-09 attachment glycoprotein (G) gene, partial cds"
MZ516014,Human respiratory syncytial virus A,GenBank,,,"Lin,G.-L., Drysdale,S.B., Snape,M.D., O'Connor,D., Brown,A., MacIntyre-Cockett,G., Mellado-Gomez,E., de Cesare,M., Bonsall,D., Ansari,M.A., Oner,D., Aerssens,J., Butler,C., Bont,L., Openshaw,P., Martinon-Torres,F., Nair,H., Bowden,R., Golubchik,T., Pollard,A.J.","Oxford Vaccine Group, Department of Paediatrics, University of Oxford",United Kingdom,2021-08-18,SE01A-0119-V02,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),15279,complete,,,,Spain,Spain,,Homo sapiens,oronasopharynx,2019-12-03,,PRJEB34042,"Human respiratory syncytial virus A isolate SE01A-0119-V02, complete genome"
MZ397668,Human respiratory syncytial virus A,GenBank,,,"Tabatabai,J., Ihling,C.M., Schnee,S.V., Rehbein,R.M., Hoos,J., Pfeil,J., Grulich-Henn,J., Schnitzler,P.","University of Heidelberg, Centre for Infectious Diseases Virology",Germany,2021-08-18,HD1617_47578,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),336,partial,,,,Germany,Germany,,Homo sapiens,,2017,,,"Human respiratory syncytial virus A isolate HD1617_47578 attachment glycoprotein (G) gene, partial cds"
OQ277545,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,203210503,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,USA: New York,USA,NY,Homo sapiens,,2019-11-16,,,"Human respiratory syncytial virus A isolate 203210503 fusion glycoprotein (F) gene, complete cds"
OQ276417,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,A_TX_5071_2016_OS25,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,USA: Texas,USA,TX,Homo sapiens,,2016-02-08,,,"Human respiratory syncytial virus A isolate A_TX_5071_2016_OS25 fusion glycoprotein (F) gene, complete cds"
MZ962001,Human respiratory syncytial virus A,GenBank,,,"Luo,Q., Li,M., Huang,F.","Immunological Prevention, Beijing Center for Disease Prevention and Control",China,2022-03-05,2019-00R0035,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),966,partial,,,,China,China,,Homo sapiens,oronasopharynx,2019-02,,,"Human respiratory syncytial virus A isolate 2019-00R0035 attachment protein (G) gene, complete cds"
LC037773,Human respiratory syncytial virus A,GenBank,set:LC037773,,"Hibino,A., Saito,R., Taniguchi,K., Zaraket,H., Shobugawa,Y., Matsui,T., Suzuki,H., Shoubugawa,Y., Nishimura,T.","International Health, Public Health; 1-757, asahimachi-dori, chuo-ku, Niigata, Niigata 951-8510",Japan,2015-03-26,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),240,partial,,,1,Japan:Osaka,Japan,,Homo sapiens,,2013-09-27,,,"Human respiratory syncytial virus A G gene for attachment glycoprotein, partial cds, strain: RSA/Osaka/13RS067/2013"
KY327948,Human respiratory syncytial virus A,GenBank,set:KY327948,,"Thongpan,I., Mauleekoonphairoj,J., Vichiwattana,P., Korkong,S., Vongpunsawad,S., Poovorawan,Y.","Center of Excellence in Clinical Virology, Faculty of Medicine, Chulalongkorn University, Department of Pediatrics",Thailand,2017-10-25,TH-CU/C3134/2012,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),600,partial,,,,Thailand,Thailand,,Homo sapiens,,2012-08-01,,,"Human respiratory syncytial virus A isolate TH-CU/C3134/2012 attachment glycoprotein gene, partial cds"
OQ277658,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,20830517,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,USA: Ohio,USA,OH,Homo sapiens,,2019-12-03,,,"Human respiratory syncytial virus A isolate 20830517 fusion glycoprotein (F) gene, complete cds"
MW497654,Human respiratory syncytial virus A,GenBank,,,"Vidoni,L.","Hospices Civiles de Lyon, Microbiology",France,2021-11-21,132_58,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),570,partial,,,,France,France,,Homo sapiens,,2019-11-25,,,"UNVERIFIED: Human respiratory syncytial virus A isolate 132_58 attachment glycoprotein-like gene, partial sequence"
OM857149,Human respiratory syncytial virus A,GenBank,,,"Eden,J.-S., Sikazwe,C., Levy,A., Deng,Y.-M., Dhanasekaran,V., Smith,D.W., Kok,J., Barr,I.G.","The University of Sydney, Sydney Institute for Infectious Diseases",Australia,2022-04-06,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),11332,partial,,,,Australia,Australia,,Homo sapiens,,2021-01-05,,,"Human respiratory syncytial virus A strain hRSV/A/Australia/5005469/2021, partial genome"
OQ275692,Human respiratory syncytial virus A,GenBank,,,"Wilkins,D., Langedijk,A.C., Lebbink,R.J., Morehouse,C.A., Abram,M.E., Ahani,B., Aksyuk,A.A., Baraldi,E., Brady,T., Chen,A.T., Chi,H., Choi,E.H., Cohen,R., Danilenko,D.M., Gopalakrishnan,V., Greenough,A., Heikkinen,T., Hosoya,M., Keller,C., Kelly,E.J., Kragten-Tabatabaie,L., Martinon-Torres,F., Mascarenas-de Los Santos,A.H., Nunes,M.C., Palomino,M.A., Papenburg,J., Pernica,J.M., Richmond,P., Stein,R.T., Tuffy,K.M., Verwey,C., Esser,M.T., Tabor,D.E., Bont,L.J.","Astrazeneca, Early Vaccines & Immune Therapies",USA,2023-03-05,270102027,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),1725,partial,,,,South Africa,South Africa,,Homo sapiens,,2019-03-29,,,"Human respiratory syncytial virus A isolate 270102027 fusion glycoprotein (F) gene, complete cds"
OR421537,Human respiratory syncytial virus A,GenBank,,,"Shameema,M., Dhodapkar,R., Sharmila,P.F.M., Venkatesh,C.","Jawaharlal Institute of Postgraduate Medical Education and Research, Microbiology",India,2023-10-02,HRSV/A/IND/JIPMER/3E3/2021,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),495,partial,,,,India,India,,Homo sapiens,,2021-11,,,"Human respiratory syncytial virus A isolate HRSV/A/IND/JIPMER/3E3/2021 attachment glycoprotein (G) and fusion protein (F) genes, partial cds"
OR522501,Human respiratory syncytial virus A,GenBank,,,"Frazar,C.D., Lee,J., Ryke,E., Gamboa,L., McDermot,E., Kolar,T., Han,P.D., Sibley,T.R., Reinhart,D., Grindstaff,S., Truong,M., Babu,T.M., Feldstein,L.R., Saydah,S., Briggs-Hagen,M., Casto,A., Ehmen,B., Englund,J.A., Fortmann,S.P., Kuntz,J.L., Lockwood,T., Midgley,C.M., Mularski,R.A., Ogilvie,T., Reich,S., Schmidt,M.A., Smith,N., Starita,L., Stone,J., Vandermeer,M., Weil,A.A., Wolf,C.R., Chu,H.Y., Naleway,A.L.",The Brotman Baty Institute for Precision Medicine,USA,2023-10-11,RSV-A/human/USA/OR-S23788/2022,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),14986,partial,,,,"USA: Oregon, Clackamas County",USA,OR,Homo sapiens,oronasopharynx,2022-12-18,SAMN37232913,PRJNA988152,"Human respiratory syncytial virus A isolate RSV-A/human/USA/OR-S23788/2022, partial genome"
KX453304,Human respiratory syncytial virus A,GenBank,set:KX453304,,"Otieno,J.R., Kamau,E.M., Agoti,C.N., Lewa,C., Otieno,G., Bett,A., Ngama,M., Cane,P.A., Nokes,D.J., Nokes,J.D.","Kenya Medical Research Institute (KEMRI) - Wellcome Trust Research Programme, Department of Epidemiology and Demography",Kenya,2017-03-12,KEN/Kilifi/1127_04/01/2013,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),615,partial,,,1,Kenya,Kenya,,Homo sapiens,,2013-01-04,,,"Human respiratory syncytial virus A isolate KEN/Kilifi/1127_04/01/2013 attachment glycoprotein gene, partial cds"
PQ762674,Human respiratory syncytial virus A,GenBank,,,"Fourati,S., Rameix Welti,M.-A.","Hospital Henri Mondor - APHP, Department of Virology",France,2024-12-18,008-0013,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),15160,partial,,,,France,France,,Homo sapiens,,2023-12-04,,,"Human respiratory syncytial virus A isolate 008-0013, partial genome"
MN007067,Human respiratory syncytial virus A,GenBank,set:MN007067,,"Li,W., Wang,Y., Yu,B., Tan,Q., Zhou,J., Hu,J., Wu,Y., Wang,B., Li,H.","Jinan University, College of Life Science and Technology",China,2019-07-02,,Orthopneumovirus hominis,Orthopneumovirus,Pneumoviridae,ssRNA(-),965,partial,,,,China,China,,Homo sapiens,oronasopharynx,2018,,,"Human respiratory syncytial virus A strain 4422-GD-CHN-2018 attachment glycoprotein (G) gene, partial cds"
