,,gaps,identities,mismatches,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090188.1,179,9048,8,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090277.1,3,9190,42,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090188.1,3654,6938,1972,12564,146,954,12564,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090277.1,3362,7032,2112,12506,88,954,12506,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090188.1,242,9045,11,9298,0,227,9298,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090277.1,66,9030,202,9298,0,227,9298,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090188.1,927,8498,283,9708,275,336,9708,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090277.1,767,8521,428,9716,283,336,9716,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090188.1,242,9045,11,9298,0,227,9298,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090277.1,66,9030,202,9298,0,227,9298,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,365,7568,1371,9304,72,1,9304,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,44,8056,925,9025,30,0,9025,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,359,8510,424,9293,298,0,9293,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MZ766668.1,365,7568,1371,9304,72,1,9304,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MZ766668.1,45,8055,925,9025,31,0,9025,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MN090277.1,360,8509,424,9293,299,0,9293,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,255,7546,1358,9159,107,0,9159,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MN090277.1,180,9052,0,9232,180,0,9232,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,44,8056,925,9025,30,0,9025,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MN090277.1,359,8510,424,9293,298,0,9293,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MZ766668.1,565,8056,925,9546,30,521,9546,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MN090277.1,592,8510,568,9670,154,521,9670,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MZ766668.1,416,7567,1378,9361,66,222,9361,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MN090277.1,63,9068,164,9295,0,222,9295,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MZ766668.1,416,7567,1378,9361,66,222,9361,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MN090277.1,63,9068,164,9295,0,222,9295,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MZ766668.1,876,8025,963,9864,23,598,9864,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MN090277.1,751,8649,512,9912,71,598,9912,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090188.1,6,9004,49,9059,3,0,9059,Eddard,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9056,0,9232,176,0,9232,Eddard,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,182,9004,49,9235,3,1,9235,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090188.1,182,9004,49,9235,3,1,9235,Eddard,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Eddard,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090188.1,3472,6804,2199,12475,53,814,12475,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090277.1,3480,6926,2161,12567,145,814,12567,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090188.1,245,9004,49,9298,3,227,9298,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090277.1,63,9068,164,9295,0,227,9295,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090188.1,245,9004,49,9298,3,227,9298,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090277.1,63,9068,164,9295,0,227,9295,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,308,8521,417,9246,73,1,9246,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,75,8218,947,9240,67,1,9240,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,5,8999,8,9012,4,0,9012,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,360,7577,1363,9300,292,0,9300,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MZ766668.1,308,8521,417,9246,73,1,9246,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MN090277.1,75,8218,947,9240,67,1,9240,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MZ766668.1,9,8995,8,9012,8,0,9012,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MN090277.1,362,7575,1362,9299,295,0,9299,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,256,8520,418,9194,73,0,9194,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MN090277.1,127,8168,945,9240,119,0,9240,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,5,8999,8,9012,4,0,9012,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MN090277.1,360,7577,1363,9300,292,0,9300,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MZ766668.1,717,8808,8,9533,195,521,9533,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MN090277.1,784,7403,1490,9677,339,521,9677,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MZ766668.1,414,8495,434,9343,82,222,9343,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MN090277.1,103,8107,1088,9298,37,222,9298,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MZ766668.1,904,9011,0,9915,0,277,9915,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MN090277.1,907,7598,1522,10027,112,277,10027,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MZ766668.1,404,8474,465,9343,72,222,9343,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MN090277.1,93,8136,1069,9298,27,222,9298,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090240.1,13,8730,282,9025,3,1,9025,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090277.1,210,9021,1,9232,210,1,9232,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090240.1,7700,1875,74,9649,7066,0,9649,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090277.1,7579,2108,10,9697,7114,0,9697,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,223,8731,281,9235,3,1,9235,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090240.1,7699,1875,74,9648,7066,0,9648,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090277.1,7578,2108,10,9696,7114,0,9696,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090240.1,223,8731,281,9235,3,1,9235,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,1,9232,0,1,9232,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090240.1,7699,1875,74,9648,7066,0,9648,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090277.1,7578,2108,10,9696,7114,0,9696,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090240.1,3655,7129,1758,12542,128,81,12542,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090277.1,3522,7305,1757,12584,170,81,12584,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090240.1,462,8730,282,9474,3,401,9474,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090277.1,239,9069,163,9471,0,401,9471,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090277.1.aln
