,,gaps,identities,mismatches,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090188.1,6,9045,8,9059,3,0,9059,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9015,41,9232,176,0,9232,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090188.1,7188,2302,15,9505,6739,180,9505,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090277.1,7034,2467,15,9516,6750,180,9516,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,179,9048,8,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,3,9190,42,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090188.1,179,9048,8,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090277.1,3,9190,42,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090188.1,3363,5845,3210,12418,1,3063,12418,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090277.1,3213,5880,3338,12431,14,3063,12431,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090188.1,241,9045,11,9297,0,221,9297,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090277.1,65,9035,197,9297,0,221,9297,Catelyn,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090188.1,956,7319,1436,9711,301,2081,9711,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090277.1,796,7294,1629,9719,309,2081,9719,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090188.1,241,9045,11,9297,0,221,9297,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090277.1,65,9035,197,9297,0,221,9297,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,365,7568,1371,9304,72,8,9304,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9224,8,9232,0,8,9232,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,44,8056,925,9025,30,0,9025,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,359,8510,424,9293,298,0,9293,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MZ766668.1,365,7568,1371,9304,72,8,9304,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9224,8,9232,0,8,9232,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MZ766668.1,45,8055,925,9025,31,0,9025,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MN090277.1,360,8509,424,9293,299,0,9293,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,255,7546,1358,9159,107,0,9159,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MN090277.1,180,9052,0,9232,180,0,9232,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,44,8056,925,9025,30,0,9025,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MN090277.1,359,8510,424,9293,298,0,9293,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MZ766668.1,565,8056,925,9546,30,521,9546,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MN090277.1,592,8510,568,9670,154,521,9670,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MZ766668.1,415,7562,1383,9360,66,221,9360,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MN090277.1,62,9073,159,9294,0,221,9294,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MZ766668.1,415,7562,1383,9360,66,221,9360,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MN090277.1,62,9073,159,9294,0,221,9294,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MZ766668.1,876,8025,963,9864,23,796,9864,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MN090277.1,745,8591,573,9909,68,796,9909,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090188.1,6,9004,49,9059,3,0,9059,Eddard,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090277.1,176,9056,0,9232,176,0,9232,Eddard,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,182,9004,49,9235,3,1,9235,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9230,2,9232,0,1,9232,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090188.1,182,9004,49,9235,3,1,9235,Eddard,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9230,2,9232,0,1,9232,Eddard,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090188.1,3480,5534,3463,12477,59,2425,12477,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090277.1,3352,5599,3550,12501,83,2425,12501,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090188.1,244,9004,49,9297,3,221,9297,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090277.1,62,9073,159,9294,0,221,9294,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090188.1,244,9004,49,9297,3,221,9297,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090277.1,62,9073,159,9294,0,221,9294,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,308,8521,417,9246,73,3,9246,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,75,8216,949,9240,67,3,9240,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,5,8999,8,9012,4,0,9012,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,360,7577,1363,9300,292,0,9300,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MZ766668.1,308,8521,417,9246,73,3,9246,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MN090277.1,75,8216,949,9240,67,3,9240,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MZ766668.1,9,8995,8,9012,8,0,9012,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MN090277.1,362,7575,1362,9299,295,0,9299,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,256,8520,418,9194,73,0,9194,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MN090277.1,127,8168,945,9240,119,0,9240,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,5,8999,8,9012,4,0,9012,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MN090277.1,360,7577,1363,9300,292,0,9300,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MZ766668.1,717,8808,8,9533,195,521,9533,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MN090277.1,784,7403,1490,9677,339,521,9677,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MZ766668.1,413,8490,439,9342,82,221,9342,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MN090277.1,102,8112,1083,9297,37,221,9297,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MZ766668.1,905,9011,0,9916,0,784,9916,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MN090277.1,908,7569,1551,10028,112,784,10028,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MZ766668.1,403,8469,470,9342,72,221,9342,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MN090277.1,92,8141,1064,9297,27,221,9297,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090240.1,13,8710,302,9025,3,19,9025,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090277.1,210,9002,20,9232,210,19,9232,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090240.1,7700,1875,74,9649,7066,0,9649,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090277.1,7579,2108,10,9697,7114,0,9697,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,223,8731,281,9235,3,8,9235,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9224,8,9232,0,8,9232,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090240.1,7699,1875,74,9648,7066,0,9648,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090277.1,7578,2108,10,9696,7114,0,9696,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090240.1,223,8731,281,9235,3,8,9235,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9224,8,9232,0,8,9232,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090240.1,7699,1875,74,9648,7066,0,9648,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090277.1,7578,2108,10,9696,7114,0,9696,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090240.1,3655,7112,1775,12542,128,78,12542,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090277.1,3516,7338,1727,12581,167,78,12581,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
