"index"	"sample"	"cluster"	"step"	"(annotation) subject"	"(annotation) pident"	"(annotation) qlen"	"(annotation) slen"	"(annotation) length"	"(annotation) mismatch"	"(annotation) gapopen"	"(annotation) qstart"	"(annotation) qend"	"(annotation) sstart"	"(annotation) send"	"(annotation) evalue"	"(annotation) bitscore"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"(annotation) % contig aligned"	"(blast) subject"	"(blast) subject title"	"(blast) pident"	"(blast) qlen"	"(blast) slen"	"(blast) length"	"(blast) mismatch"	"(blast) gapopen"	"(blast) qstart"	"(blast) qend"	"(blast) sstart"	"(blast) send"	"(blast) evalue"	"(blast) bitscore"	"(checkv) contig_length"	"(checkv) provirus"	"(checkv) proviral_length"	"(checkv) gene_count"	"(checkv) viral_genes"	"(checkv) host_genes"	"(checkv) checkv_quality"	"(checkv) miuvig_quality"	"(checkv) completeness"	"(checkv) completeness_method"	"(checkv) contamination"	"(checkv) kmer_freq"	"(checkv) warnings"	"(cluster) taxon-id"	"(cluster) centroid"	"(cluster) number of members"	"(cluster) cumulative read depth - spades [%]"	"(cluster) cumulative read depth - megahit [%]"	"(cluster) cumulative read depth - trinity [%]"	"(cluster) members"	"(quast) # N's"	"(quast) % N's"	"(quast) # N's per 100 kbp"	"(samtools Raw) total length"	"(samtools Raw) average length"	"(samtools Raw) average quality"	"(samtools Raw) error rate"	"(samtools Raw) mismatches"	"(samtools Raw) reads MQ0"	"(samtools Raw) reads mapped (R1+R2)"	"(samtools Raw) reads mapped %"	"(samtools Raw) reads unmapped (R1+R2)"	"(samtools Raw) reads unmapped %"	"(samtools Raw) reads QC failed"	"(samtools Raw) reads QC failed %"	"(samtools Raw) reads paired"	"(samtools Raw) reads paired %"	"(samtools Raw) reads properly paired"	"(samtools Raw) reads properly paired %"	"(samtools Raw) reads duplicated"	"(samtools Raw) reads duplicated %"	"(samtools Raw) non primary alignments"	"(samtools Raw) supplementary alignments"	"(samtools Raw) outward oriented pairs"	"(samtools Raw) inward oriented pairs"	"(samtools Raw) insert size average"	"(samtools Raw) insert size standard deviation"	"(samtools Raw) bases mapped"	"(samtools Raw) bases mapped cigar"	"(samtools Raw) bases trimmed"	"(samtools Raw) bases duplicated"	"(picard) unpaired reads examined"	"(picard) read pair optical duplicates"	"(picard) unmapped reads (R1+R2)"	"(picard) estimated library size"	"(picard) unpaired read duplicates"	"(picard) secondary or supplementary rds"	"(picard) read pairs examined"	"(picard) read pair duplicates"	"(picard) % duplication"	"(picard) library"	"(samtools Post-dedup) total length"	"(samtools Post-dedup) average length"	"(samtools Post-dedup) average quality"	"(samtools Post-dedup) error rate"	"(samtools Post-dedup) mismatches"	"(samtools Post-dedup) reads MQ0"	"(samtools Post-dedup) reads mapped (R1+R2)"	"(samtools Post-dedup) reads mapped %"	"(samtools Post-dedup) reads unmapped (R1+R2)"	"(samtools Post-dedup) reads unmapped %"	"(samtools Post-dedup) reads QC failed"	"(samtools Post-dedup) reads QC failed %"	"(samtools Post-dedup) reads paired"	"(samtools Post-dedup) reads paired %"	"(samtools Post-dedup) reads properly paired"	"(samtools Post-dedup) reads properly paired %"	"(samtools Post-dedup) reads duplicated"	"(samtools Post-dedup) reads duplicated %"	"(samtools Post-dedup) non primary alignments"	"(samtools Post-dedup) supplementary alignments"	"(samtools Post-dedup) outward oriented pairs"	"(samtools Post-dedup) inward oriented pairs"	"(samtools Post-dedup) insert size average"	"(samtools Post-dedup) insert size standard deviation"	"(samtools Post-dedup) bases mapped"	"(samtools Post-dedup) bases mapped cigar"	"(samtools Post-dedup) bases trimmed"	"(samtools Post-dedup) bases duplicated"	"(ivar_variants) raw inserts"	"(ivar_variants) raw SNPs"	"(ivar_variants) raw deletions"	"(bcftools) number of indels"	"(bcftools) number of samples"	"(bcftools) number of SNPs"	"(bcftools) number of MNPs"	"(bcftools) number of no-ALTs"	"(bcftools) number of records"	"(bcftools) number of others"	"(bcftools) number of multiallelic sites"	"(bcftools) number of multiallelic SNP sites"	"(bcftools) number of transversions"	"(bcftools) transversion in 1st alternative"	"(bcftools) number of transitions"	"(bcftools) transistion in 1st alternative"	"(bcftools) transistions/transversions ratio"	"(bcftools) transition/transversion in 1st alternative"	"(bcftools) substitution T->C"	"(bcftools) substitution A->C"	"(bcftools) substitution C->A"	"(bcftools) substitution G->T"	"(bcftools) substitution A->T"	"(bcftools) substitution C->T"	"(bcftools) substitution T->G"	"(bcftools) substitution T->A"	"(bcftools) substitution G->C"	"(bcftools) substitution C->G"	"(bcftools) substitution G->A"	"(bcftools) substitution A->G"	"(general_stats) mosdepth Mean read depth"	"(general_stats) mosdepth Min read depth"	"(general_stats) mosdepth Max read depth"	"(general_stats) mosdepth Median read depth"	"(general_stats) mosdepth 1X coverage"	"(general_stats) mosdepth 5X coverage"	"(general_stats) mosdepth 10X coverage"	"(general_stats) mosdepth 50X coverage"	"(general_stats) mosdepth 100X coverage"	"(general_stats) mosdepth 200X coverage"	"(general_stats) mosdepth 500X coverage"	"(general_stats) mosdepth 750X coverage"	"(general_stats) mosdepth 1000X coverage"
"DRX474368_cl473_consensus"	"DRX474368"	"cl473"	"consensus"	"AY318866:AY318866;"	"0.989"	"5634"	"6304"	"1479"	"16"	"0"	"5483"	"4005"	"3381"	"4859"	"0.0"	"1016"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"26.25"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.427"	"5634"	"6303"	"2619"	"5"	"2"	"3016"	"5634"	"5838"	"3230"	"0.0"	"4748"	5634.0	"No"	""	6.0	3.0	0.0	"Medium-quality"	"Genome-fragment"	88.35	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_9442"	28	0.72	28.71	0.0	"NODE_33305_length_145_cov_81.986111,NODE_674_length_2762_cov_4167.038676,NODE_33524_length_143_cov_107.528571,NODE_33418_length_144_cov_59.450704,NODE_33332_length_145_cov_28.875000,NODE_33319_length_145_cov_39.666667,k141_282,k141_4267,NODE_33331_length_145_cov_29.250000,NODE_33321_length_145_cov_37.708333,NODE_33329_length_145_cov_32.236111,NODE_33536_length_143_cov_23.500000,NODE_33340_length_145_cov_23.208333,NODE_33298_length_145_cov_101.152778,NODE_33386_length_145_cov_5.888889,NODE_33312_length_145_cov_57.083333,NODE_33297_length_145_cov_106.708333,NODE_33335_length_145_cov_26.708333,NODE_33299_length_145_cov_96.500000,NODE_33353_length_145_cov_15.930556,k141_0,NODE_33300_length_145_cov_96.069444,NODE_33457_length_144_cov_13.295775,NODE_33374_length_145_cov_7.708333,NODE_33303_length_145_cov_88.250000,NODE_33468_length_144_cov_11.323944,NODE_33341_length_145_cov_22.763889,NODE_33304_length_145_cov_84.569444"	2.0	0.04	"35.50"	6666314875.0	138.0	40.2	0.006897009	10796953.0	3.0	11899392.0	24.686691210225842	36302256.0	75.31330878977415	0.0	0.0	48201648.0	100.0	11665676.0	24.20181982159614	0.0	0.0	0.0	19113.0	63047.0	5800853.0	157.6	53.4	1654487718.0	1565454493.0	0.0	0.0	171070.0	0.0	36302256.0	382095.0	171067.0	19113.0	5864161.0	5482066.0	0.935779	"Unknown Library"	5117792756.0	138.0	40.2	0.004536779	455295.0	3.0	764193.0	2.0616838694205644	36302256.0	97.93831613057944	0.0	0.0	37066449.0	100.0	719734.0	1.9417398197491214	0.0	0.0	0.0	19113.0	25207.0	356643.0	195.7	110.3	105965599.0	100356441.0	0.0	0.0	0.0	20.0	2.0	2.0	1.0	20.0	0.0	0.0	22.0	0.0	0.0	0.0	10.0	10.0	8.0	8.0	0.8	0.8	1.0	1.0	0.0	4.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	5.0	12489.81	2.0	39605.0	4103.0	100.0	95.0	88.0	88.0	88.0	88.0	84.0	79.0	0.0
"DRX474368_cl473_it1"	"DRX474368"	"cl473"	"it1"	"AY318866:AY318866;"	"0.991"	"5624"	"6304"	"1479"	"13"	"0"	"5473"	"3995"	"3381"	"4859"	"0.0"	"1019"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"26.3"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.885"	"5624"	"6303"	"2609"	"3"	"0"	"3016"	"5624"	"5838"	"3230"	"0.0"	"4802"	5624.0	"No"	""	5.0	2.0	0.0	"Medium-quality"	"Genome-fragment"	88.12	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_9442"	28	0.72	28.71	0.0	"NODE_33305_length_145_cov_81.986111,NODE_674_length_2762_cov_4167.038676,NODE_33524_length_143_cov_107.528571,NODE_33418_length_144_cov_59.450704,NODE_33332_length_145_cov_28.875000,NODE_33319_length_145_cov_39.666667,k141_282,k141_4267,NODE_33331_length_145_cov_29.250000,NODE_33321_length_145_cov_37.708333,NODE_33329_length_145_cov_32.236111,NODE_33536_length_143_cov_23.500000,NODE_33340_length_145_cov_23.208333,NODE_33298_length_145_cov_101.152778,NODE_33386_length_145_cov_5.888889,NODE_33312_length_145_cov_57.083333,NODE_33297_length_145_cov_106.708333,NODE_33335_length_145_cov_26.708333,NODE_33299_length_145_cov_96.500000,NODE_33353_length_145_cov_15.930556,k141_0,NODE_33300_length_145_cov_96.069444,NODE_33457_length_144_cov_13.295775,NODE_33374_length_145_cov_7.708333,NODE_33303_length_145_cov_88.250000,NODE_33468_length_144_cov_11.323944,NODE_33341_length_145_cov_22.763889,NODE_33304_length_145_cov_84.569444"	48.0	0.85	"853.49"	6666314875.0	138.0	40.2	0.0006222526	974683.0	2.0	11899470.0	24.686853030419208	36302178.0	75.31314696958079	0.0	0.0	48201648.0	100.0	11659308.0	24.188608655040174	0.0	0.0	0.0	19182.0	62756.0	5801206.0	156.8	52.9	1654499091.0	1566378326.0	0.0	0.0	171024.0	0.0	36302178.0	381715.0	171020.0	19182.0	5864223.0	5482508.0	0.935843	"Unknown Library"	5117674085.0	138.0	40.2	0.0006976009	70003.0	2.0	763434.0	2.0596827053604296	36302178.0	97.94031729463957	0.0	0.0	37065612.0	100.0	715894.0	1.9314236602919168	0.0	0.0	0.0	19182.0	25202.0	356268.0	195.2	109.8	105858301.0	100348210.0	0.0	0.0	0.0	16.0	0.0	0.0	1.0	16.0	0.0	0.0	16.0	0.0	0.0	0.0	8.0	8.0	8.0	8.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	5.0	12505.87	0.0	39601.0	4087.0	100.0	96.0	88.0	88.0	88.0	88.0	84.0	79.0	0.0
"DRX474368_cl473_it2"	"DRX474368"	"cl473"	"it2"	"LC390003:LC390003;"	"0.989"	"5624"	"6304"	"1479"	"16"	"0"	"5473"	"3995"	"3381"	"4859"	"0.0"	"1019"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"26.3"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.885"	"5624"	"6303"	"2609"	"3"	"0"	"3016"	"5624"	"5838"	"3230"	"0.0"	"4802"	5624.0	"No"	""	5.0	2.0	0.0	"Medium-quality"	"Genome-fragment"	88.12	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_9442"	28	0.72	28.71	0.0	"NODE_33305_length_145_cov_81.986111,NODE_674_length_2762_cov_4167.038676,NODE_33524_length_143_cov_107.528571,NODE_33418_length_144_cov_59.450704,NODE_33332_length_145_cov_28.875000,NODE_33319_length_145_cov_39.666667,k141_282,k141_4267,NODE_33331_length_145_cov_29.250000,NODE_33321_length_145_cov_37.708333,NODE_33329_length_145_cov_32.236111,NODE_33536_length_143_cov_23.500000,NODE_33340_length_145_cov_23.208333,NODE_33298_length_145_cov_101.152778,NODE_33386_length_145_cov_5.888889,NODE_33312_length_145_cov_57.083333,NODE_33297_length_145_cov_106.708333,NODE_33335_length_145_cov_26.708333,NODE_33299_length_145_cov_96.500000,NODE_33353_length_145_cov_15.930556,k141_0,NODE_33300_length_145_cov_96.069444,NODE_33457_length_144_cov_13.295775,NODE_33374_length_145_cov_7.708333,NODE_33303_length_145_cov_88.250000,NODE_33468_length_144_cov_11.323944,NODE_33341_length_145_cov_22.763889,NODE_33304_length_145_cov_84.569444"	48.0	0.85	"853.49"	6666314875.0	138.0	40.2	0.0006222934	974748.0	6.0	11899468.0	24.686848881183483	36302180.0	75.31315111881652	0.0	0.0	48201648.0	100.0	11659350.0	24.18869578899045	0.0	0.0	0.0	19182.0	62745.0	5801217.0	156.8	52.9	1654498789.0	1566380098.0	0.0	0.0	171022.0	0.0	36302180.0	381715.0	171019.0	19182.0	5864223.0	5482508.0	0.935843	"Unknown Library"	5117674236.0	138.0	40.2	0.0006984922	70093.0	6.0	763433.0	2.059679951873452	36302180.0	97.94032004812655	0.0	0.0	37065613.0	100.0	715914.0	1.9314775665520492	0.0	0.0	0.0	19182.0	25193.0	356277.0	195.2	109.8	105858150.0	100349019.0	0.0	0.0	0.0	91.0	0.0	0.0	1.0	91.0	0.0	0.0	91.0	0.0	0.0	0.0	64.0	64.0	24.0	24.0	0.38	0.38	9.0	7.0	3.0	14.0	12.0	4.0	3.0	16.0	5.0	4.0	2.0	9.0	12505.97	1.0	39601.0	4087.0	100.0	95.0	88.0	88.0	88.0	88.0	84.0	79.0	0.0
"DRX474368_cl473_itvariant-calling"	"DRX474368"	"cl473"	"itvariant-calling"	"LC390003:LC390003;"	"0.989"	"5624"	"6304"	"1479"	"16"	"0"	"5473"	"3995"	"3381"	"4859"	"0.0"	"1019"	"Youcai mosaic virus"	"SPECIES"	"unknown"	"Youcai mosaic virus"	"228578"	"unknown"	"RNA"	"N"	"N/A"	"Plant"	"26.3"	"acc|NEIGHBOR|D38444.1|Youcai"	"acc|NEIGHBOR|D38444.1|Youcai mosaic virus genomic RNA, complete sequence|Youcai mosaic virus|VRL|26-JUN-2008"	"99.885"	"5624"	"6303"	"2609"	"3"	"0"	"3016"	"5624"	"5838"	"3230"	"0.0"	"4802"	5624.0	"No"	""	4.0	2.0	0.0	"Medium-quality"	"Genome-fragment"	88.12	"AAI-based (high-confidence)"	0.0	1.0	""	12234	"k141_9442"	28	0.72	28.71	0.0	"NODE_33305_length_145_cov_81.986111,NODE_674_length_2762_cov_4167.038676,NODE_33524_length_143_cov_107.528571,NODE_33418_length_144_cov_59.450704,NODE_33332_length_145_cov_28.875000,NODE_33319_length_145_cov_39.666667,k141_282,k141_4267,NODE_33331_length_145_cov_29.250000,NODE_33321_length_145_cov_37.708333,NODE_33329_length_145_cov_32.236111,NODE_33536_length_143_cov_23.500000,NODE_33340_length_145_cov_23.208333,NODE_33298_length_145_cov_101.152778,NODE_33386_length_145_cov_5.888889,NODE_33312_length_145_cov_57.083333,NODE_33297_length_145_cov_106.708333,NODE_33335_length_145_cov_26.708333,NODE_33299_length_145_cov_96.500000,NODE_33353_length_145_cov_15.930556,k141_0,NODE_33300_length_145_cov_96.069444,NODE_33457_length_144_cov_13.295775,NODE_33374_length_145_cov_7.708333,NODE_33303_length_145_cov_88.250000,NODE_33468_length_144_cov_11.323944,NODE_33341_length_145_cov_22.763889,NODE_33304_length_145_cov_84.569444"	254.0	4.52	"4516.36"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"SRX16007174_cl246_consensus"	"SRX16007174"	"cl246"	"consensus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2132.0	"No"	""	1.0	0.0	1.0	"Not-determined"	"Genome-fragment"	""	""	0.0	1.0	"no viral genes detected"	5543	"k119_14247"	1	0.17	0.17	0.0	"NODE_2932_length_2155_cov_1074.981007"	0.0	0.0	"0.00"	3083307104.0	101.0	38.5	0.001753805	9189.0	2.0	52377.0	0.17102909444017808	30572237.0	99.82897090555983	0.0	0.0	30624614.0	100.0	51716.0	0.1688706998886582	0.0	0.0	0.0	7.0	86.0	25879.0	188.8	56.4	5277237.0	5239466.0	0.0	0.0	447.0	0.0	30572237.0	27563.0	436.0	7.0	25965.0	9147.0	0.3576	"Unknown Library"	3081418115.0	101.0	38.5	0.001494263	5034.0	2.0	33647.0	0.10993637693980673	30572237.0	99.89006362306019	0.0	0.0	30605884.0	100.0	33442.0	0.10926657109463003	0.0	0.0	0.0	7.0	79.0	16739.0	194.2	62.7	3388248.0	3368885.0	0.0	0.0	1.0	5.0	1.0	2.0	1.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	2.0	3.0	3.0	1.5	1.5	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1363.96	1.0	3402.0	1443.0	100.0	92.0	89.0	84.0	80.0	78.0	0.0	0.0	72.0
"SRX16007174_cl246_it1"	"SRX16007174"	"cl246"	"it1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2132.0	"No"	""	1.0	0.0	1.0	"Not-determined"	"Genome-fragment"	""	""	0.0	1.0	"no viral genes detected; low-confidence DTR"	5543	"k119_14247"	1	0.17	0.17	0.0	"NODE_2932_length_2155_cov_1074.981007"	118.0	5.53	"5534.71"	3083307104.0	101.0	38.5	0.001753893	9189.0	2.0	52376.0	0.17102582909289893	30572238.0	99.8289741709071	0.0	0.0	30624614.0	100.0	51714.0	0.16886416919409988	0.0	0.0	0.0	7.0	86.0	25878.0	188.8	56.4	5277136.0	5239203.0	0.0	0.0	448.0	0.0	30572238.0	27560.0	436.0	7.0	25964.0	9147.0	0.357607	"Unknown Library"	3081418115.0	101.0	38.5	0.00149438	5034.0	2.0	33646.0	0.10993310959422052	30572238.0	99.89006689040578	0.0	0.0	30605884.0	100.0	33440.0	0.10926003640345759	0.0	0.0	0.0	7.0	79.0	16738.0	194.2	62.7	3388147.0	3368622.0	0.0	0.0	1.0	5.0	1.0	2.0	1.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	2.0	3.0	3.0	1.5	1.5	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1363.86	0.0	3402.0	1443.0	95.0	92.0	89.0	84.0	80.0	78.0	0.0	0.0	72.0
"SRX16007174_cl246_it2"	"SRX16007174"	"cl246"	"it2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2132.0	"No"	""	1.0	0.0	1.0	"Not-determined"	"Genome-fragment"	""	""	0.0	1.0	"no viral genes detected; low-confidence DTR"	5543	"k119_14247"	1	0.17	0.17	0.0	"NODE_2932_length_2155_cov_1074.981007"	118.0	5.53	"5534.71"	3083307104.0	101.0	38.5	0.001753893	9189.0	2.0	52376.0	0.17102582909289893	30572238.0	99.8289741709071	0.0	0.0	30624614.0	100.0	51714.0	0.16886416919409988	0.0	0.0	0.0	7.0	86.0	25878.0	188.8	56.4	5277136.0	5239203.0	0.0	0.0	448.0	0.0	30572238.0	27560.0	436.0	7.0	25964.0	9147.0	0.357607	"Unknown Library"	3081418115.0	101.0	38.5	0.00149438	5034.0	2.0	33646.0	0.10993310959422052	30572238.0	99.89006689040578	0.0	0.0	30605884.0	100.0	33440.0	0.10926003640345759	0.0	0.0	0.0	7.0	79.0	16738.0	194.2	62.7	3388147.0	3368622.0	0.0	0.0	1.0	5.0	1.0	2.0	1.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	2.0	2.0	3.0	3.0	1.5	1.5	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1363.86	0.0	3402.0	1443.0	95.0	92.0	89.0	84.0	80.0	78.0	0.0	0.0	72.0
"SRX16007174_cl246_itvariant-calling"	"SRX16007174"	"cl246"	"itvariant-calling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2132.0	"No"	""	1.0	0.0	1.0	"Not-determined"	"Genome-fragment"	""	""	0.0	1.0	"no viral genes detected; low-confidence DTR"	5543	"k119_14247"	1	0.17	0.17	0.0	"NODE_2932_length_2155_cov_1074.981007"	162.0	7.6	"7598.50"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"SRX16007174_cl318_consensus"	"SRX16007174"	"cl318"	"consensus"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1777.0	"No"	""	1.0	0.0	0.0	"Low-quality"	"Genome-fragment"	1.29	"AAI-based (medium-confidence)"	0.0	1.0	"no viral genes detected"	3877	"NODE_4816_length_1777_cov_1411.501157"	1	0.18	0.2	0.0	"k119_21137"	0.0	0.06	"56.27"	3083307104.0	101.0	38.5	0.001784969	9060.0	284.0	51949.0	0.16963152580470076	30572665.0	99.8303684741953	0.0	0.0	30624614.0	100.0	50440.0	0.16470411676045943	0.0	0.0	0.0	23.0	312.0	25016.0	184.5	57.2	5233363.0	5075717.0	0.0	0.0	1293.0	0.0	30572665.0	28788.0	1262.0	23.0	25328.0	8483.0	0.350883	"Unknown Library"	3081469626.0	101.0	38.5	0.00181087	5982.0	204.0	33721.0	0.11017635339239334	30572665.0	99.88982364660761	0.0	0.0	30606386.0	100.0	33490.0	0.10942160894134968	0.0	0.0	0.0	23.0	277.0	16568.0	189.5	63.4	3395885.0	3303385.0	0.0	0.0	2.0	5.0	1.0	3.0	1.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1600.77	1.0	2710.0	1580.0	100.0	93.0	93.0	91.0	91.0	90.0	88.0	0.0	0.0
"SRX16007174_cl318_it1"	"SRX16007174"	"cl318"	"it1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1777.0	"No"	""	1.0	0.0	0.0	"Low-quality"	"Genome-fragment"	1.29	"AAI-based (medium-confidence)"	0.0	1.0	"no viral genes detected"	3877	"NODE_4816_length_1777_cov_1411.501157"	1	0.18	0.2	0.0	"k119_21137"	118.0	6.64	"6640.41"	3083307104.0	101.0	38.5	0.001569931	7968.0	284.0	51946.0	0.1696217297628633	30572668.0	99.83037827023715	0.0	0.0	30624614.0	100.0	50436.0	0.16469105537134282	0.0	0.0	0.0	23.0	312.0	25014.0	184.5	57.2	5233064.0	5075383.0	0.0	0.0	1294.0	0.0	30572668.0	28782.0	1263.0	23.0	25326.0	8483.0	0.350922	"Unknown Library"	3081469525.0	101.0	38.5	0.00157283	5195.0	204.0	33717.0	0.11016328782376618	30572668.0	99.88983671217623	0.0	0.0	30606385.0	100.0	33486.0	0.10940854334806284	0.0	0.0	0.0	23.0	277.0	16566.0	189.5	63.4	3395485.0	3302963.0	0.0	0.0	2.0	5.0	1.0	3.0	1.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1600.56	0.0	2710.0	1580.0	93.0	93.0	93.0	91.0	91.0	90.0	0.0	0.0	0.0
"SRX16007174_cl318_it2"	"SRX16007174"	"cl318"	"it2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1777.0	"No"	""	1.0	0.0	0.0	"Low-quality"	"Genome-fragment"	1.29	"AAI-based (medium-confidence)"	0.0	1.0	"no viral genes detected"	3877	"NODE_4816_length_1777_cov_1411.501157"	1	0.18	0.2	0.0	"k119_21137"	119.0	6.7	"6696.68"	3083307104.0	101.0	38.5	0.001570326	7970.0	284.0	51946.0	0.1696217297628633	30572668.0	99.83037827023715	0.0	0.0	30624614.0	100.0	50436.0	0.16469105537134282	0.0	0.0	0.0	23.0	312.0	25014.0	184.5	57.2	5233064.0	5075380.0	0.0	0.0	1294.0	0.0	30572668.0	28782.0	1263.0	23.0	25326.0	8483.0	0.350922	"Unknown Library"	3081469525.0	101.0	38.5	0.001573437	5197.0	204.0	33717.0	0.11016328782376618	30572668.0	99.88983671217623	0.0	0.0	30606385.0	100.0	33486.0	0.10940854334806284	0.0	0.0	0.0	23.0	277.0	16566.0	189.5	63.4	3395485.0	3302961.0	0.0	0.0	2.0	5.0	1.0	3.0	1.0	5.0	0.0	0.0	8.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1600.56	0.0	2710.0	1580.0	93.0	93.0	93.0	91.0	91.0	90.0	0.0	0.0	0.0
"SRX16007174_cl318_itvariant-calling"	"SRX16007174"	"cl318"	"itvariant-calling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1777.0	"No"	""	1.0	0.0	0.0	"Low-quality"	"Genome-fragment"	1.29	"AAI-based (medium-confidence)"	0.0	1.0	"no viral genes detected"	3877	"NODE_4816_length_1777_cov_1411.501157"	1	0.18	0.2	0.0	"k119_21137"	118.0	6.64	"6640.41"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
