id,sample,sequence,segment
LVE00223-9294,LVE00223,data-preparation/selected-references/9294_KM822037.1.fasta,S
LVE00223-9496,LVE00223,data-preparation/selected-references/9496_KM821953.1.fasta,S
LVE00223-9698,LVE00223,data-preparation/selected-references/9698_MH887854.1.fasta,S
LVE00223-98100,LVE00223,data-preparation/selected-references/98100_MH887798.1.fasta,S
LVE00223-RVDB,LVE00223,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
LVE00279-6870,LVE00279,data-preparation/selected-references/6870_MT199233.1.fasta,L
LVE00279-7072,LVE00279,data-preparation/selected-references/7072_U63094.1.fasta,L
LVE00279-7274,LVE00279,data-preparation/selected-references/7274_OR041684.1.fasta,S
LVE00279-7476,LVE00279,data-preparation/selected-references/7476_MK117919.1.fasta,L
LVE00279-7678,LVE00279,data-preparation/selected-references/7678_MH053566.1.fasta,L
LVE00279-7880,LVE00279,data-preparation/selected-references/7880_KM822042.1.fasta,L
LVE00279-8082,LVE00279,data-preparation/selected-references/8082_MK117936.1.fasta,L
LVE00279-8284,LVE00279,data-preparation/selected-references/8284_KM822050.1.fasta,L
LVE00279-8486,LVE00279,data-preparation/selected-references/8486_KM822075.1.fasta,L
LVE00279-8688,LVE00279,data-preparation/selected-references/8688_MK117940.1.fasta,L
LVE00279-8890,LVE00279,data-preparation/selected-references/8890_MK107842.1.fasta,L
LVE00279-9092,LVE00279,data-preparation/selected-references/9092_MK117859.1.fasta,S
LVE00279-9294,LVE00279,data-preparation/selected-references/9294_KM822033.1.fasta,S
LVE00279-9496,LVE00279,data-preparation/selected-references/9496_KM821984.1.fasta,S
LVE00279-9698,LVE00279,data-preparation/selected-references/9698_KM822076.1.fasta,S
LVE00279-98100,LVE00279,data-preparation/selected-references/98100_MK118028.1.fasta,S
LVE00279-RVDB,LVE00279,/lustre1/project/stg_00132/databases/RVDB/U-RVDBv29.0.fasta,NA
