# id: 'checkv'
# section_name: 'CLUSTER: Checkv'
# format: 'tsv'
# description: 'Checkv assesses the quality of metagenome-assembled viral genomes. '
# plot_type: 'table'
"(checkv) contig_id"	"(checkv) contig_length"	"(checkv) provirus"	"(checkv) proviral_length"	"(checkv) gene_count"	"(checkv) viral_genes"	"(checkv) host_genes"	"(checkv) checkv_quality"	"(checkv) miuvig_quality"	"(checkv) completeness"	"(checkv) completeness_method"	"(checkv) contamination"	"(checkv) kmer_freq"	"(checkv) warnings"	"sample"	"cluster"	"step"
"Jon-reference_cl3_itvariant-calling.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jon-reference"	"cl3"	"itvariant-calling"
"Tyrion-reference_cl1_consensus_consensus"	9081	"No"	""	12	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-reference"	"cl1"	"consensus"
"Tyrion-reference_cl1_it1.consensus_ivar"	9066	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-reference"	"cl1"	"it1"
"Tyrion-reference_cl1_it2.consensus_ivar"	9065	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-reference"	"cl1"	"it2"
"Tyrion-reference_cl1_itvariant-calling.consensus_ivar"	9065	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-reference"	"cl1"	"itvariant-calling"
"Daenerys-reference_cl1_consensus_consensus"	9073	"No"	""	11	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-reference"	"cl1"	"consensus"
"Daenerys-reference_cl1_it1.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-reference"	"cl1"	"it1"
"Daenerys-reference_cl1_it2.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-reference"	"cl1"	"it2"
"Daenerys-reference_cl1_itvariant-calling.consensus_ivar"	9064	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-reference"	"cl1"	"itvariant-calling"
"Eddard-MN090188_cl0_consensus_consensus"	9063	"No"	""	9	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-MN090188"	"cl0"	"consensus"
"Eddard-MN090188_cl0_it1.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.91	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-MN090188"	"cl0"	"it1"
"Eddard-MN090188_cl0_it2.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.91	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-MN090188"	"cl0"	"it2"
"Eddard-MN090188_cl0_itvariant-calling.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.91	"AAI-based (high-confidence)"	0.0	1.0	""	"Eddard-MN090188"	"cl0"	"itvariant-calling"
"Bran-MZ766668_cl0_consensus_consensus"	9590	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.06	""	"Bran-MZ766668"	"cl0"	"consensus"
"Bran-MZ766668_cl0_it1.consensus_ivar"	9590	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.06	""	"Bran-MZ766668"	"cl0"	"it1"
"Bran-MZ766668_cl0_it2.consensus_ivar"	9590	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.06	""	"Bran-MZ766668"	"cl0"	"it2"
"Bran-MZ766668_cl0_itvariant-calling.consensus_ivar"	9590	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.06	""	"Bran-MZ766668"	"cl0"	"itvariant-calling"
"Robb-MN090188_cl0_consensus_consensus"	9060	"No"	""	9	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090188"	"cl0"	"consensus"
"Robb-MN090188_cl0_it1.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.87	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090188"	"cl0"	"it1"
"Robb-MN090188_cl0_it2.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.87	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090188"	"cl0"	"it2"
"Robb-MN090188_cl0_itvariant-calling.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.87	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090188"	"cl0"	"itvariant-calling"
"Tyrion-MN090277_cl1_consensus_consensus"	9113	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-MN090277"	"cl1"	"consensus"
"Tyrion-MN090277_cl1_it1.consensus_ivar"	9091	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Tyrion-MN090277"	"cl1"	"it1"
"Tyrion-MN090277_cl1_it2.consensus_ivar"	9089	"No"	""	6	5	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Tyrion-MN090277"	"cl1"	"it2"
"Tyrion-MN090277_cl1_itvariant-calling.consensus_ivar"	9089	"No"	""	6	5	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Tyrion-MN090277"	"cl1"	"itvariant-calling"
"Robb-MN090277-MN090188_cl0_consensus_consensus"	9060	"No"	""	9	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090277-MN090188"	"cl0"	"consensus"
"Robb-MN090277-MN090188_cl0_it1.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.87	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090277-MN090188"	"cl0"	"it1"
"Robb-MN090277-MN090188_cl0_it2.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.87	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090277-MN090188"	"cl0"	"it2"
"Robb-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.87	"AAI-based (high-confidence)"	0.0	1.0	""	"Robb-MN090277-MN090188"	"cl0"	"itvariant-calling"
"Tyrion-reference_cl2_consensus"	9545	"No"	""	10	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Tyrion-reference"	"cl2"	"consensus"
"Tyrion-reference_cl2_it1.consensus_ivar"	9528	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-reference"	"cl2"	"it1"
"Tyrion-reference_cl2_it2.consensus_ivar"	9526	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-reference"	"cl2"	"it2"
"Tyrion-reference_cl2_itvariant-calling.consensus_ivar"	9525	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-reference"	"cl2"	"itvariant-calling"
"Catelyn-virosaurus_cl0_consensus"	9765	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.05	""	"Catelyn-virosaurus"	"cl0"	"consensus"
"Catelyn-virosaurus_cl0_it1.consensus_ivar"	9768	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.03	"low-confidence DTR"	"Catelyn-virosaurus"	"cl0"	"it1"
"Catelyn-virosaurus_cl0_it2.consensus_ivar"	9768	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Catelyn-virosaurus"	"cl0"	"it2"
"Catelyn-virosaurus_cl0_itvariant-calling.consensus_ivar"	9768	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Catelyn-virosaurus"	"cl0"	"itvariant-calling"
"Sansa-virosaurus_cl1_consensus"	9754	"No"	""	11	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.05	""	"Sansa-virosaurus"	"cl1"	"consensus"
"Sansa-virosaurus_cl1_it1.consensus_ivar"	9771	"No"	""	15	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.04	"low-confidence DTR"	"Sansa-virosaurus"	"cl1"	"it1"
"Sansa-virosaurus_cl1_it2.consensus_ivar"	9771	"No"	""	15	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.03	"low-confidence DTR"	"Sansa-virosaurus"	"cl1"	"it2"
"Sansa-virosaurus_cl1_itvariant-calling.consensus_ivar"	9771	"No"	""	15	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.03	"low-confidence DTR"	"Sansa-virosaurus"	"cl1"	"itvariant-calling"
"Catelyn-MN090277-MN090188_cl0_consensus"	9239	"No"	""	7	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277-MN090188"	"cl0"	"consensus"
"Catelyn-MN090277-MN090188_cl0_it1.consensus_ivar"	9235	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277-MN090188"	"cl0"	"it1"
"Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar"	9235	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277-MN090188"	"cl0"	"it2"
"Catelyn-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	9235	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Catelyn-MN090277-MN090188"	"cl0"	"itvariant-calling"
"Eddard-MN090277-MN090188_cl0_consensus"	9243	"No"	""	10	9	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277-MN090188"	"cl0"	"consensus"
"Eddard-MN090277-MN090188_cl0_it1.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277-MN090188"	"cl0"	"it1"
"Eddard-MN090277-MN090188_cl0_it2.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277-MN090188"	"cl0"	"it2"
"Eddard-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Eddard-MN090277-MN090188"	"cl0"	"itvariant-calling"
"Jorah-MZ766668_cl0_consensus"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MZ766668"	"cl0"	"consensus"
"Jorah-MZ766668_cl0_it1.consensus_ivar"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MZ766668"	"cl0"	"it1"
"Jorah-MZ766668_cl0_it2.consensus_ivar"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MZ766668"	"cl0"	"it2"
"Jorah-MZ766668_cl0_itvariant-calling.consensus_ivar"	9011	"No"	""	6	5	0	"High-quality"	"High-quality"	99.32	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MZ766668"	"cl0"	"itvariant-calling"
"Daenerys-virosaurus_cl3_consensus"	9839	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	"Daenerys-virosaurus"	"cl3"	"consensus"
"Daenerys-virosaurus_cl3_it1.consensus_ivar"	9818	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.04	""	"Daenerys-virosaurus"	"cl3"	"it1"
"Daenerys-virosaurus_cl3_it2.consensus_ivar"	9802	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	"low-confidence DTR"	"Daenerys-virosaurus"	"cl3"	"it2"
"Daenerys-virosaurus_cl3_itvariant-calling.consensus_ivar"	9803	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Daenerys-virosaurus"	"cl3"	"itvariant-calling"
"Daenerys-MN090277-MZ766668_cl1_consensus"	9015	"No"	""	9	6	0	"High-quality"	"High-quality"	99.91	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277-MZ766668"	"cl1"	"consensus"
"Daenerys-MN090277-MZ766668_cl1_it1.consensus_ivar"	9008	"No"	""	7	6	0	"High-quality"	"High-quality"	99.29	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277-MZ766668"	"cl1"	"it1"
"Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar"	8995	"No"	""	8	7	0	"High-quality"	"High-quality"	99.24	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277-MZ766668"	"cl1"	"it2"
"Daenerys-MN090277-MZ766668_cl1_itvariant-calling.consensus_ivar"	8997	"No"	""	7	6	0	"High-quality"	"High-quality"	99.17	"AAI-based (high-confidence)"	0.0	1.0	""	"Daenerys-MN090277-MZ766668"	"cl1"	"itvariant-calling"
"Catelyn-MN090188_cl0_consensus_consensus"	9059	"No"	""	6	6	0	"High-quality"	"High-quality"	99.82	"AAI-based (high-confidence)"	0.0	1.0	""	"Catelyn-MN090188"	"cl0"	"consensus"
"Catelyn-MN090188_cl0_it1.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.88	"AAI-based (high-confidence)"	0.0	1.0	""	"Catelyn-MN090188"	"cl0"	"it1"
"Catelyn-MN090188_cl0_it2.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.88	"AAI-based (high-confidence)"	0.0	1.0	""	"Catelyn-MN090188"	"cl0"	"it2"
"Catelyn-MN090188_cl0_itvariant-calling.consensus_ivar"	9056	"No"	""	7	6	0	"High-quality"	"High-quality"	99.88	"AAI-based (high-confidence)"	0.0	1.0	""	"Catelyn-MN090188"	"cl0"	"itvariant-calling"
"Tyrion-virosaurus_cl17_consensus"	9080	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-virosaurus"	"cl17"	"consensus"
"Tyrion-virosaurus_cl17_it1.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-virosaurus"	"cl17"	"it1"
"Tyrion-virosaurus_cl17_it2.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-virosaurus"	"cl17"	"it2"
"Tyrion-virosaurus_cl17_itvariant-calling.consensus_ivar"	9074	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Tyrion-virosaurus"	"cl17"	"itvariant-calling"
"Jorah-MN090277_cl1_consensus_consensus"	9010	"No"	""	6	5	0	"High-quality"	"High-quality"	99.31	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277"	"cl1"	"consensus"
"Jorah-MN090277_cl1_it1.consensus_ivar"	9010	"No"	""	6	5	0	"High-quality"	"High-quality"	99.31	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277"	"cl1"	"it1"
"Jorah-MN090277_cl1_it2.consensus_ivar"	9010	"No"	""	6	5	0	"High-quality"	"High-quality"	99.31	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277"	"cl1"	"it2"
"Jorah-MN090277_cl1_itvariant-calling.consensus_ivar"	9010	"No"	""	6	5	0	"High-quality"	"High-quality"	99.31	"AAI-based (high-confidence)"	0.0	1.0	""	"Jorah-MN090277"	"cl1"	"itvariant-calling"
"Sansa-MN090277_cl0_consensus"	9229	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Sansa-MN090277"	"cl0"	"consensus"
"Sansa-MN090277_cl0_it1.consensus_ivar"	9229	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Sansa-MN090277"	"cl0"	"it1"
"Sansa-MN090277_cl0_it2.consensus_ivar"	9229	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Sansa-MN090277"	"cl0"	"it2"
"Sansa-MN090277_cl0_itvariant-calling.consensus_ivar"	9229	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Sansa-MN090277"	"cl0"	"itvariant-calling"
"Jon-virosaurus_cl0_consensus"	9774	"No"	""	14	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Jon-virosaurus"	"cl0"	"consensus"
"Jon-virosaurus_cl0_it1.consensus_ivar"	9763	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Jon-virosaurus"	"cl0"	"it1"
"Jon-virosaurus_cl0_it2.consensus_ivar"	9763	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Jon-virosaurus"	"cl0"	"it2"
"Jon-virosaurus_cl0_itvariant-calling.consensus_ivar"	9763	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Jon-virosaurus"	"cl0"	"itvariant-calling"
"Jon-reference_cl1_consensus"	9754	"No"	""	15	9	0	"Complete"	"High-quality"	100.0	"DTR (high-confidence)"	0.0	1.07	""	"Jon-reference"	"cl1"	"consensus"
"Jon-reference_cl1_it1.consensus_ivar"	9776	"No"	""	9	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.06	""	"Jon-reference"	"cl1"	"it1"
"Jon-reference_cl1_it2.consensus_ivar"	9776	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.04	"low-confidence DTR"	"Jon-reference"	"cl1"	"it2"
"Jon-reference_cl1_itvariant-calling.consensus_ivar"	9776	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Jon-reference"	"cl1"	"itvariant-calling"
"Tyrion-MN090277_cl0_consensus"	9244	"No"	""	12	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Tyrion-MN090277"	"cl0"	"consensus"
"Tyrion-MN090277_cl0_it1.consensus_ivar"	9233	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Tyrion-MN090277"	"cl0"	"it1"
"Tyrion-MN090277_cl0_it2.consensus_ivar"	9233	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Tyrion-MN090277"	"cl0"	"it2"
"Tyrion-MN090277_cl0_itvariant-calling.consensus_ivar"	9233	"No"	""	8	7	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Tyrion-MN090277"	"cl0"	"itvariant-calling"
"Arya-MN090240_cl0_consensus"	9022	"No"	""	9	7	0	"High-quality"	"High-quality"	99.81	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-MN090240"	"cl0"	"consensus"
"Arya-MN090240_cl0_it1.consensus_ivar"	9015	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-MN090240"	"cl0"	"it1"
"Arya-MN090240_cl0_it2.consensus_ivar"	9015	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-MN090240"	"cl0"	"it2"
"Arya-MN090240_cl0_itvariant-calling.consensus_ivar"	9015	"No"	""	14	12	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Arya-MN090240"	"cl0"	"itvariant-calling"
"Catelyn-virosaurus_cl1_consensus"	9739	"No"	""	13	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.05	""	"Catelyn-virosaurus"	"cl1"	"consensus"
"Catelyn-virosaurus_cl1_it1.consensus_ivar"	9688	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Catelyn-virosaurus"	"cl1"	"it1"
"Catelyn-virosaurus_cl1_it2.consensus_ivar"	9693	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Catelyn-virosaurus"	"cl1"	"it2"
"Catelyn-virosaurus_cl1_itvariant-calling.consensus_ivar"	9693	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	"low-confidence DTR"	"Catelyn-virosaurus"	"cl1"	"itvariant-calling"
"Jon-MN090277-MN090240_cl0_consensus"	9235	"No"	""	10	8	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Jon-MN090277-MN090240"	"cl0"	"consensus"
"Jon-MN090277-MN090240_cl0_it1.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Jon-MN090277-MN090240"	"cl0"	"it1"
"Jon-MN090277-MN090240_cl0_it2.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Jon-MN090277-MN090240"	"cl0"	"it2"
"Jon-MN090277-MN090240_cl0_itvariant-calling.consensus_ivar"	9232	"No"	""	7	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Jon-MN090277-MN090240"	"cl0"	"itvariant-calling"
"Jaime-reference_cl2_consensus"	9348	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.02	""	"Jaime-reference"	"cl2"	"consensus"
"Jaime-reference_cl2_it1.consensus_ivar"	9340	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-reference"	"cl2"	"it1"
"Jaime-reference_cl2_it2.consensus_ivar"	9338	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-reference"	"cl2"	"it2"
"Jaime-reference_cl2_itvariant-calling.consensus_ivar"	9337	"No"	""	8	6	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	"Jaime-reference"	"cl2"	"itvariant-calling"
"Daenerys-reference_cl0_consensus"	12458	"No"	""	20	11	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.74	"high kmer_freq may indicate large duplication"	"Daenerys-reference"	"cl0"	"consensus"
"Daenerys-reference_cl0_it1.consensus_ivar"	12422	"No"	""	13	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.41	""	"Daenerys-reference"	"cl0"	"it1"
"Daenerys-reference_cl0_it2.consensus_ivar"	12422	"No"	""	13	10	0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.22	""	"Daenerys-reference"	"cl0"	"it2"
