# id: 'contig_overview'
# section_name: 'CLUSTER: Clusters overview'
# format: 'tsv'
# description: 'Concatenation information of multiple tools regarding the clusters and the different iterations of them'
# plot_type: 'table'
"index"	"sample name"	"cluster"	"step"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"(checkv) contig_length"	"(checkv) provirus"	"(checkv) proviral_length"	"(checkv) gene_count"	"(checkv) viral_genes"	"(checkv) host_genes"	"(checkv) checkv_quality"	"(checkv) miuvig_quality"	"(checkv) completeness"	"(checkv) completeness_method"	"(checkv) contamination"	"(checkv) kmer_freq"	"(checkv) warnings"	"(quast) # N's"	"(quast) % N's"	"(quast) # N's per 100 kbp"	"(picard_dups) unpaired reads examined"	"(picard_dups) read pair optical duplicates"	"(picard_dups) unmapped reads"	"(picard_dups) estimated library size"	"(picard_dups) unpaired read duplicates"	"(picard_dups) secondary or supplementary rds"	"(picard_dups) read pairs examined"	"(picard_dups) read pair duplicates"	"(picard_dups) % duplication"	"(picard_dups) library"	"(samtools_stats) sequences"	"(samtools_stats) reads paired %"	"(samtools_stats) average length"	"(samtools_stats) is sorted"	"(samtools_stats) bases mapped (cigar)"	"(samtools_stats) reads QC failed %"	"(samtools_stats) reads unmapped"	"(samtools_stats) reads unmapped %"	"(samtools_stats) reads properly paired %"	"(samtools_stats) average quality"	"(samtools_stats) reads paired"	"(samtools_stats) non-primary alignments"	"(samtools_stats) supplementary alignments"	"(samtools_stats) reads mapped"	"(samtools_stats) reads mapped %"	"(samtools_stats) bases trimmed"	"(samtools_stats) bases duplicated"	"(samtools_stats) reads properly paired"	"(samtools_stats) outward oriented pairs"	"(samtools_stats) reads duplicated"	"(samtools_stats) reads duplicated %"	"(samtools_stats) bases mapped"	"(samtools_stats) insert size average"	"(samtools_stats) insert size standard deviation"	"(samtools_stats) inward oriented pairs"	"(samtools_stats) error rate"	"(samtools_stats) mismatches"	"(samtools_stats) reads MQ0"	"(samtools_stats) total length"	"(samtools_stats) reads QC failed"	"(ivar_variants) raw inserts"	"(ivar_variants) raw SNPs"	"(ivar_variants) raw deletions"	"(bcftools_stats) number of indels"	"(bcftools_stats) number of samples"	"(bcftools_stats) number of SNPs"	"(bcftools_stats) number of MNPs"	"(bcftools_stats) number of no-ALTs"	"(bcftools_stats) number of records"	"(bcftools_stats) number of others"	"(bcftools_stats) number of multiallelic sites"	"(bcftools_stats) number of multiallelic SNP sites"	"(bcftools_stats) number of transversions"	"(bcftools_stats) transversion in 1st alternative"	"(bcftools_stats) number of transitions"	"(bcftools_stats) transistion in 1st alternative"	"(bcftools_stats) transistions/transversions ratio"	"(bcftools_stats) transition/transversion in 1st alternative"	"(bcftools_stats) substitution T->C"	"(bcftools_stats) substitution A->C"	"(bcftools_stats) substitution C->A"	"(bcftools_stats) substitution G->T"	"(bcftools_stats) substitution A->T"	"(bcftools_stats) substitution C->T"	"(bcftools_stats) substitution T->G"	"(bcftools_stats) substitution T->A"	"(bcftools_stats) substitution G->C"	"(bcftools_stats) substitution C->G"	"(bcftools_stats) substitution G->A"	"(bcftools_stats) substitution A->G"	"(multiqc) mosdepth 1X coverage"	"(multiqc) mosdepth 5X coverage"	"(multiqc) mosdepth 10X coverage"	"(multiqc) mosdepth 50X coverage"	"(multiqc) mosdepth Median read depth"	"(multiqc) mosdepth Mean read depth"	"(multiqc) mosdepth Min read depth"	"(multiqc) mosdepth Max read depth"
"Arya-MN090277_cl0_it2"	"Arya-MN090277"	"cl0"	"it2"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9225.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	0.0	0.01	"10.84"	0.0	0.0	0.0	1640887.0	0.0	15.0	2000000.0	844108.0	0.422054	"Unknown Library"	2311784.0	100.0	301.0	1.0	694410130.0	0.0	0.0	0.0	99.8332889231866	33.0	2311784.0	0.0	15.0	2311784.0	100.0	0.0	0.0	2307930.0	0.0	0.0	0.0	695846984.0	779.9	79.6	1155892.0	0.01749735	12150336.0	1.0	695846984.0	0.0	3.0	288.0	1.0	4.0	1.0	288.0	0.0	0.0	292.0	0.0	0.0	0.0	14.0	14.0	274.0	274.0	19.57	19.57	8.0	2.0	2.0	1.0	1.0	4.0	3.0	3.0	1.0	1.0	12.0	250.0	100.0	100.0	100.0	100.0	82258.0	75255.25	0.0	89113.0
"Arya-MN090277_cl0_itvariant-calling"	"Arya-MN090277"	"cl0"	"itvariant-calling"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9225.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.01	""	0.0	0.01	"10.84"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Arya-reference_cl0_consensus"	"Arya-reference"	"cl0"	"consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	12402.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.88	"high kmer_freq may indicate large duplication"	2.0	0.02	"16.13"	113368.0	0.0	1119646.0	3060807.0	113023.0	1.0	1383493.0	270438.0	0.22702	"Unknown Library"	3346101.0	100.0	301.0	1.0	662431017.0	0.0	1119646.0	33.461213513877794	0.1050177505102207	32.8	3346101.0	0.0	1.0	2226455.0	66.5387864861222	0.0	0.0	3514.0	0.0	0.0	0.0	670162955.0	2571.6	2783.0	670837.0	0.02100619	13915156.0	1636328.0	1007176401.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	59445.0	53400.25	0.0	84392.0
"Arya-reference_cl0_it1"	"Arya-reference"	"cl0"	"it1"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	12402.0	"No"	""	17.0	14.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.82	"high kmer_freq may indicate large duplication"	24.0	0.19	"193.52"	113487.0	0.0	1118851.0	2848566.0	113142.0	1.0	1383831.0	287718.0	0.238994	"Unknown Library"	3311422.0	100.0	301.0	1.0	652439585.0	0.0	1118851.0	33.78762960444184	0.0797844551374001	32.8	3311422.0	0.0	1.0	2192571.0	66.21237039555817	0.0	0.0	2642.0	0.0	0.0	0.0	659963871.0	2428.9	2717.9	687661.0	0.01677289	10943296.0	1448063.0	996738022.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	59241.0	52594.34	0.0	80365.0
"Arya-reference_cl0_it2"	"Arya-reference"	"cl0"	"it2"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	12402.0	"No"	""	17.0	14.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.79	"high kmer_freq may indicate large duplication"	21.0	0.18	"177.39"	113447.0	0.0	1117857.0	2717123.0	113103.0	1.0	1384348.0	299677.0	0.247197	"Unknown Library"	3287543.0	100.0	301.0	1.0	645573658.0	0.0	1117857.0	34.00281000126842	0.0846224672954848	32.8	3287543.0	0.0	1.0	2169686.0	65.99718999873157	0.0	0.0	2782.0	0.0	0.0	0.0	653075486.0	2342.1	2686.9	698960.0	0.01656717	10695329.0	1318080.0	989550443.0	0.0	2.0	306.0	0.0	2.0	1.0	306.0	0.0	0.0	308.0	0.0	0.0	0.0	11.0	11.0	294.0	294.0	26.73	26.73	138.0	0.0	1.0	1.0	3.0	7.0	1.0	3.0	1.0	1.0	7.0	142.0	100.0	100.0	100.0	100.0	58805.0	52040.57	0.0	78286.0
"Arya-reference_cl0_itvariant-calling"	"Arya-reference"	"cl0"	"itvariant-calling"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	12402.0	"No"	""	18.0	14.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.75	"high kmer_freq may indicate large duplication"	21.0	0.17	"169.33"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Arya-reference_cl1_consensus"	"Arya-reference"	"cl1"	"consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	8929.0	"No"	""	10.0	7.0	0.0	"High-quality"	"High-quality"	98.83	"AAI-based (high-confidence)"	0.0	1.0	""	1.0	0.01	"11.20"	13.0	0.0	13.0	1637170.0	13.0	123.0	1999987.0	845380.0	0.422695	"Unknown Library"	2309227.0	100.0	301.0	1.0	690210761.0	0.0	13.0	0.0005629589468683	99.7428143703499	33.0	2309227.0	0.0	123.0	2309214.0	99.99943704105311	0.0	0.0	2303288.0	0.0	0.0	0.0	695073414.0	776.8	82.3	1153614.0	0.02390217	16497537.0	25.0	695077327.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82227.0	77221.19	0.0	88504.0
"Arya-reference_cl1_it1"	"Arya-reference"	"cl1"	"it1"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	8934.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	99.15	"AAI-based (high-confidence)"	0.0	1.0	""	0.0	0.01	"11.19"	18.0	0.0	18.0	1641816.0	18.0	123.0	1999982.0	843776.0	0.421894	"Unknown Library"	2312430.0	100.0	301.0	1.0	691749576.0	0.0	18.0	0.0007784019408155	99.7453760762488	33.0	2312430.0	0.0	123.0	2312412.0	99.99922159805918	0.0	0.0	2306542.0	0.0	0.0	0.0	696036012.0	777.4	82.5	1155204.0	0.01835776	12698971.0	103.0	696041430.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82282.0	77408.67	0.0	89113.0
"Arya-reference_cl1_it2"	"Arya-reference"	"cl1"	"it2"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	8934.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	99.15	"AAI-based (high-confidence)"	0.0	1.0	""	0.0	0.01	"11.19"	18.0	0.0	18.0	1641816.0	18.0	123.0	1999982.0	843776.0	0.421894	"Unknown Library"	2312430.0	100.0	301.0	1.0	691749576.0	0.0	18.0	0.0007784019408155	99.7453760762488	33.0	2312430.0	0.0	123.0	2312412.0	99.99922159805918	0.0	0.0	2306542.0	0.0	0.0	0.0	696036012.0	777.4	82.5	1155204.0	0.01835776	12698971.0	103.0	696041430.0	0.0	3.0	449.0	1.0	4.0	1.0	449.0	0.0	0.0	453.0	0.0	0.0	0.0	107.0	107.0	342.0	342.0	3.2	3.2	15.0	10.0	18.0	9.0	20.0	10.0	10.0	22.0	11.0	7.0	39.0	278.0	100.0	100.0	100.0	100.0	82282.0	77408.67	0.0	89113.0
"Arya-reference_cl1_itvariant-calling"	"Arya-reference"	"cl1"	"itvariant-calling"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	8934.0	"No"	""	14.0	12.0	0.0	"High-quality"	"High-quality"	99.15	"AAI-based (high-confidence)"	0.0	1.0	""	0.0	0.01	"11.19"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"Arya-virosaurus_cl0_consensus"	"Arya-virosaurus"	"cl0"	"consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	9068.0	"No"	""	8.0	7.0	0.0	"High-quality"	"High-quality"	100.0	"AAI-based (high-confidence)"	0.0	1.0	""	0.0	0.0	"0.00"	0.0	0.0	0.0	1640940.0	0.0	8069.0	2000000.0	844090.0	0.422045	"Unknown Library"	2311820.0	100.0	301.0	1.0	694002407.0	0.0	0.0	0.0	99.71537576454914	33.0	2311820.0	0.0	8069.0	2311820.0	100.0	0.0	0.0	2305240.0	0.0	0.0	0.0	695857820.0	779.0	80.8	1154559.0	0.02433788	16890549.0	0.0	695857820.0	0.0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	100.0	100.0	100.0	100.0	82254.0	76514.4	0.0	89155.0
