,,mismatches,identities,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090188.1,8,9045,9059,3,0,9059,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl0_it2.consensus_ivar,MN090277.1,41,9015,9232,176,0,9232,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090188.1,15,2302,9505,6739,180,9505,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090188_cl1_it2.consensus_ivar,MN090277.1,15,2467,9516,6750,180,9516,Catelyn,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090188_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,8,9048,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,41,9190,9235,0,1,9235,Catelyn,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090188.1,8,9048,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-MN090277_cl0_it2.consensus_ivar,MN090277.1,41,9190,9235,0,1,9235,Catelyn,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090188.1,1065,6938,12564,146,954,12564,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl0_it2.consensus_ivar,MN090277.1,1205,7032,12506,88,954,12506,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090188.1,11,9045,9298,0,227,9298,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-reference_cl1_it2.consensus_ivar,MN090277.1,38,9030,9298,0,227,9298,Catelyn,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090188.1,11,8498,9708,275,336,9708,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl1_it2.consensus_ivar,MN090277.1,92,8521,9716,283,336,9716,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090188.1,11,9045,9298,0,227,9298,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090188.1.aln
Catelyn-virosaurus_cl2_it2.consensus_ivar,MN090277.1,38,9030,9298,0,227,9298,Catelyn,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Catelyn.virosaurus_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,1371,7568,9304,72,1,9304,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,925,8056,9025,30,0,9025,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,424,8510,9293,298,0,9293,Daenerys,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MZ766668.1,1371,7568,9304,72,1,9304,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MZ766668.1,925,8055,9025,31,0,9025,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MN090277_cl1_it2.consensus_ivar,MN090277.1,424,8509,9293,299,0,9293,Daenerys,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,1358,7546,9159,107,0,9159,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl0_it2.consensus_ivar,MN090277.1,0,9052,9232,180,0,9232,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,925,8056,9025,30,0,9025,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MN090277.1,424,8510,9293,298,0,9293,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MZ766668.1,925,8056,9546,30,521,9546,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MN090277.1,424,8510,9670,154,521,9670,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MZ766668.1,1358,7567,9361,66,222,9361,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MN090277.1,5,9068,9295,0,222,9295,Daenerys,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MZ766668.1,1358,7567,9361,66,222,9361,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MN090277.1,5,9068,9295,0,222,9295,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MZ766668.1,963,8025,9864,23,598,9864,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MN090277.1,428,8649,9912,71,598,9912,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090188.1,49,9004,9059,3,0,9059,Eddard,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9056,9232,176,0,9232,Eddard,MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,49,9004,9235,3,1,9235,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090188.1,49,9004,9235,3,1,9235,Eddard,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Eddard,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090188.1,1620,6804,12475,53,814,12475,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090277.1,1581,6926,12567,145,814,12567,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090188.1,49,9004,9298,3,227,9298,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090277.1,0,9068,9295,0,227,9295,Eddard,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090188.1,49,9004,9298,3,227,9298,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090277.1,0,9068,9295,0,227,9295,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,417,8521,9246,73,1,9246,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,946,8218,9240,67,1,9240,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,8,8999,9012,4,0,9012,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,1363,7577,9300,292,0,9300,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MZ766668.1,417,8521,9246,73,1,9246,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MN090277.1,946,8218,9240,67,1,9240,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MZ766668.1,8,8995,9012,8,0,9012,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MN090277.1,1362,7575,9299,295,0,9299,Jaime,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,418,8520,9194,73,0,9194,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MN090277.1,945,8168,9240,119,0,9240,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,8,8999,9012,4,0,9012,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MN090277.1,1363,7577,9300,292,0,9300,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MZ766668.1,8,8808,9533,195,521,9533,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MN090277.1,1346,7403,9677,339,521,9677,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MZ766668.1,414,8495,9343,82,222,9343,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MN090277.1,929,8107,9298,37,222,9298,Jaime,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MZ766668.1,0,9011,9915,0,277,9915,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MN090277.1,1371,7598,10027,112,277,10027,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MZ766668.1,445,8474,9343,72,222,9343,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MN090277.1,910,8136,9298,27,222,9298,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090240.1,281,8730,9025,3,1,9025,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9021,9232,210,1,9232,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090240.1,74,1875,9649,7066,0,9649,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090277.1,10,2108,9697,7114,0,9697,Jon,MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,281,8731,9235,3,1,9235,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090240.1,74,1875,9648,7066,0,9648,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090277.1,10,2108,9696,7114,0,9696,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090240.1,281,8731,9235,3,1,9235,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9231,9232,0,1,9232,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090240.1,74,1875,9648,7066,0,9648,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090277.1,10,2108,9696,7114,0,9696,Jon,MN090277,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090240.1,1734,7129,12542,128,81,12542,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090277.1,1694,7305,12584,170,81,12584,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090240.1,282,8730,9474,3,401,9474,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090277.1,1,9069,9471,0,401,9471,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl43_it2.consensus_ivar,MN090240.1,74,1875,9648,7066,0,9648,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl43_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl43_it2.consensus_ivar,MN090277.1,10,2108,9696,7114,0,9696,Jon,reference,./data/hybrid-vs-skiphybrid/hybrid-vs-ref//Jon.reference_cl43_it2.consensus_ivar.vs.MN090277.1.aln
