,,mismatches,identities,query_length,number_of_gaps,number_of_Ns,alignment_length,got,db,alignment_path
Daenerys-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,925,8056,9025,30,0,9025,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-MZ766668_cl1_it2.consensus_ivar,MN090277.1,424,8510,9293,298,0,9293,Daenerys,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MZ766668.1,925,8056,9546,30,521,9546,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl1_it2.consensus_ivar,MN090277.1,424,8510,9670,154,521,9670,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MZ766668.1,1363,7562,9360,66,221,9360,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-reference_cl2_it2.consensus_ivar,MN090277.1,0,9073,9294,0,221,9294,Daenerys,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MZ766668.1,1363,7562,9360,66,221,9360,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl18_it2.consensus_ivar,MN090277.1,0,9073,9294,0,221,9294,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl18_it2.consensus_ivar.vs.MN090277.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MZ766668.1,963,8025,9864,23,796,9864,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MZ766668.1.aln
Daenerys-virosaurus_cl3_it2.consensus_ivar,MN090277.1,393,8591,9909,68,796,9909,Daenerys,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Daenerys.virosaurus_cl3_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090188.1,49,9004,9059,3,0,9059,Eddard,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090188_cl0_it2.consensus_ivar,MN090277.1,0,9056,9232,176,0,9232,Eddard,MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090188.1,49,9004,9235,3,1,9235,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277-MN090188_cl0_it2.consensus_ivar,MN090277.1,1,9230,9232,0,1,9232,Eddard,MN090277-MN090188,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277.MN090188_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090188.1,49,9004,9235,3,1,9235,Eddard,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-MN090277_cl0_it2.consensus_ivar,MN090277.1,1,9230,9232,0,1,9232,Eddard,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090188.1,1064,5534,12477,59,2425,12477,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl0_it2.consensus_ivar,MN090277.1,1143,5599,12501,83,2425,12501,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090188.1,49,9004,9297,3,221,9297,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-reference_cl1_it2.consensus_ivar,MN090277.1,0,9073,9294,0,221,9294,Eddard,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090188.1,49,9004,9297,3,221,9297,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090188.1.aln
Eddard-virosaurus_cl0_it2.consensus_ivar,MN090277.1,0,9073,9294,0,221,9294,Eddard,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Eddard.virosaurus_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,417,8521,9246,73,3,9246,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar,MN090277.1,946,8216,9240,67,3,9240,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,8,8999,9012,4,0,9012,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar,MN090277.1,1363,7577,9300,292,0,9300,Jaime,MN090277-MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MZ766668.1,417,8521,9246,73,3,9246,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl0_it2.consensus_ivar,MN090277.1,946,8216,9240,67,3,9240,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MZ766668.1,8,8995,9012,8,0,9012,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MN090277_cl1_it2.consensus_ivar,MN090277.1,1362,7575,9299,295,0,9299,Jaime,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MZ766668.1,418,8520,9194,73,0,9194,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl0_it2.consensus_ivar,MN090277.1,945,8168,9240,119,0,9240,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MZ766668.1,8,8999,9012,4,0,9012,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-MZ766668_cl1_it2.consensus_ivar,MN090277.1,1363,7577,9300,292,0,9300,Jaime,MZ766668,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.MZ766668_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MZ766668.1,8,8808,9533,195,521,9533,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl1_it2.consensus_ivar,MN090277.1,1346,7403,9677,339,521,9677,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MZ766668.1,419,8490,9342,82,221,9342,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-reference_cl2_it2.consensus_ivar,MN090277.1,924,8112,9297,37,221,9297,Jaime,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.reference_cl2_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MZ766668.1,0,9011,9916,0,784,9916,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl1_it2.consensus_ivar,MN090277.1,1371,7569,10028,112,784,10028,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MZ766668.1,450,8469,9342,72,221,9342,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MZ766668.1.aln
Jaime-virosaurus_cl26_it2.consensus_ivar,MN090277.1,905,8141,9297,27,221,9297,Jaime,virosaurus,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jaime.virosaurus_cl26_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090240.1,283,8710,9025,3,19,9025,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl0_it2.consensus_ivar,MN090277.1,1,9002,9232,210,19,9232,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090240.1,74,1875,9649,7066,0,9649,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090240_cl1_it2.consensus_ivar,MN090277.1,10,2108,9697,7114,0,9697,Jon,MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090240.1,281,8731,9235,3,8,9235,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl0_it2.consensus_ivar,MN090277.1,0,9224,9232,0,8,9232,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090240.1,74,1875,9648,7066,0,9648,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277-MN090240_cl1_it2.consensus_ivar,MN090277.1,10,2108,9696,7114,0,9696,Jon,MN090277-MN090240,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277.MN090240_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090240.1,281,8731,9235,3,8,9235,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl0_it2.consensus_ivar,MN090277.1,0,9224,9232,0,8,9232,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090240.1,74,1875,9648,7066,0,9648,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090240.1.aln
Jon-MN090277_cl1_it2.consensus_ivar,MN090277.1,10,2108,9696,7114,0,9696,Jon,MN090277,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.MN090277_cl1_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090240.1,1766,7112,12542,128,78,12542,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl0_it2.consensus_ivar,MN090277.1,1679,7338,12581,167,78,12581,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl0_it2.consensus_ivar.vs.MN090277.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090240.1,281,8731,9474,3,340,9474,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090240.1.aln
Jon-reference_cl3_it2.consensus_ivar,MN090277.1,0,9068,9471,0,340,9471,Jon,reference,./data/hybrid-vs-skiphybrid/skiphybrid-vs-ref//Jon.reference_cl3_it2.consensus_ivar.vs.MN090277.1.aln
